[792, 612]
[section-title, [176.0, 168.0, 123.0, 30.0], E0oMs6Ym_y, 6515335]
[paragraph, [176.0, 238.0, 297.0, 18.0], shoonya_0sRL7ENXBU4G9Z, 6515335]
[paragraph, [176.0, 256.0, 297.0, 18.0], shoonya_0sRL7ENXBU4G9Z, 6515335]
[paragraph, [176.0, 274.0, 297.0, 18.0], shoonya_0sRL7ENXBU4G9Z, 6515335]
[paragraph, [176.0, 292.0, 297.0, 18.0], shoonya_0sRL7ENXBU4G9Z, 6515335]
[paragraph, [176.0, 310.0, 297.0, 18.0], shoonya_0sRL7ENXBU4G9Z, 6515335]
[paragraph, [176.0, 328.0, 297.0, 18.0], shoonya_0sRL7ENXBU4G9Z, 6515335]
[paragraph, [176.0, 365.0, 298.0, 18.0], shoonya_1sZTF7GRKXDVWO, 6515335]
[paragraph, [176.0, 383.0, 298.0, 18.0], shoonya_1sZTF7GRKXDVWO, 6515335]
[paragraph, [176.0, 401.0, 298.0, 18.0], shoonya_1sZTF7GRKXDVWO, 6515335]
[paragraph, [176.0, 419.0, 298.0, 18.0], shoonya_1sZTF7GRKXDVWO, 6515335]
[paragraph, [176.0, 437.0, 298.0, 18.0], shoonya_1sZTF7GRKXDVWO, 6515335]
[paragraph, [176.0, 455.0, 298.0, 18.0], shoonya_1sZTF7GRKXDVWO, 6515335]
[paragraph, [176.0, 473.0, 298.0, 18.0], shoonya_1sZTF7GRKXDVWO, 6515335]
[paragraph, [176.0, 491.0, 298.0, 18.0], shoonya_1sZTF7GRKXDVWO, 6515335]
[paragraph, [176.0, 509.0, 298.0, 18.0], shoonya_1sZTF7GRKXDVWO, 6515335]
