[1650, 934]
[folio, [348.0, 134.0, 289.0, 36.0], shoonya_0sKEVM83ZI9YBU, 5765941]
[paragraph, [91.0, 195.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 231.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 267.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 303.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 339.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 375.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 411.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 447.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 483.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 519.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 555.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 591.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 627.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 663.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 699.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 735.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 771.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 807.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 843.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 879.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 915.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 951.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 987.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 1023.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 1059.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 1095.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 1131.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 1167.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 1203.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 1239.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 1275.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 1311.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 1347.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 1383.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 1419.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
[paragraph, [91.0, 1455.0, 804.0, 36.0], shoonya_1sQJCADHFXTTYX, 5765941]
