[1723, 1092]
[paragraph, [107.0, 99.0, 877.0, 36.0], An7CpqSDHU, 5680364]
[paragraph, [107.0, 135.0, 877.0, 36.0], An7CpqSDHU, 5680364]
[paragraph, [107.0, 171.0, 877.0, 36.0], An7CpqSDHU, 5680364]
[paragraph, [107.0, 207.0, 877.0, 36.0], An7CpqSDHU, 5680364]
[paragraph, [107.0, 243.0, 877.0, 36.0], An7CpqSDHU, 5680364]
[paragraph, [107.0, 279.0, 877.0, 36.0], An7CpqSDHU, 5680364]
[paragraph, [107.0, 315.0, 877.0, 36.0], An7CpqSDHU, 5680364]
[paragraph, [107.0, 351.0, 877.0, 36.0], An7CpqSDHU, 5680364]
[paragraph, [107.0, 387.0, 877.0, 36.0], An7CpqSDHU, 5680364]
[paragraph, [107.0, 423.0, 877.0, 36.0], An7CpqSDHU, 5680364]
[unordered-list, [109.0, 623.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 659.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 695.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 731.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 767.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 803.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 839.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 875.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 911.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 947.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 983.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 1019.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 1055.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 1091.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 1127.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 1163.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 1199.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 1235.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 1271.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 1307.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 1343.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 1379.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 1415.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 1451.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[unordered-list, [109.0, 1487.0, 877.0, 36.0], shoonya_1sG64ZG37IOJGQ, 5680364]
[folio, [490.0, 1587.0, 139.0, 36.0], dZv-Qvrew5, 5680364]
