[842, 596]
[section-title, [52.0, 54.0, 253.0, 30.0], shoonya_3sT3WD7A8TWRZI, 5766092]
[unordered-list, [69.0, 99.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 117.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 135.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 153.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 171.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 189.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 207.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 225.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 243.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 261.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 279.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 297.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 315.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 333.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 351.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 369.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 387.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 405.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 423.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 441.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 459.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 477.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 495.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 513.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 531.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 549.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 567.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 585.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 603.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 621.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 639.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 657.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 675.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 693.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 711.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 729.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
[unordered-list, [69.0, 747.0, 476.0, 18.0], shoonya_0sZTCJLQDDKIXR, 5766092]
