[1601, 1128]
[headline, [84.0, 210.0, 808.0, 37.5], shoonya_8sKLJI1AIZ7SU0, 6472674]
[headline, [84.0, 247.5, 808.0, 37.5], shoonya_8sKLJI1AIZ7SU0, 6472674]
[headline, [84.0, 285.0, 808.0, 37.5], shoonya_8sKLJI1AIZ7SU0, 6472674]
[headline, [84.0, 322.5, 808.0, 37.5], shoonya_8sKLJI1AIZ7SU0, 6472674]
[headline, [84.0, 360.0, 808.0, 37.5], shoonya_8sKLJI1AIZ7SU0, 6472674]
[sidebar, [83.0, 466.0, 977.0, 36.0], lM2tN3AG76, 6472674]
[sidebar, [83.0, 502.0, 977.0, 36.0], lM2tN3AG76, 6472674]
[sidebar, [83.0, 538.0, 977.0, 36.0], lM2tN3AG76, 6472674]
[paragraph, [80.0, 636.0, 480.0, 36.0], shoonya_9sAER9CXH5O474, 6472674]
[paragraph, [80.0, 672.0, 480.0, 36.0], shoonya_9sAER9CXH5O474, 6472674]
[paragraph, [80.0, 708.0, 480.0, 36.0], shoonya_9sAER9CXH5O474, 6472674]
[paragraph, [80.0, 744.0, 480.0, 36.0], shoonya_9sAER9CXH5O474, 6472674]
[paragraph, [80.0, 780.0, 480.0, 36.0], shoonya_9sAER9CXH5O474, 6472674]
[paragraph, [80.0, 816.0, 480.0, 36.0], shoonya_9sAER9CXH5O474, 6472674]
[paragraph, [80.0, 852.0, 480.0, 36.0], shoonya_9sAER9CXH5O474, 6472674]
[paragraph, [584.0, 640.0, 472.0, 36.0], m_R_zInMhz, 6472674]
[paragraph, [584.0, 676.0, 472.0, 36.0], m_R_zInMhz, 6472674]
[paragraph, [584.0, 712.0, 472.0, 36.0], m_R_zInMhz, 6472674]
[paragraph, [584.0, 748.0, 472.0, 36.0], m_R_zInMhz, 6472674]
[paragraph, [584.0, 784.0, 472.0, 36.0], m_R_zInMhz, 6472674]
[paragraph, [584.0, 820.0, 472.0, 36.0], m_R_zInMhz, 6472674]
[paragraph, [584.0, 856.0, 472.0, 36.0], m_R_zInMhz, 6472674]
[paragraph, [584.0, 892.0, 472.0, 36.0], m_R_zInMhz, 6472674]
[paragraph, [88.0, 896.0, 469.0, 36.0], yCwKUT7W58, 6472674]
[paragraph, [88.0, 932.0, 469.0, 36.0], yCwKUT7W58, 6472674]
[paragraph, [88.0, 968.0, 469.0, 36.0], yCwKUT7W58, 6472674]
[paragraph, [88.0, 1004.0, 469.0, 36.0], yCwKUT7W58, 6472674]
[paragraph, [88.0, 1040.0, 469.0, 36.0], yCwKUT7W58, 6472674]
[paragraph, [88.0, 1076.0, 469.0, 36.0], yCwKUT7W58, 6472674]
[paragraph, [88.0, 1112.0, 469.0, 36.0], yCwKUT7W58, 6472674]
[paragraph, [88.0, 1148.0, 469.0, 36.0], yCwKUT7W58, 6472674]
[paragraph, [88.0, 1184.0, 469.0, 36.0], yCwKUT7W58, 6472674]
[paragraph, [88.0, 1220.0, 469.0, 36.0], yCwKUT7W58, 6472674]
[paragraph, [88.0, 1256.0, 469.0, 36.0], yCwKUT7W58, 6472674]
[paragraph, [88.0, 1292.0, 469.0, 36.0], yCwKUT7W58, 6472674]
[paragraph, [88.0, 1328.0, 469.0, 36.0], yCwKUT7W58, 6472674]
[paragraph, [88.0, 1364.0, 469.0, 36.0], yCwKUT7W58, 6472674]
[paragraph, [88.0, 1400.0, 469.0, 36.0], yCwKUT7W58, 6472674]
[paragraph, [88.0, 1436.0, 469.0, 36.0], yCwKUT7W58, 6472674]
[paragraph, [589.0, 947.0, 469.0, 36.0], 6-kAwDOnJI, 6472674]
[paragraph, [589.0, 983.0, 469.0, 36.0], 6-kAwDOnJI, 6472674]
[paragraph, [589.0, 1047.0, 467.0, 36.0], djjeLUJjUD, 6472674]
[paragraph, [589.0, 1083.0, 467.0, 36.0], djjeLUJjUD, 6472674]
[paragraph, [589.0, 1119.0, 467.0, 36.0], djjeLUJjUD, 6472674]
[paragraph, [587.0, 1172.0, 469.0, 36.0], eS9AbrgHpr, 6472674]
[paragraph, [587.0, 1208.0, 469.0, 36.0], eS9AbrgHpr, 6472674]
[paragraph, [587.0, 1244.0, 469.0, 36.0], eS9AbrgHpr, 6472674]
[paragraph, [587.0, 1280.0, 469.0, 36.0], eS9AbrgHpr, 6472674]
[paragraph, [588.0, 1322.0, 467.0, 36.0], b8ryA2g_rt, 6472674]
[paragraph, [588.0, 1358.0, 467.0, 36.0], b8ryA2g_rt, 6472674]
[paragraph, [592.0, 1421.0, 465.0, 36.0], kS9yYsPywX, 6472674]
