[3508, 2481]
[flag, [786.0, 90.0, 917.0, 52.5], y2Z75YRL6a, 6534632]
[flag, [786.0, 142.5, 917.0, 52.5], y2Z75YRL6a, 6534632]
[section-title, [1004.0, 258.0, 485.0, 93.0], djgvyw8Cqw, 6534632]
[sub-section-title, [749.0, 485.0, 1034.0, 73.5], shoonya_0sXYWQ79NOMHEE, 6534632]
[dateline, [1936.0, 733.0, 335.0, 52.5], smjJluyHP3, 6534632]
[paragraph, [217.0, 992.0, 376.0, 52.5], e9HQ9heZ2C, 6534632]
[paragraph, [220.0, 1113.0, 2051.0, 52.5], 03uvYOa14e, 6534632]
[paragraph, [220.0, 1165.5, 2051.0, 52.5], 03uvYOa14e, 6534632]
[paragraph, [220.0, 1218.0, 2051.0, 52.5], 03uvYOa14e, 6534632]
[paragraph, [220.0, 1270.5, 2051.0, 52.5], 03uvYOa14e, 6534632]
[paragraph, [220.0, 1323.0, 2051.0, 52.5], 03uvYOa14e, 6534632]
[paragraph, [220.0, 1375.5, 2051.0, 52.5], 03uvYOa14e, 6534632]
[paragraph, [211.0, 1470.0, 2051.0, 52.5], okywd9okDG, 6534632]
[paragraph, [211.0, 1522.5, 2051.0, 52.5], okywd9okDG, 6534632]
[paragraph, [211.0, 1575.0, 2051.0, 52.5], okywd9okDG, 6534632]
[paragraph, [211.0, 1627.5, 2051.0, 52.5], okywd9okDG, 6534632]
[paragraph, [211.0, 1680.0, 2051.0, 52.5], okywd9okDG, 6534632]
[paragraph, [211.0, 1732.5, 2051.0, 52.5], okywd9okDG, 6534632]
[paragraph, [211.0, 1785.0, 2051.0, 52.5], okywd9okDG, 6534632]
[paragraph, [220.0, 1949.0, 2051.0, 52.5], y04o2H33Hm, 6534632]
[paragraph, [220.0, 2001.5, 2051.0, 52.5], y04o2H33Hm, 6534632]
[paragraph, [220.0, 2054.0, 2051.0, 52.5], y04o2H33Hm, 6534632]
[paragraph, [220.0, 2106.5, 2051.0, 52.5], y04o2H33Hm, 6534632]
[paragraph, [220.0, 2159.0, 2051.0, 52.5], y04o2H33Hm, 6534632]
[paragraph, [220.0, 2211.5, 2051.0, 52.5], y04o2H33Hm, 6534632]
[paragraph, [220.0, 2264.0, 2051.0, 52.5], y04o2H33Hm, 6534632]
[paragraph, [220.0, 2316.5, 2051.0, 52.5], y04o2H33Hm, 6534632]
[ordered-list, [267.0, 2413.0, 2002.0, 52.5], t22F3uBYSh, 6534632]
[ordered-list, [267.0, 2465.5, 2002.0, 52.5], t22F3uBYSh, 6534632]
[ordered-list, [267.0, 2518.0, 2002.0, 52.5], t22F3uBYSh, 6534632]
[ordered-list, [267.0, 2570.5, 2002.0, 52.5], t22F3uBYSh, 6534632]
[ordered-list, [267.0, 2623.0, 2002.0, 52.5], t22F3uBYSh, 6534632]
[ordered-list, [267.0, 2675.5, 2002.0, 52.5], t22F3uBYSh, 6534632]
[ordered-list, [267.0, 2728.0, 2002.0, 52.5], t22F3uBYSh, 6534632]
[ordered-list, [267.0, 2780.5, 2002.0, 52.5], t22F3uBYSh, 6534632]
[ordered-list, [267.0, 2833.0, 2002.0, 52.5], t22F3uBYSh, 6534632]
[paragraph, [189.0, 2973.0, 2083.0, 52.5], 1Hlu-MVbAa, 6534632]
[paragraph, [189.0, 3025.5, 2083.0, 52.5], 1Hlu-MVbAa, 6534632]
[paragraph, [189.0, 3078.0, 2083.0, 52.5], 1Hlu-MVbAa, 6534632]
[paragraph, [211.0, 3268.0, 2051.0, 52.5], aCZ1tzlI7p, 6534632]
[paragraph, [211.0, 3320.5, 2051.0, 52.5], aCZ1tzlI7p, 6534632]
