[792, 612]
[folio, [325.0, 13.0, 58.0, 18.0], shoonya_9s0KWMXK8XF1XB, 5738102]
[options, [37.0, 34.0, 139.0, 18.0], shoonya_11s39QUN8X1UJ8, 5738102]
[options, [37.0, 52.0, 139.0, 18.0], shoonya_11s39QUN8X1UJ8, 5738102]
[sidebar, [41.0, 93.0, 529.0, 18.0], jQtJs7TfqD, 5738102]
[sidebar, [41.0, 111.0, 529.0, 18.0], jQtJs7TfqD, 5738102]
[options, [44.0, 184.0, 70.0, 18.0], shoonya_7sGDZRJ7XS0J8R, 5738102]
[options, [44.0, 202.0, 70.0, 18.0], shoonya_7sGDZRJ7XS0J8R, 5738102]
[options, [44.0, 220.0, 70.0, 18.0], shoonya_7sGDZRJ7XS0J8R, 5738102]
[options, [44.0, 238.0, 70.0, 18.0], shoonya_7sGDZRJ7XS0J8R, 5738102]
[options, [44.0, 256.0, 70.0, 18.0], shoonya_7sGDZRJ7XS0J8R, 5738102]
[options, [44.0, 274.0, 70.0, 18.0], shoonya_7sGDZRJ7XS0J8R, 5738102]
[options, [44.0, 292.0, 70.0, 18.0], shoonya_7sGDZRJ7XS0J8R, 5738102]
[options, [44.0, 310.0, 70.0, 18.0], shoonya_7sGDZRJ7XS0J8R, 5738102]
[options, [44.0, 328.0, 70.0, 18.0], shoonya_7sGDZRJ7XS0J8R, 5738102]
[sidebar, [38.0, 373.0, 533.0, 18.0], G_7yHuWp7z, 5738102]
[sidebar, [38.0, 391.0, 533.0, 18.0], G_7yHuWp7z, 5738102]
[options, [45.0, 465.0, 190.0, 18.0], shoonya_14sV1LC1G7W8J4, 5738102]
[options, [45.0, 483.0, 190.0, 18.0], shoonya_14sV1LC1G7W8J4, 5738102]
[options, [45.0, 501.0, 190.0, 18.0], shoonya_14sV1LC1G7W8J4, 5738102]
[options, [45.0, 519.0, 190.0, 18.0], shoonya_14sV1LC1G7W8J4, 5738102]
[options, [45.0, 537.0, 190.0, 18.0], shoonya_14sV1LC1G7W8J4, 5738102]
[options, [45.0, 555.0, 190.0, 18.0], shoonya_14sV1LC1G7W8J4, 5738102]
[options, [45.0, 573.0, 190.0, 18.0], shoonya_14sV1LC1G7W8J4, 5738102]
[options, [45.0, 591.0, 190.0, 18.0], shoonya_14sV1LC1G7W8J4, 5738102]
[options, [45.0, 609.0, 190.0, 18.0], shoonya_14sV1LC1G7W8J4, 5738102]
[sidebar, [43.0, 661.0, 533.0, 18.0], SCcIWa93zk, 5738102]
[sidebar, [43.0, 679.0, 533.0, 18.0], SCcIWa93zk, 5738102]
