[1601, 1128]
[headline, [42.0, 146.0, 354.0, 37.5], vPXM_MHPU2, 6472607]
[headline, [42.0, 183.5, 354.0, 37.5], vPXM_MHPU2, 6472607]
[headline, [42.0, 221.0, 354.0, 37.5], vPXM_MHPU2, 6472607]
[headline, [42.0, 258.5, 354.0, 37.5], vPXM_MHPU2, 6472607]
[headline, [42.0, 296.0, 354.0, 37.5], vPXM_MHPU2, 6472607]
[sidebar, [687.0, 260.0, 353.0, 36.0], F3lSw62OsQ, 6472607]
[sidebar, [687.0, 296.0, 353.0, 36.0], F3lSw62OsQ, 6472607]
[sidebar, [687.0, 332.0, 353.0, 36.0], F3lSw62OsQ, 6472607]
[sidebar, [687.0, 368.0, 353.0, 36.0], F3lSw62OsQ, 6472607]
[sidebar, [687.0, 404.0, 353.0, 36.0], F3lSw62OsQ, 6472607]
[sidebar, [687.0, 440.0, 353.0, 36.0], F3lSw62OsQ, 6472607]
[paragraph, [54.0, 391.0, 497.0, 36.0], XLPI-046uE, 6472607]
[paragraph, [54.0, 427.0, 497.0, 36.0], XLPI-046uE, 6472607]
[paragraph, [54.0, 497.0, 492.0, 36.0], lpRuPjUKSN, 6472607]
[paragraph, [54.0, 533.0, 492.0, 36.0], lpRuPjUKSN, 6472607]
[paragraph, [54.0, 569.0, 492.0, 36.0], lpRuPjUKSN, 6472607]
[paragraph, [564.0, 542.0, 475.0, 36.0], Y2zbY4u_nR, 6472607]
[paragraph, [564.0, 578.0, 475.0, 36.0], Y2zbY4u_nR, 6472607]
[paragraph, [564.0, 614.0, 475.0, 36.0], Y2zbY4u_nR, 6472607]
[paragraph, [60.0, 620.0, 485.0, 36.0], k-OP6r7EBo, 6472607]
[paragraph, [60.0, 656.0, 485.0, 36.0], k-OP6r7EBo, 6472607]
[paragraph, [60.0, 692.0, 485.0, 36.0], k-OP6r7EBo, 6472607]
[paragraph, [60.0, 728.0, 485.0, 36.0], k-OP6r7EBo, 6472607]
[paragraph, [564.0, 673.0, 484.0, 36.0], zP37aPxUVH, 6472607]
[paragraph, [564.0, 709.0, 484.0, 36.0], zP37aPxUVH, 6472607]
[paragraph, [564.0, 745.0, 484.0, 36.0], zP37aPxUVH, 6472607]
[paragraph, [564.0, 781.0, 484.0, 36.0], zP37aPxUVH, 6472607]
[paragraph, [564.0, 817.0, 484.0, 36.0], zP37aPxUVH, 6472607]
[paragraph, [564.0, 853.0, 484.0, 36.0], zP37aPxUVH, 6472607]
[paragraph, [564.0, 889.0, 484.0, 36.0], zP37aPxUVH, 6472607]
[paragraph, [64.0, 796.0, 484.0, 36.0], T3koj3DCNo, 6472607]
[paragraph, [64.0, 832.0, 484.0, 36.0], T3koj3DCNo, 6472607]
[paragraph, [64.0, 868.0, 484.0, 36.0], T3koj3DCNo, 6472607]
[paragraph, [64.0, 904.0, 484.0, 36.0], T3koj3DCNo, 6472607]
[paragraph, [66.0, 947.0, 483.0, 36.0], SvhQrUwrZG, 6472607]
[paragraph, [66.0, 983.0, 483.0, 36.0], SvhQrUwrZG, 6472607]
[paragraph, [66.0, 1019.0, 483.0, 36.0], SvhQrUwrZG, 6472607]
[paragraph, [66.0, 1055.0, 483.0, 36.0], SvhQrUwrZG, 6472607]
[paragraph, [66.0, 1091.0, 483.0, 36.0], SvhQrUwrZG, 6472607]
[paragraph, [66.0, 1127.0, 483.0, 36.0], SvhQrUwrZG, 6472607]
[paragraph, [66.0, 1163.0, 483.0, 36.0], SvhQrUwrZG, 6472607]
[paragraph, [565.0, 973.0, 486.0, 36.0], shoonya_0sE1T3EHQL5K0V, 6472607]
[paragraph, [565.0, 1009.0, 486.0, 36.0], shoonya_0sE1T3EHQL5K0V, 6472607]
[paragraph, [565.0, 1045.0, 486.0, 36.0], shoonya_0sE1T3EHQL5K0V, 6472607]
[paragraph, [565.0, 1081.0, 486.0, 36.0], shoonya_0sE1T3EHQL5K0V, 6472607]
[paragraph, [565.0, 1117.0, 486.0, 36.0], shoonya_0sE1T3EHQL5K0V, 6472607]
[paragraph, [565.0, 1153.0, 486.0, 36.0], shoonya_0sE1T3EHQL5K0V, 6472607]
[paragraph, [565.0, 1189.0, 486.0, 36.0], shoonya_0sE1T3EHQL5K0V, 6472607]
[paragraph, [565.0, 1225.0, 486.0, 36.0], shoonya_0sE1T3EHQL5K0V, 6472607]
[paragraph, [565.0, 1261.0, 486.0, 36.0], shoonya_0sE1T3EHQL5K0V, 6472607]
[paragraph, [74.0, 1248.0, 473.0, 36.0], PxzrfNvx4b, 6472607]
[paragraph, [74.0, 1284.0, 473.0, 36.0], PxzrfNvx4b, 6472607]
[paragraph, [566.0, 1323.0, 481.0, 36.0], Vuam7nAU1e, 6472607]
[paragraph, [566.0, 1359.0, 481.0, 36.0], Vuam7nAU1e, 6472607]
[paragraph, [566.0, 1395.0, 481.0, 36.0], Vuam7nAU1e, 6472607]
[paragraph, [566.0, 1431.0, 481.0, 36.0], Vuam7nAU1e, 6472607]
[paragraph, [66.0, 1347.0, 480.0, 36.0], swa9lJ3YdN, 6472607]
[paragraph, [66.0, 1383.0, 480.0, 36.0], swa9lJ3YdN, 6472607]
[paragraph, [66.0, 1419.0, 480.0, 36.0], swa9lJ3YdN, 6472607]
