[1787, 1218]
[paragraph, [66.0, 66.0, 1067.0, 36.0], shoonya_0sRHRHEXPHMHTY, 5651317]
[paragraph, [66.0, 102.0, 1067.0, 36.0], shoonya_0sRHRHEXPHMHTY, 5651317]
[paragraph, [66.0, 138.0, 1067.0, 36.0], shoonya_0sRHRHEXPHMHTY, 5651317]
[paragraph, [66.0, 174.0, 1067.0, 36.0], shoonya_0sRHRHEXPHMHTY, 5651317]
[paragraph, [66.0, 210.0, 1067.0, 36.0], shoonya_0sRHRHEXPHMHTY, 5651317]
[paragraph, [66.0, 246.0, 1067.0, 36.0], shoonya_0sRHRHEXPHMHTY, 5651317]
[paragraph, [98.0, 301.0, 1043.0, 36.0], shoonya_1sZISVB2P300EV, 5651317]
[paragraph, [98.0, 337.0, 1043.0, 36.0], shoonya_1sZISVB2P300EV, 5651317]
[paragraph, [98.0, 373.0, 1043.0, 36.0], shoonya_1sZISVB2P300EV, 5651317]
[paragraph, [98.0, 409.0, 1043.0, 36.0], shoonya_1sZISVB2P300EV, 5651317]
[paragraph, [98.0, 445.0, 1043.0, 36.0], shoonya_1sZISVB2P300EV, 5651317]
[paragraph, [98.0, 481.0, 1043.0, 36.0], shoonya_1sZISVB2P300EV, 5651317]
[paragraph, [98.0, 517.0, 1043.0, 36.0], shoonya_1sZISVB2P300EV, 5651317]
[paragraph, [98.0, 553.0, 1043.0, 36.0], shoonya_1sZISVB2P300EV, 5651317]
[paragraph, [98.0, 589.0, 1043.0, 36.0], shoonya_1sZISVB2P300EV, 5651317]
[paragraph, [41.0, 646.0, 1176.0, 36.0], fFbQMluENM, 5651317]
[paragraph, [41.0, 682.0, 1176.0, 36.0], fFbQMluENM, 5651317]
[paragraph, [41.0, 718.0, 1176.0, 36.0], fFbQMluENM, 5651317]
[paragraph, [41.0, 754.0, 1176.0, 36.0], fFbQMluENM, 5651317]
[paragraph, [41.0, 790.0, 1176.0, 36.0], fFbQMluENM, 5651317]
[paragraph, [41.0, 826.0, 1176.0, 36.0], fFbQMluENM, 5651317]
[paragraph, [41.0, 862.0, 1176.0, 36.0], fFbQMluENM, 5651317]
[paragraph, [41.0, 898.0, 1176.0, 36.0], fFbQMluENM, 5651317]
[paragraph, [41.0, 934.0, 1176.0, 36.0], fFbQMluENM, 5651317]
[paragraph, [304.0, 1000.0, 436.0, 36.0], HYGIcB4Z3K, 5651317]
[paragraph, [304.0, 1036.0, 436.0, 36.0], HYGIcB4Z3K, 5651317]
[paragraph, [304.0, 1072.0, 436.0, 36.0], HYGIcB4Z3K, 5651317]
[paragraph, [304.0, 1108.0, 436.0, 36.0], HYGIcB4Z3K, 5651317]
[paragraph, [304.0, 1144.0, 436.0, 36.0], HYGIcB4Z3K, 5651317]
[paragraph, [304.0, 1180.0, 436.0, 36.0], HYGIcB4Z3K, 5651317]
[paragraph, [304.0, 1216.0, 436.0, 36.0], HYGIcB4Z3K, 5651317]
[paragraph, [304.0, 1252.0, 436.0, 36.0], HYGIcB4Z3K, 5651317]
[paragraph, [304.0, 1288.0, 436.0, 36.0], HYGIcB4Z3K, 5651317]
[paragraph, [304.0, 1324.0, 436.0, 36.0], HYGIcB4Z3K, 5651317]
[paragraph, [304.0, 1360.0, 436.0, 36.0], HYGIcB4Z3K, 5651317]
[paragraph, [109.0, 1407.0, 1001.0, 36.0], shoonya_2sRSL21NQ3SGT7, 5651317]
[paragraph, [109.0, 1443.0, 1001.0, 36.0], shoonya_2sRSL21NQ3SGT7, 5651317]
[paragraph, [109.0, 1479.0, 1001.0, 36.0], shoonya_2sRSL21NQ3SGT7, 5651317]
[paragraph, [109.0, 1515.0, 1001.0, 36.0], shoonya_2sRSL21NQ3SGT7, 5651317]
[paragraph, [109.0, 1551.0, 1001.0, 36.0], shoonya_2sRSL21NQ3SGT7, 5651317]
