[591, 402]
[folio, [158.0, 47.0, 90.0, 18.0], 9Jz31xGSp_, 6494844]
[paragraph, [45.0, 75.0, 308.0, 18.0], shoonya_0sKZZEEQHTCAMO, 6494844]
[paragraph, [45.0, 93.0, 308.0, 18.0], shoonya_0sKZZEEQHTCAMO, 6494844]
[paragraph, [45.0, 111.0, 308.0, 18.0], shoonya_0sKZZEEQHTCAMO, 6494844]
[paragraph, [45.0, 129.0, 308.0, 18.0], shoonya_0sKZZEEQHTCAMO, 6494844]
[paragraph, [45.0, 147.0, 308.0, 18.0], shoonya_0sKZZEEQHTCAMO, 6494844]
[paragraph, [45.0, 165.0, 308.0, 18.0], shoonya_0sKZZEEQHTCAMO, 6494844]
[paragraph, [48.0, 201.0, 308.0, 18.0], wPuvF-18rE, 6494844]
[paragraph, [48.0, 219.0, 308.0, 18.0], wPuvF-18rE, 6494844]
[paragraph, [48.0, 237.0, 308.0, 18.0], wPuvF-18rE, 6494844]
[paragraph, [48.0, 255.0, 308.0, 18.0], wPuvF-18rE, 6494844]
[paragraph, [48.0, 273.0, 308.0, 18.0], wPuvF-18rE, 6494844]
[paragraph, [48.0, 291.0, 308.0, 18.0], wPuvF-18rE, 6494844]
[paragraph, [48.0, 309.0, 308.0, 18.0], wPuvF-18rE, 6494844]
[paragraph, [48.0, 327.0, 308.0, 18.0], wPuvF-18rE, 6494844]
[paragraph, [48.0, 345.0, 308.0, 18.0], wPuvF-18rE, 6494844]
[paragraph, [48.0, 363.0, 308.0, 18.0], wPuvF-18rE, 6494844]
[paragraph, [48.0, 381.0, 308.0, 18.0], wPuvF-18rE, 6494844]
[paragraph, [48.0, 399.0, 308.0, 18.0], wPuvF-18rE, 6494844]
[paragraph, [48.0, 417.0, 308.0, 18.0], wPuvF-18rE, 6494844]
[paragraph, [48.0, 435.0, 308.0, 18.0], wPuvF-18rE, 6494844]
[paragraph, [48.0, 453.0, 308.0, 18.0], wPuvF-18rE, 6494844]
[paragraph, [48.0, 471.0, 308.0, 18.0], wPuvF-18rE, 6494844]
[paragraph, [48.0, 492.0, 306.0, 18.0], zGEl_sTmfv, 6494844]
[paragraph, [48.0, 510.0, 306.0, 18.0], zGEl_sTmfv, 6494844]
[paragraph, [48.0, 528.0, 306.0, 18.0], zGEl_sTmfv, 6494844]
