[1425, 1088]
[paragraph, [113.0, 138.0, 820.0, 18.0], tCG3Kk8eeF, 5758740]
[paragraph, [113.0, 156.0, 820.0, 18.0], tCG3Kk8eeF, 5758740]
[paragraph, [113.0, 174.0, 820.0, 18.0], tCG3Kk8eeF, 5758740]
[paragraph, [113.0, 192.0, 820.0, 18.0], tCG3Kk8eeF, 5758740]
[paragraph, [113.0, 229.0, 826.0, 18.0], 3tLjpMVpRH, 5758740]
[paragraph, [113.0, 247.0, 826.0, 18.0], 3tLjpMVpRH, 5758740]
[paragraph, [113.0, 265.0, 826.0, 18.0], 3tLjpMVpRH, 5758740]
[paragraph, [113.0, 283.0, 826.0, 18.0], 3tLjpMVpRH, 5758740]
[paragraph, [113.0, 301.0, 826.0, 18.0], 3tLjpMVpRH, 5758740]
[sidebar, [521.0, 415.0, 165.0, 18.0], rKM1whAK9P, 5758740]
[sidebar, [521.0, 433.0, 165.0, 18.0], rKM1whAK9P, 5758740]
[sidebar, [521.0, 451.0, 165.0, 18.0], rKM1whAK9P, 5758740]
[sidebar, [521.0, 469.0, 165.0, 18.0], rKM1whAK9P, 5758740]
[paragraph, [151.0, 621.0, 741.0, 18.0], shoonya_4sVB69QQJ25WM7, 5758740]
[paragraph, [151.0, 639.0, 741.0, 18.0], shoonya_4sVB69QQJ25WM7, 5758740]
[paragraph, [151.0, 657.0, 741.0, 18.0], shoonya_4sVB69QQJ25WM7, 5758740]
[paragraph, [151.0, 675.0, 741.0, 18.0], shoonya_4sVB69QQJ25WM7, 5758740]
[paragraph, [151.0, 693.0, 741.0, 18.0], shoonya_4sVB69QQJ25WM7, 5758740]
[paragraph, [151.0, 711.0, 741.0, 18.0], shoonya_4sVB69QQJ25WM7, 5758740]
[paragraph, [151.0, 729.0, 741.0, 18.0], shoonya_4sVB69QQJ25WM7, 5758740]
[paragraph, [115.0, 837.0, 822.0, 18.0], shoonya_1sV0KELBHAGYGD, 5758740]
[paragraph, [115.0, 855.0, 822.0, 18.0], shoonya_1sV0KELBHAGYGD, 5758740]
[paragraph, [115.0, 873.0, 822.0, 18.0], shoonya_1sV0KELBHAGYGD, 5758740]
[paragraph, [115.0, 891.0, 822.0, 18.0], shoonya_1sV0KELBHAGYGD, 5758740]
[paragraph, [115.0, 909.0, 822.0, 18.0], shoonya_1sV0KELBHAGYGD, 5758740]
[paragraph, [115.0, 927.0, 822.0, 18.0], shoonya_1sV0KELBHAGYGD, 5758740]
[paragraph, [115.0, 945.0, 822.0, 18.0], shoonya_1sV0KELBHAGYGD, 5758740]
[paragraph, [115.0, 963.0, 822.0, 18.0], shoonya_1sV0KELBHAGYGD, 5758740]
[paragraph, [115.0, 981.0, 822.0, 18.0], shoonya_1sV0KELBHAGYGD, 5758740]
[paragraph, [112.0, 1004.0, 824.0, 18.0], HaYCji7zt6, 5758740]
[paragraph, [112.0, 1022.0, 824.0, 18.0], HaYCji7zt6, 5758740]
[paragraph, [112.0, 1040.0, 824.0, 18.0], HaYCji7zt6, 5758740]
[paragraph, [112.0, 1058.0, 824.0, 18.0], HaYCji7zt6, 5758740]
[paragraph, [112.0, 1076.0, 824.0, 18.0], HaYCji7zt6, 5758740]
[paragraph, [112.0, 1094.0, 824.0, 18.0], HaYCji7zt6, 5758740]
[paragraph, [112.0, 1112.0, 824.0, 18.0], HaYCji7zt6, 5758740]
[paragraph, [112.0, 1129.0, 824.0, 18.0], bY1AJ7PM7s, 5758740]
[paragraph, [112.0, 1147.0, 824.0, 18.0], bY1AJ7PM7s, 5758740]
[paragraph, [112.0, 1165.0, 824.0, 18.0], bY1AJ7PM7s, 5758740]
[paragraph, [112.0, 1183.0, 824.0, 18.0], bY1AJ7PM7s, 5758740]
[paragraph, [112.0, 1201.0, 824.0, 18.0], bY1AJ7PM7s, 5758740]
[paragraph, [112.0, 1219.0, 824.0, 18.0], bY1AJ7PM7s, 5758740]
[folio, [779.0, 1359.0, 184.0, 18.0], uvAXgG74uO, 5758740]
