[1754, 1241]
[paragraph, [215.0, 147.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 183.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 219.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 255.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 291.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 327.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 363.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 399.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 435.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 471.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 507.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 543.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 579.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 615.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 651.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 687.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 723.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 759.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 795.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [215.0, 831.0, 887.0, 36.0], wxhIdbKNqN, 6471139]
[paragraph, [209.0, 885.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
[paragraph, [209.0, 921.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
[paragraph, [209.0, 957.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
[paragraph, [209.0, 993.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
[paragraph, [209.0, 1029.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
[paragraph, [209.0, 1065.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
[paragraph, [209.0, 1101.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
[paragraph, [209.0, 1137.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
[paragraph, [209.0, 1173.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
[paragraph, [209.0, 1209.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
[paragraph, [209.0, 1245.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
[paragraph, [209.0, 1281.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
[paragraph, [209.0, 1317.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
[paragraph, [209.0, 1353.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
[paragraph, [209.0, 1389.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
[paragraph, [209.0, 1425.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
[paragraph, [209.0, 1461.0, 893.0, 36.0], shoonya_0s62VFXT6AIUR1, 6471139]
