[6000, 4167]
[folio, [1390.0, 625.0, 1401.0, 52.5], EFmKTRQN_v, 5721009]
[folio, [1390.0, 677.5, 1401.0, 52.5], EFmKTRQN_v, 5721009]
[folio, [1390.0, 730.0, 1401.0, 52.5], EFmKTRQN_v, 5721009]
[paragraph, [609.0, 916.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 968.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1021.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1073.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1126.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1178.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1231.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1283.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1336.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1388.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1441.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1493.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1546.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1598.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1651.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1703.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1756.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1808.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1861.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1913.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 1966.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2018.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2071.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2123.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2176.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2228.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2281.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2333.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2386.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2438.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2491.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2543.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2596.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2648.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2701.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2753.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2806.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2858.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2911.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 2963.5, 2989.0, 52.5], pCk2U6vqz7, 5721009]
[paragraph, [609.0, 3016.0, 2989.0, 52.5], pCk2U6vqz7, 5721009]
