[1634, 1040]
[paragraph, [98.0, 159.0, 852.0, 36.0], shoonya_2sUDH0XGL55Y9H, 5731563]
[paragraph, [98.0, 195.0, 852.0, 36.0], shoonya_2sUDH0XGL55Y9H, 5731563]
[paragraph, [98.0, 231.0, 852.0, 36.0], shoonya_2sUDH0XGL55Y9H, 5731563]
[paragraph, [98.0, 267.0, 852.0, 36.0], shoonya_2sUDH0XGL55Y9H, 5731563]
[paragraph, [98.0, 303.0, 852.0, 36.0], shoonya_2sUDH0XGL55Y9H, 5731563]
[paragraph, [98.0, 339.0, 852.0, 36.0], shoonya_2sUDH0XGL55Y9H, 5731563]
[paragraph, [98.0, 375.0, 852.0, 36.0], shoonya_2sUDH0XGL55Y9H, 5731563]
[paragraph, [90.0, 429.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 465.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 501.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 537.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 573.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 609.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 645.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 681.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 717.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 753.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 789.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 825.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 861.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 897.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 933.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 969.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 1005.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [90.0, 1041.0, 862.0, 36.0], shoonya_0sV3TTV48MVE1Z, 5731563]
[paragraph, [128.0, 1120.0, 815.0, 36.0], shoonya_3sLS6NNHG2N3A0, 5731563]
[paragraph, [128.0, 1156.0, 815.0, 36.0], shoonya_3sLS6NNHG2N3A0, 5731563]
[paragraph, [128.0, 1192.0, 815.0, 36.0], shoonya_3sLS6NNHG2N3A0, 5731563]
[paragraph, [85.0, 1262.0, 853.0, 36.0], 20ykexDesQ, 5731563]
[paragraph, [85.0, 1298.0, 853.0, 36.0], 20ykexDesQ, 5731563]
[paragraph, [85.0, 1334.0, 853.0, 36.0], 20ykexDesQ, 5731563]
[paragraph, [85.0, 1370.0, 853.0, 36.0], 20ykexDesQ, 5731563]
[paragraph, [96.0, 1440.0, 850.0, 36.0], jQh8cWfIQL, 5731563]
[paragraph, [96.0, 1476.0, 850.0, 36.0], jQh8cWfIQL, 5731563]
