[2793, 1966]
[contact-info, [565.0, 148.0, 865.0, 46.5], IRDYuQbWU-, 5697582]
[contact-info, [565.0, 194.5, 865.0, 46.5], IRDYuQbWU-, 5697582]
[contact-info, [565.0, 241.0, 865.0, 46.5], IRDYuQbWU-, 5697582]
[contact-info, [565.0, 287.5, 865.0, 46.5], IRDYuQbWU-, 5697582]
[contact-info, [565.0, 334.0, 865.0, 46.5], IRDYuQbWU-, 5697582]
[contact-info, [565.0, 380.5, 865.0, 46.5], IRDYuQbWU-, 5697582]
[contact-info, [565.0, 427.0, 865.0, 46.5], IRDYuQbWU-, 5697582]
[website-link, [810.0, 416.0, 364.0, 18.0], rl8A2gNHLl, 5697582]
[website-link, [810.0, 434.0, 364.0, 18.0], rl8A2gNHLl, 5697582]
[website-link, [810.0, 452.0, 364.0, 18.0], rl8A2gNHLl, 5697582]
[dateline, [1436.0, 521.0, 358.0, 64.5], shoonya_5s3N10YDYFKXWV, 5697582]
[sidebar, [176.0, 525.0, 806.0, 46.5], shoonya_10sMJ0GGMH5ASL, 5697582]
[paragraph, [184.0, 628.0, 1491.0, 46.5], shoonya_12sKB2XJ4MDSGF, 5697582]
[paragraph, [178.0, 760.0, 1630.0, 46.5], shoonya_3sHM1FK02C6ASI, 5697582]
[paragraph, [178.0, 806.5, 1630.0, 46.5], shoonya_3sHM1FK02C6ASI, 5697582]
[paragraph, [178.0, 853.0, 1630.0, 46.5], shoonya_3sHM1FK02C6ASI, 5697582]
[paragraph, [178.0, 899.5, 1630.0, 46.5], shoonya_3sHM1FK02C6ASI, 5697582]
[paragraph, [178.0, 946.0, 1630.0, 46.5], shoonya_3sHM1FK02C6ASI, 5697582]
[paragraph, [178.0, 992.5, 1630.0, 46.5], shoonya_3sHM1FK02C6ASI, 5697582]
[author, [1177.0, 1064.0, 438.0, 46.5], Im3V6EEySU, 5697582]
[author, [1177.0, 1110.5, 438.0, 46.5], Im3V6EEySU, 5697582]
[author, [1177.0, 1157.0, 438.0, 46.5], Im3V6EEySU, 5697582]
[contact-info, [1140.0, 1225.0, 535.0, 46.5], y7eJmhUFVh, 5697582]
[contact-info, [1140.0, 1271.5, 535.0, 46.5], y7eJmhUFVh, 5697582]
[contact-info, [1140.0, 1318.0, 535.0, 46.5], y7eJmhUFVh, 5697582]
[contact-info, [191.0, 1361.0, 396.0, 46.5], shoonya_6sM16SHU6F3FFQ, 5697582]
[contact-info, [191.0, 1407.5, 396.0, 46.5], shoonya_6sM16SHU6F3FFQ, 5697582]
[contact-info, [191.0, 1454.0, 396.0, 46.5], shoonya_6sM16SHU6F3FFQ, 5697582]
[dateline, [1431.0, 1534.0, 372.0, 64.5], shoonya_9sNRST27401SFB, 5697582]
[sidebar, [202.0, 1546.0, 850.0, 46.5], shoonya_8sWQ0CI00DGJ6L, 5697582]
[paragraph, [211.0, 1607.0, 851.0, 46.5], shoonya_11s3OO5B8PC0I1, 5697582]
[ordered-list, [198.0, 1660.0, 1548.0, 46.5], shoonya_13sDIS7GYFJOPJ, 5697582]
[ordered-list, [198.0, 1706.5, 1548.0, 46.5], shoonya_13sDIS7GYFJOPJ, 5697582]
[ordered-list, [198.0, 1753.0, 1548.0, 46.5], shoonya_13sDIS7GYFJOPJ, 5697582]
[ordered-list, [198.0, 1799.5, 1548.0, 46.5], shoonya_13sDIS7GYFJOPJ, 5697582]
[ordered-list, [198.0, 1846.0, 1548.0, 46.5], shoonya_13sDIS7GYFJOPJ, 5697582]
[ordered-list, [198.0, 1892.5, 1548.0, 46.5], shoonya_13sDIS7GYFJOPJ, 5697582]
[ordered-list, [198.0, 1939.0, 1548.0, 46.5], shoonya_13sDIS7GYFJOPJ, 5697582]
[ordered-list, [198.0, 1985.5, 1548.0, 46.5], shoonya_13sDIS7GYFJOPJ, 5697582]
[ordered-list, [198.0, 2032.0, 1548.0, 46.5], shoonya_13sDIS7GYFJOPJ, 5697582]
[ordered-list, [198.0, 2078.5, 1548.0, 46.5], shoonya_13sDIS7GYFJOPJ, 5697582]
[placeholder-text, [567.0, 1876.0, 455.0, 18.0], shoonya_2s3417730L8WSE, 5697582]
[placeholder-text, [812.0, 1973.0, 243.0, 18.0], yNbHnmtuH4, 5697582]
[placeholder-text, [464.0, 2031.0, 582.0, 18.0], DYPl29LZXv, 5697582]
[contact-info, [1207.0, 2332.0, 414.0, 46.5], tg4ov9JvTl, 5697582]
[contact-info, [1207.0, 2378.5, 414.0, 46.5], tg4ov9JvTl, 5697582]
[folio, [210.0, 2693.0, 319.0, 46.5], xfCuGivq5_, 5697582]
