[2338, 1654]
[paragraph, [268.0, 232.0, 1216.0, 36.0], shoonya_5sLJOIYS61RIUI, 5753596]
[paragraph, [268.0, 268.0, 1216.0, 36.0], shoonya_5sLJOIYS61RIUI, 5753596]
[paragraph, [268.0, 304.0, 1216.0, 36.0], shoonya_5sLJOIYS61RIUI, 5753596]
[paragraph, [268.0, 340.0, 1216.0, 36.0], shoonya_5sLJOIYS61RIUI, 5753596]
[paragraph, [268.0, 376.0, 1216.0, 36.0], shoonya_5sLJOIYS61RIUI, 5753596]
[paragraph, [268.0, 412.0, 1216.0, 36.0], shoonya_5sLJOIYS61RIUI, 5753596]
[paragraph, [268.0, 448.0, 1216.0, 36.0], shoonya_5sLJOIYS61RIUI, 5753596]
[paragraph, [268.0, 484.0, 1216.0, 36.0], shoonya_5sLJOIYS61RIUI, 5753596]
[paragraph, [268.0, 520.0, 1216.0, 36.0], shoonya_5sLJOIYS61RIUI, 5753596]
[paragraph, [269.0, 579.0, 1213.0, 36.0], shoonya_4s0RWDB9NZ0DZI, 5753596]
[paragraph, [269.0, 615.0, 1213.0, 36.0], shoonya_4s0RWDB9NZ0DZI, 5753596]
[paragraph, [269.0, 651.0, 1213.0, 36.0], shoonya_4s0RWDB9NZ0DZI, 5753596]
[paragraph, [269.0, 687.0, 1213.0, 36.0], shoonya_4s0RWDB9NZ0DZI, 5753596]
[paragraph, [269.0, 723.0, 1213.0, 36.0], shoonya_4s0RWDB9NZ0DZI, 5753596]
[paragraph, [269.0, 759.0, 1213.0, 36.0], shoonya_4s0RWDB9NZ0DZI, 5753596]
[paragraph, [269.0, 795.0, 1213.0, 36.0], shoonya_4s0RWDB9NZ0DZI, 5753596]
[paragraph, [269.0, 831.0, 1213.0, 36.0], shoonya_4s0RWDB9NZ0DZI, 5753596]
[paragraph, [269.0, 867.0, 1213.0, 36.0], shoonya_4s0RWDB9NZ0DZI, 5753596]
[paragraph, [269.0, 903.0, 1213.0, 36.0], shoonya_4s0RWDB9NZ0DZI, 5753596]
[paragraph, [269.0, 939.0, 1213.0, 36.0], shoonya_4s0RWDB9NZ0DZI, 5753596]
[paragraph, [269.0, 975.0, 1213.0, 36.0], shoonya_4s0RWDB9NZ0DZI, 5753596]
[paragraph, [269.0, 1011.0, 1213.0, 36.0], shoonya_4s0RWDB9NZ0DZI, 5753596]
[paragraph, [269.0, 1047.0, 1213.0, 36.0], shoonya_4s0RWDB9NZ0DZI, 5753596]
[paragraph, [267.0, 1096.0, 1208.0, 36.0], Yv7L04NGE9, 5753596]
[paragraph, [267.0, 1132.0, 1208.0, 36.0], Yv7L04NGE9, 5753596]
[paragraph, [267.0, 1168.0, 1208.0, 36.0], Yv7L04NGE9, 5753596]
[paragraph, [267.0, 1204.0, 1208.0, 36.0], Yv7L04NGE9, 5753596]
[paragraph, [267.0, 1240.0, 1208.0, 36.0], Yv7L04NGE9, 5753596]
[paragraph, [267.0, 1276.0, 1208.0, 36.0], Yv7L04NGE9, 5753596]
[paragraph, [261.0, 1351.0, 1203.0, 36.0], shoonya_2sVBWSADL7YJO6, 5753596]
[paragraph, [261.0, 1387.0, 1203.0, 36.0], shoonya_2sVBWSADL7YJO6, 5753596]
[paragraph, [261.0, 1423.0, 1203.0, 36.0], shoonya_2sVBWSADL7YJO6, 5753596]
[paragraph, [261.0, 1459.0, 1203.0, 36.0], shoonya_2sVBWSADL7YJO6, 5753596]
[paragraph, [261.0, 1495.0, 1203.0, 36.0], shoonya_2sVBWSADL7YJO6, 5753596]
[paragraph, [261.0, 1531.0, 1203.0, 36.0], shoonya_2sVBWSADL7YJO6, 5753596]
[paragraph, [261.0, 1567.0, 1203.0, 36.0], shoonya_2sVBWSADL7YJO6, 5753596]
[paragraph, [269.0, 1617.0, 1208.0, 36.0], shoonya_0sMJPXKACCE4ZQ, 5753596]
[paragraph, [269.0, 1653.0, 1208.0, 36.0], shoonya_0sMJPXKACCE4ZQ, 5753596]
[paragraph, [269.0, 1689.0, 1208.0, 36.0], shoonya_0sMJPXKACCE4ZQ, 5753596]
[paragraph, [269.0, 1725.0, 1208.0, 36.0], shoonya_0sMJPXKACCE4ZQ, 5753596]
[paragraph, [269.0, 1761.0, 1208.0, 36.0], shoonya_0sMJPXKACCE4ZQ, 5753596]
[paragraph, [269.0, 1797.0, 1208.0, 36.0], shoonya_0sMJPXKACCE4ZQ, 5753596]
[paragraph, [269.0, 1833.0, 1208.0, 36.0], shoonya_0sMJPXKACCE4ZQ, 5753596]
[paragraph, [269.0, 1869.0, 1208.0, 36.0], shoonya_0sMJPXKACCE4ZQ, 5753596]
[reference, [265.0, 2010.0, 1086.0, 36.0], 8UZKGbwJGX, 5753596]
[reference, [265.0, 2046.0, 1086.0, 36.0], 8UZKGbwJGX, 5753596]
[reference, [265.0, 2082.0, 1086.0, 36.0], 8UZKGbwJGX, 5753596]
