[720, 1667]
[headline, [685.0, 63.0, 156.0, 25.5], shoonya_4s9P6WCSA00E0V, 5744844]
[headline, [685.0, 88.5, 156.0, 25.5], shoonya_4s9P6WCSA00E0V, 5744844]
[headline, [685.0, 114.0, 156.0, 25.5], shoonya_4s9P6WCSA00E0V, 5744844]
[headline, [685.0, 139.5, 156.0, 25.5], shoonya_4s9P6WCSA00E0V, 5744844]
[headline, [685.0, 165.0, 156.0, 25.5], shoonya_4s9P6WCSA00E0V, 5744844]
[headline, [685.0, 190.5, 156.0, 25.5], shoonya_4s9P6WCSA00E0V, 5744844]
[headline, [685.0, 216.0, 156.0, 25.5], shoonya_4s9P6WCSA00E0V, 5744844]
[headline, [685.0, 241.5, 156.0, 25.5], shoonya_4s9P6WCSA00E0V, 5744844]
[section-title, [948.0, 124.0, 433.0, 30.0], D8Xiy0iAs6, 5744844]
[paragraph, [943.0, 177.0, 523.0, 18.0], PMKf2qtnbN, 5744844]
[paragraph, [943.0, 195.0, 523.0, 18.0], PMKf2qtnbN, 5744844]
[paragraph, [945.0, 234.0, 357.0, 18.0], bEQK-hoWDY, 5744844]
[paragraph, [948.0, 274.0, 374.0, 18.0], FG8ZEzXhFM, 5744844]
[paragraph, [948.0, 292.0, 374.0, 18.0], FG8ZEzXhFM, 5744844]
[paragraph, [948.0, 310.0, 374.0, 18.0], FG8ZEzXhFM, 5744844]
[paragraph, [948.0, 337.0, 268.0, 18.0], 84sylCNmb1, 5744844]
[paragraph, [947.0, 378.0, 451.0, 18.0], CXcQIBLXV3, 5744844]
[quote, [956.0, 434.0, 404.0, 18.0], uxqTQgRmr1, 5744844]
[quote, [956.0, 452.0, 404.0, 18.0], uxqTQgRmr1, 5744844]
[quote, [956.0, 470.0, 404.0, 18.0], uxqTQgRmr1, 5744844]
[author, [977.0, 497.0, 102.0, 18.0], c7QY1LR11V, 5744844]
