[1603, 1196]
[paragraph, [175.0, 95.0, 933.0, 36.0], shoonya_1s6X1V5QWG0GNZ, 6476530]
[paragraph, [175.0, 131.0, 933.0, 36.0], shoonya_1s6X1V5QWG0GNZ, 6476530]
[paragraph, [175.0, 167.0, 933.0, 36.0], shoonya_1s6X1V5QWG0GNZ, 6476530]
[paragraph, [175.0, 203.0, 933.0, 36.0], shoonya_1s6X1V5QWG0GNZ, 6476530]
[paragraph, [175.0, 239.0, 933.0, 36.0], shoonya_1s6X1V5QWG0GNZ, 6476530]
[paragraph, [175.0, 275.0, 933.0, 36.0], shoonya_1s6X1V5QWG0GNZ, 6476530]
[paragraph, [175.0, 311.0, 933.0, 36.0], shoonya_1s6X1V5QWG0GNZ, 6476530]
[paragraph, [175.0, 347.0, 933.0, 36.0], shoonya_1s6X1V5QWG0GNZ, 6476530]
[paragraph, [175.0, 383.0, 933.0, 36.0], shoonya_1s6X1V5QWG0GNZ, 6476530]
[paragraph, [166.0, 466.0, 950.0, 36.0], shoonya_0sWRRIE2VLJJ7L, 6476530]
[paragraph, [166.0, 502.0, 950.0, 36.0], shoonya_0sWRRIE2VLJJ7L, 6476530]
[paragraph, [166.0, 538.0, 950.0, 36.0], shoonya_0sWRRIE2VLJJ7L, 6476530]
[paragraph, [166.0, 574.0, 950.0, 36.0], shoonya_0sWRRIE2VLJJ7L, 6476530]
[paragraph, [166.0, 610.0, 950.0, 36.0], shoonya_0sWRRIE2VLJJ7L, 6476530]
[paragraph, [166.0, 646.0, 950.0, 36.0], shoonya_0sWRRIE2VLJJ7L, 6476530]
[paragraph, [166.0, 682.0, 950.0, 36.0], shoonya_0sWRRIE2VLJJ7L, 6476530]
[paragraph, [166.0, 718.0, 950.0, 36.0], shoonya_0sWRRIE2VLJJ7L, 6476530]
[paragraph, [166.0, 754.0, 950.0, 36.0], shoonya_0sWRRIE2VLJJ7L, 6476530]
[paragraph, [166.0, 790.0, 950.0, 36.0], shoonya_0sWRRIE2VLJJ7L, 6476530]
[paragraph, [166.0, 826.0, 950.0, 36.0], shoonya_0sWRRIE2VLJJ7L, 6476530]
[paragraph, [166.0, 862.0, 950.0, 36.0], shoonya_0sWRRIE2VLJJ7L, 6476530]
[paragraph, [174.0, 928.0, 810.0, 36.0], shoonya_2sQBDDXZV5OCXF, 6476530]
[paragraph, [182.0, 990.0, 929.0, 36.0], QKwOCe5rXK, 6476530]
[paragraph, [182.0, 1026.0, 929.0, 36.0], QKwOCe5rXK, 6476530]
[paragraph, [182.0, 1062.0, 929.0, 36.0], QKwOCe5rXK, 6476530]
[paragraph, [182.0, 1098.0, 929.0, 36.0], QKwOCe5rXK, 6476530]
[paragraph, [182.0, 1134.0, 929.0, 36.0], QKwOCe5rXK, 6476530]
[paragraph, [182.0, 1170.0, 929.0, 36.0], QKwOCe5rXK, 6476530]
[paragraph, [182.0, 1206.0, 929.0, 36.0], QKwOCe5rXK, 6476530]
[paragraph, [182.0, 1242.0, 929.0, 36.0], QKwOCe5rXK, 6476530]
[paragraph, [182.0, 1278.0, 929.0, 36.0], QKwOCe5rXK, 6476530]
[paragraph, [182.0, 1314.0, 929.0, 36.0], QKwOCe5rXK, 6476530]
[paragraph, [182.0, 1350.0, 929.0, 36.0], QKwOCe5rXK, 6476530]
[paragraph, [182.0, 1386.0, 929.0, 36.0], QKwOCe5rXK, 6476530]
[paragraph, [182.0, 1422.0, 929.0, 36.0], QKwOCe5rXK, 6476530]
[folio, [77.0, 1484.0, 226.0, 36.0], tnNYXD9SZV, 6476530]
