[1275, 750]
[folio, [257.0, 87.0, 233.0, 18.0], shoonya_1sWM6SNVVOPBKO, 5767541]
[folio, [257.0, 105.0, 233.0, 18.0], shoonya_1sWM6SNVVOPBKO, 5767541]
[paragraph, [78.0, 161.0, 630.0, 18.0], TJWoNGAcx2, 5767541]
[paragraph, [78.0, 179.0, 630.0, 18.0], TJWoNGAcx2, 5767541]
[paragraph, [78.0, 197.0, 630.0, 18.0], TJWoNGAcx2, 5767541]
[paragraph, [78.0, 215.0, 630.0, 18.0], TJWoNGAcx2, 5767541]
[paragraph, [78.0, 233.0, 630.0, 18.0], TJWoNGAcx2, 5767541]
[paragraph, [78.0, 251.0, 630.0, 18.0], TJWoNGAcx2, 5767541]
[paragraph, [78.0, 269.0, 630.0, 18.0], TJWoNGAcx2, 5767541]
[paragraph, [77.0, 291.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 309.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 327.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 345.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 363.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 381.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 399.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 417.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 435.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 453.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 471.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 489.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 507.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 525.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 543.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 561.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 579.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 597.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 615.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 633.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 651.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 669.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 687.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 705.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 723.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 741.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 759.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 777.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 795.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 813.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 831.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 849.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 867.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 885.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 903.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 921.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 939.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 957.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 975.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[paragraph, [77.0, 993.0, 639.0, 18.0], -Xm3WIxO9N, 5767541]
[section-title, [254.0, 1037.0, 258.0, 30.0], Fk-0Axs-VZ, 5767541]
[paragraph, [85.0, 1094.0, 609.0, 18.0], Y3fjm6NORj, 5767541]
[paragraph, [85.0, 1112.0, 609.0, 18.0], Y3fjm6NORj, 5767541]
[paragraph, [85.0, 1130.0, 609.0, 18.0], Y3fjm6NORj, 5767541]
[paragraph, [85.0, 1148.0, 609.0, 18.0], Y3fjm6NORj, 5767541]
[paragraph, [85.0, 1166.0, 609.0, 18.0], Y3fjm6NORj, 5767541]
