[1755, 1240]
[folio, [646.0, 75.0, 477.0, 36.0], OulWm7OPnJ, 5744029]
[paragraph, [193.0, 203.0, 940.0, 36.0], q0cNlll9kB, 5744029]
[paragraph, [193.0, 239.0, 940.0, 36.0], q0cNlll9kB, 5744029]
[paragraph, [193.0, 275.0, 940.0, 36.0], q0cNlll9kB, 5744029]
[paragraph, [193.0, 311.0, 940.0, 36.0], q0cNlll9kB, 5744029]
[paragraph, [193.0, 347.0, 940.0, 36.0], q0cNlll9kB, 5744029]
[paragraph, [193.0, 383.0, 940.0, 36.0], q0cNlll9kB, 5744029]
[paragraph, [193.0, 419.0, 940.0, 36.0], q0cNlll9kB, 5744029]
[paragraph, [193.0, 455.0, 940.0, 36.0], q0cNlll9kB, 5744029]
[paragraph, [193.0, 491.0, 940.0, 36.0], q0cNlll9kB, 5744029]
[paragraph, [193.0, 527.0, 940.0, 36.0], q0cNlll9kB, 5744029]
[paragraph, [193.0, 563.0, 940.0, 36.0], q0cNlll9kB, 5744029]
[paragraph, [193.0, 599.0, 940.0, 36.0], q0cNlll9kB, 5744029]
[paragraph, [193.0, 635.0, 940.0, 36.0], q0cNlll9kB, 5744029]
[paragraph, [193.0, 671.0, 940.0, 36.0], q0cNlll9kB, 5744029]
[paragraph, [193.0, 707.0, 940.0, 36.0], q0cNlll9kB, 5744029]
[paragraph, [190.0, 779.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 815.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 851.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 887.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 923.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 959.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 995.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 1031.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 1067.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 1103.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 1139.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 1175.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 1211.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 1247.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 1283.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 1319.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 1355.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 1391.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 1427.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 1463.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 1499.0, 950.0, 36.0], --MORxcnBk, 5744029]
[paragraph, [190.0, 1535.0, 950.0, 36.0], --MORxcnBk, 5744029]
