[1545, 2000]
[section-title, [69.0, 84.0, 384.0, 49.5], 0GN7MJwwwp, 6532515]
[section-title, [69.0, 133.5, 384.0, 49.5], 0GN7MJwwwp, 6532515]
[section-title, [724.0, 92.0, 284.0, 49.5], LjSOaMzblB, 6532515]
[paragraph, [1438.0, 182.0, 464.0, 36.0], isccLSZcHN, 6532515]
[paragraph, [1438.0, 218.0, 464.0, 36.0], isccLSZcHN, 6532515]
[paragraph, [1438.0, 254.0, 464.0, 36.0], isccLSZcHN, 6532515]
[paragraph, [1438.0, 290.0, 464.0, 36.0], isccLSZcHN, 6532515]
[paragraph, [1438.0, 326.0, 464.0, 36.0], isccLSZcHN, 6532515]
[paragraph, [1438.0, 362.0, 464.0, 36.0], isccLSZcHN, 6532515]
[paragraph, [1438.0, 398.0, 464.0, 36.0], isccLSZcHN, 6532515]
[unordered-list, [57.0, 277.0, 571.0, 36.0], ZGqo-NIR-V, 6532515]
[unordered-list, [57.0, 313.0, 571.0, 36.0], ZGqo-NIR-V, 6532515]
[unordered-list, [57.0, 349.0, 571.0, 36.0], ZGqo-NIR-V, 6532515]
[unordered-list, [57.0, 385.0, 571.0, 36.0], ZGqo-NIR-V, 6532515]
[unordered-list, [57.0, 421.0, 571.0, 36.0], ZGqo-NIR-V, 6532515]
[unordered-list, [57.0, 457.0, 571.0, 36.0], ZGqo-NIR-V, 6532515]
[unordered-list, [57.0, 493.0, 571.0, 36.0], ZGqo-NIR-V, 6532515]
[unordered-list, [57.0, 529.0, 571.0, 36.0], ZGqo-NIR-V, 6532515]
[unordered-list, [57.0, 565.0, 571.0, 36.0], ZGqo-NIR-V, 6532515]
[unordered-list, [57.0, 601.0, 571.0, 36.0], ZGqo-NIR-V, 6532515]
[unordered-list, [57.0, 637.0, 571.0, 36.0], ZGqo-NIR-V, 6532515]
[unordered-list, [753.0, 290.0, 393.0, 36.0], shoonya_0sEPR7SHKZQ32Y, 6532515]
[unordered-list, [753.0, 326.0, 393.0, 36.0], shoonya_0sEPR7SHKZQ32Y, 6532515]
[unordered-list, [753.0, 362.0, 393.0, 36.0], shoonya_0sEPR7SHKZQ32Y, 6532515]
[unordered-list, [753.0, 398.0, 393.0, 36.0], shoonya_0sEPR7SHKZQ32Y, 6532515]
[unordered-list, [753.0, 434.0, 393.0, 36.0], shoonya_0sEPR7SHKZQ32Y, 6532515]
[unordered-list, [753.0, 470.0, 393.0, 36.0], shoonya_0sEPR7SHKZQ32Y, 6532515]
[unordered-list, [753.0, 506.0, 393.0, 36.0], shoonya_0sEPR7SHKZQ32Y, 6532515]
[unordered-list, [753.0, 542.0, 393.0, 36.0], shoonya_0sEPR7SHKZQ32Y, 6532515]
[unordered-list, [753.0, 578.0, 393.0, 36.0], shoonya_0sEPR7SHKZQ32Y, 6532515]
[unordered-list, [753.0, 614.0, 393.0, 36.0], shoonya_0sEPR7SHKZQ32Y, 6532515]
[unordered-list, [753.0, 650.0, 393.0, 36.0], shoonya_0sEPR7SHKZQ32Y, 6532515]
[paragraph, [1368.0, 723.0, 584.0, 36.0], rM6PiiKbEQ, 6532515]
[paragraph, [1368.0, 759.0, 584.0, 36.0], rM6PiiKbEQ, 6532515]
[paragraph, [1368.0, 795.0, 584.0, 36.0], rM6PiiKbEQ, 6532515]
[contact-info, [1454.0, 1042.0, 202.0, 36.0], lLEMW96Yi0, 6532515]
[paragraph, [1455.0, 1094.0, 431.0, 36.0], wKlDp3kOyL, 6532515]
[paragraph, [1455.0, 1130.0, 431.0, 36.0], wKlDp3kOyL, 6532515]
[contact-info, [1455.0, 1209.0, 400.0, 36.0], 8SDNHVlxxO, 6532515]
[website-link, [1426.0, 1338.0, 491.0, 18.0], eV9T2GXsOm, 6532515]
[website-link, [1426.0, 1356.0, 491.0, 18.0], eV9T2GXsOm, 6532515]
[website-link, [1426.0, 1374.0, 491.0, 18.0], eV9T2GXsOm, 6532515]
