[1275, 750]
[folio, [226.0, 88.0, 287.0, 18.0], iu5qvvTthl, 5767114]
[folio, [226.0, 106.0, 287.0, 18.0], iu5qvvTthl, 5767114]
[folio, [226.0, 124.0, 287.0, 18.0], iu5qvvTthl, 5767114]
[paragraph, [70.0, 156.0, 603.0, 18.0], -UFVTtVUfJ, 5767114]
[paragraph, [70.0, 174.0, 603.0, 18.0], -UFVTtVUfJ, 5767114]
[paragraph, [70.0, 192.0, 603.0, 18.0], -UFVTtVUfJ, 5767114]
[paragraph, [70.0, 210.0, 603.0, 18.0], -UFVTtVUfJ, 5767114]
[paragraph, [70.0, 228.0, 603.0, 18.0], -UFVTtVUfJ, 5767114]
[paragraph, [70.0, 246.0, 603.0, 18.0], -UFVTtVUfJ, 5767114]
[paragraph, [70.0, 264.0, 603.0, 18.0], -UFVTtVUfJ, 5767114]
[paragraph, [70.0, 282.0, 603.0, 18.0], -UFVTtVUfJ, 5767114]
[paragraph, [70.0, 300.0, 603.0, 18.0], -UFVTtVUfJ, 5767114]
[paragraph, [70.0, 318.0, 603.0, 18.0], -UFVTtVUfJ, 5767114]
[paragraph, [70.0, 336.0, 603.0, 18.0], -UFVTtVUfJ, 5767114]
[paragraph, [70.0, 354.0, 603.0, 18.0], -UFVTtVUfJ, 5767114]
[section-title, [212.0, 407.0, 315.0, 30.0], FEevaARVA9, 5767114]
[paragraph, [85.0, 467.0, 535.0, 18.0], TdpPAJUN8-, 5767114]
[paragraph, [85.0, 485.0, 535.0, 18.0], TdpPAJUN8-, 5767114]
[paragraph, [85.0, 503.0, 535.0, 18.0], TdpPAJUN8-, 5767114]
[paragraph, [85.0, 521.0, 535.0, 18.0], TdpPAJUN8-, 5767114]
[paragraph, [85.0, 539.0, 535.0, 18.0], TdpPAJUN8-, 5767114]
[paragraph, [528.0, 558.0, 143.0, 18.0], shoonya_1sG4QIXM4NPGKK, 5767114]
[paragraph, [528.0, 576.0, 143.0, 18.0], shoonya_1sG4QIXM4NPGKK, 5767114]
[paragraph, [67.0, 598.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 616.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 634.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 652.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 670.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 688.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 706.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 724.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 742.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 760.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 778.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 796.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 814.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 832.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 850.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 868.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 886.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 904.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 922.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 940.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 958.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 976.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 994.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 1012.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 1030.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 1048.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 1066.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 1084.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 1102.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 1120.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 1138.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 1156.0, 630.0, 18.0], mVWbunqRnI, 5767114]
[paragraph, [67.0, 1174.0, 630.0, 18.0], mVWbunqRnI, 5767114]
