[2200, 1700]
[paragraph, [312.0, 39.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 75.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 111.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 147.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 183.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 219.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 255.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 291.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 327.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 363.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 399.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 435.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 471.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 507.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 543.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 579.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 615.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 651.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 687.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 723.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 759.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 795.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 831.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 867.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 903.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 939.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 975.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 1011.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 1047.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 1083.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 1119.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 1155.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 1191.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 1227.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 1263.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 1299.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 1335.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 1371.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 1407.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 1443.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [312.0, 1479.0, 1122.0, 36.0], shoonya_0sAT4P25YZVB5Z, 5731333]
[paragraph, [352.0, 1524.0, 1093.0, 36.0], BxxOQxRN6S, 5731333]
[paragraph, [352.0, 1560.0, 1093.0, 36.0], BxxOQxRN6S, 5731333]
[paragraph, [352.0, 1596.0, 1093.0, 36.0], BxxOQxRN6S, 5731333]
[section-title, [356.0, 1658.0, 834.0, 52.5], IJeVGoxMnE, 5731333]
[paragraph, [348.0, 1728.0, 1092.0, 36.0], shoonya_2s7GJMU1OE41JO, 5731333]
[paragraph, [348.0, 1764.0, 1092.0, 36.0], shoonya_2s7GJMU1OE41JO, 5731333]
[paragraph, [348.0, 1800.0, 1092.0, 36.0], shoonya_2s7GJMU1OE41JO, 5731333]
[paragraph, [348.0, 1836.0, 1092.0, 36.0], shoonya_2s7GJMU1OE41JO, 5731333]
[paragraph, [348.0, 1872.0, 1092.0, 36.0], shoonya_2s7GJMU1OE41JO, 5731333]
[folio, [984.0, 1979.0, 375.0, 36.0], SZiJxwCed6, 5731333]
[folio, [984.0, 2015.0, 375.0, 36.0], SZiJxwCed6, 5731333]
