[1723, 1092]
[paragraph, [108.0, 92.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 128.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 164.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 200.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 236.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 272.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 308.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 344.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 380.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 416.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 452.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 488.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 524.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 560.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 596.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 632.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 668.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 704.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 740.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 776.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 812.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 848.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 884.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 920.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 956.0, 878.0, 36.0], shoonya_1sYTMHY6R8FQCR, 5680455]
[paragraph, [108.0, 1057.0, 878.0, 36.0], shoonya_0sBEI0J5XI3S2D, 5680455]
[paragraph, [108.0, 1093.0, 878.0, 36.0], shoonya_0sBEI0J5XI3S2D, 5680455]
[paragraph, [108.0, 1129.0, 878.0, 36.0], shoonya_0sBEI0J5XI3S2D, 5680455]
[paragraph, [108.0, 1165.0, 878.0, 36.0], shoonya_0sBEI0J5XI3S2D, 5680455]
[paragraph, [108.0, 1201.0, 878.0, 36.0], shoonya_0sBEI0J5XI3S2D, 5680455]
[paragraph, [108.0, 1237.0, 878.0, 36.0], shoonya_0sBEI0J5XI3S2D, 5680455]
[paragraph, [108.0, 1273.0, 878.0, 36.0], shoonya_0sBEI0J5XI3S2D, 5680455]
[paragraph, [108.0, 1309.0, 878.0, 36.0], shoonya_0sBEI0J5XI3S2D, 5680455]
[paragraph, [108.0, 1345.0, 878.0, 36.0], shoonya_0sBEI0J5XI3S2D, 5680455]
[paragraph, [108.0, 1381.0, 878.0, 36.0], shoonya_0sBEI0J5XI3S2D, 5680455]
[paragraph, [108.0, 1417.0, 878.0, 36.0], shoonya_0sBEI0J5XI3S2D, 5680455]
[paragraph, [108.0, 1453.0, 878.0, 36.0], shoonya_0sBEI0J5XI3S2D, 5680455]
[paragraph, [108.0, 1489.0, 878.0, 36.0], shoonya_0sBEI0J5XI3S2D, 5680455]
