[2339, 1656]
[paragraph, [380.0, 186.0, 712.0, 36.0], shoonya_0s8XA3168NTZUA, 5752546]
[paragraph, [380.0, 222.0, 712.0, 36.0], shoonya_0s8XA3168NTZUA, 5752546]
[paragraph, [380.0, 258.0, 712.0, 36.0], shoonya_0s8XA3168NTZUA, 5752546]
[paragraph, [380.0, 294.0, 712.0, 36.0], shoonya_0s8XA3168NTZUA, 5752546]
[paragraph, [190.0, 476.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 512.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 548.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 584.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 620.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 656.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 692.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 728.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 764.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 800.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 836.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 872.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 908.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 944.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 980.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 1016.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 1052.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 1088.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [190.0, 1124.0, 1277.0, 36.0], phwujRdxw8, 5752546]
[paragraph, [192.0, 1208.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1244.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1280.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1316.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1352.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1388.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1424.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1460.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1496.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1532.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1568.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1604.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1640.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1676.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1712.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1748.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1784.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1820.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1856.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1892.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1928.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 1964.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[paragraph, [192.0, 2000.0, 1291.0, 36.0], wkJXB3sYxF, 5752546]
[folio, [302.0, 2148.0, 474.0, 36.0], BI5i9KFYbW, 5752546]
