[595, 454]
[chapter-title, [224.0, 160.0, 194.0, 30.0], crdvFGqzII, 6460482]
[paragraph, [228.0, 213.0, 202.0, 18.0], ZlArgbav9P, 6460482]
[paragraph, [228.0, 231.0, 202.0, 18.0], ZlArgbav9P, 6460482]
[paragraph, [228.0, 249.0, 202.0, 18.0], ZlArgbav9P, 6460482]
[paragraph, [228.0, 267.0, 202.0, 18.0], ZlArgbav9P, 6460482]
[paragraph, [228.0, 285.0, 202.0, 18.0], ZlArgbav9P, 6460482]
[paragraph, [228.0, 303.0, 202.0, 18.0], ZlArgbav9P, 6460482]
[paragraph, [228.0, 321.0, 202.0, 18.0], ZlArgbav9P, 6460482]
[paragraph, [228.0, 339.0, 202.0, 18.0], ZlArgbav9P, 6460482]
[paragraph, [228.0, 357.0, 202.0, 18.0], ZlArgbav9P, 6460482]
[paragraph, [228.0, 375.0, 202.0, 18.0], ZlArgbav9P, 6460482]
[paragraph, [228.0, 393.0, 202.0, 18.0], ZlArgbav9P, 6460482]
[paragraph, [228.0, 411.0, 202.0, 18.0], ZlArgbav9P, 6460482]
[paragraph, [228.0, 429.0, 202.0, 18.0], ZlArgbav9P, 6460482]
[paragraph, [28.0, 215.0, 203.0, 18.0], gR7jsOB_5H, 6460482]
[paragraph, [28.0, 233.0, 203.0, 18.0], gR7jsOB_5H, 6460482]
[paragraph, [28.0, 251.0, 203.0, 18.0], gR7jsOB_5H, 6460482]
[paragraph, [28.0, 269.0, 203.0, 18.0], gR7jsOB_5H, 6460482]
[paragraph, [28.0, 287.0, 203.0, 18.0], gR7jsOB_5H, 6460482]
[paragraph, [28.0, 305.0, 203.0, 18.0], gR7jsOB_5H, 6460482]
[paragraph, [25.0, 331.0, 204.0, 18.0], shoonya_0sT9CJ2K3MX19A, 6460482]
[paragraph, [25.0, 349.0, 204.0, 18.0], shoonya_0sT9CJ2K3MX19A, 6460482]
[paragraph, [25.0, 367.0, 204.0, 18.0], shoonya_0sT9CJ2K3MX19A, 6460482]
[paragraph, [25.0, 385.0, 204.0, 18.0], shoonya_0sT9CJ2K3MX19A, 6460482]
[paragraph, [23.0, 410.0, 210.0, 18.0], 1j42TWVTzI, 6460482]
[paragraph, [23.0, 428.0, 210.0, 18.0], 1j42TWVTzI, 6460482]
[paragraph, [23.0, 446.0, 210.0, 18.0], 1j42TWVTzI, 6460482]
[paragraph, [23.0, 464.0, 210.0, 18.0], 1j42TWVTzI, 6460482]
[paragraph, [23.0, 482.0, 210.0, 18.0], 1j42TWVTzI, 6460482]
[paragraph, [23.0, 500.0, 210.0, 18.0], 1j42TWVTzI, 6460482]
[paragraph, [23.0, 518.0, 210.0, 18.0], 1j42TWVTzI, 6460482]
[paragraph, [226.0, 442.0, 208.0, 18.0], HAesOx9vev, 6460482]
[paragraph, [226.0, 460.0, 208.0, 18.0], HAesOx9vev, 6460482]
[paragraph, [226.0, 478.0, 208.0, 18.0], HAesOx9vev, 6460482]
[paragraph, [226.0, 496.0, 208.0, 18.0], HAesOx9vev, 6460482]
[paragraph, [226.0, 514.0, 208.0, 18.0], HAesOx9vev, 6460482]
[paragraph, [226.0, 532.0, 208.0, 18.0], HAesOx9vev, 6460482]
[folio, [208.0, 551.0, 48.0, 18.0], Q56KymiwVI, 6460482]
