[831, 612]
[headline, [183.0, 128.0, 86.0, 25.5], D8uc9yjfvT, 6459800]
[paragraph, [65.0, 201.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 219.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 237.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 255.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 273.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 291.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 309.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 327.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 345.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 363.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 381.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 399.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 417.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 435.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 453.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 471.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 489.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 507.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 525.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 543.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 561.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 579.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 597.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 615.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 633.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 651.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
[paragraph, [65.0, 669.0, 330.0, 18.0], shoonya_0s6WRML2E53GNU, 6459800]
