[1289, 834]
[folio, [678.0, 101.0, 97.0, 18.0], EPmImkBRZk, 5773907]
[folio, [678.0, 119.0, 97.0, 18.0], EPmImkBRZk, 5773907]
[answer, [101.0, 257.0, 674.0, 18.0], shoonya_1s682I2DGE302D, 5773907]
[answer, [101.0, 275.0, 674.0, 18.0], shoonya_1s682I2DGE302D, 5773907]
[answer, [101.0, 293.0, 674.0, 18.0], shoonya_1s682I2DGE302D, 5773907]
[answer, [101.0, 311.0, 674.0, 18.0], shoonya_1s682I2DGE302D, 5773907]
[answer, [101.0, 329.0, 674.0, 18.0], shoonya_1s682I2DGE302D, 5773907]
[answer, [101.0, 347.0, 674.0, 18.0], shoonya_1s682I2DGE302D, 5773907]
[answer, [101.0, 365.0, 674.0, 18.0], shoonya_1s682I2DGE302D, 5773907]
[answer, [101.0, 383.0, 674.0, 18.0], shoonya_1s682I2DGE302D, 5773907]
[answer, [101.0, 401.0, 674.0, 18.0], shoonya_1s682I2DGE302D, 5773907]
[answer, [101.0, 419.0, 674.0, 18.0], shoonya_1s682I2DGE302D, 5773907]
[answer, [101.0, 437.0, 674.0, 18.0], shoonya_1s682I2DGE302D, 5773907]
[answer, [101.0, 455.0, 674.0, 18.0], shoonya_1s682I2DGE302D, 5773907]
[answer, [101.0, 473.0, 674.0, 18.0], shoonya_1s682I2DGE302D, 5773907]
[answer, [101.0, 491.0, 674.0, 18.0], shoonya_1s682I2DGE302D, 5773907]
[paragraph, [97.0, 519.0, 666.0, 18.0], shoonya_0sKILKJF19L1IG, 5773907]
[paragraph, [97.0, 537.0, 666.0, 18.0], shoonya_0sKILKJF19L1IG, 5773907]
[paragraph, [97.0, 555.0, 666.0, 18.0], shoonya_0sKILKJF19L1IG, 5773907]
[paragraph, [97.0, 573.0, 666.0, 18.0], shoonya_0sKILKJF19L1IG, 5773907]
[paragraph, [97.0, 591.0, 666.0, 18.0], shoonya_0sKILKJF19L1IG, 5773907]
[paragraph, [97.0, 609.0, 666.0, 18.0], shoonya_0sKILKJF19L1IG, 5773907]
[paragraph, [97.0, 627.0, 666.0, 18.0], shoonya_0sKILKJF19L1IG, 5773907]
[paragraph, [93.0, 656.0, 671.0, 18.0], shoonya_2sDHHUIFW0EL6X, 5773907]
[paragraph, [93.0, 674.0, 671.0, 18.0], shoonya_2sDHHUIFW0EL6X, 5773907]
[paragraph, [93.0, 692.0, 671.0, 18.0], shoonya_2sDHHUIFW0EL6X, 5773907]
[paragraph, [93.0, 710.0, 671.0, 18.0], shoonya_2sDHHUIFW0EL6X, 5773907]
[paragraph, [93.0, 728.0, 671.0, 18.0], shoonya_2sDHHUIFW0EL6X, 5773907]
[paragraph, [93.0, 746.0, 671.0, 18.0], shoonya_2sDHHUIFW0EL6X, 5773907]
[paragraph, [93.0, 764.0, 671.0, 18.0], shoonya_2sDHHUIFW0EL6X, 5773907]
[paragraph, [93.0, 788.0, 683.0, 18.0], 9-cLEbvNR0, 5773907]
[paragraph, [93.0, 806.0, 683.0, 18.0], 9-cLEbvNR0, 5773907]
[paragraph, [93.0, 824.0, 683.0, 18.0], 9-cLEbvNR0, 5773907]
[paragraph, [93.0, 842.0, 683.0, 18.0], 9-cLEbvNR0, 5773907]
[paragraph, [93.0, 860.0, 683.0, 18.0], 9-cLEbvNR0, 5773907]
[paragraph, [93.0, 878.0, 683.0, 18.0], 9-cLEbvNR0, 5773907]
[answer, [79.0, 977.0, 692.0, 18.0], WrEj6Hmwkd, 5773907]
[answer, [79.0, 995.0, 692.0, 18.0], WrEj6Hmwkd, 5773907]
[answer, [79.0, 1013.0, 692.0, 18.0], WrEj6Hmwkd, 5773907]
[answer, [79.0, 1031.0, 692.0, 18.0], WrEj6Hmwkd, 5773907]
[answer, [79.0, 1049.0, 692.0, 18.0], WrEj6Hmwkd, 5773907]
[answer, [79.0, 1067.0, 692.0, 18.0], WrEj6Hmwkd, 5773907]
[answer, [79.0, 1085.0, 692.0, 18.0], WrEj6Hmwkd, 5773907]
[answer, [79.0, 1103.0, 692.0, 18.0], WrEj6Hmwkd, 5773907]
[answer, [79.0, 1121.0, 692.0, 18.0], WrEj6Hmwkd, 5773907]
[answer, [79.0, 1139.0, 692.0, 18.0], WrEj6Hmwkd, 5773907]
[answer, [79.0, 1157.0, 692.0, 18.0], WrEj6Hmwkd, 5773907]
