[2640, 2040]
[folio, [220.0, 111.0, 382.0, 46.5], gH1TsARgGR, 5694430]
[folio, [220.0, 157.5, 382.0, 46.5], gH1TsARgGR, 5694430]
[headline, [178.0, 249.0, 773.0, 52.5], shoonya_7sC8PEWAASBDRA, 5694430]
[paragraph, [191.0, 379.0, 793.0, 46.5], shoonya_1sNDOTD32JFP7H, 5694430]
[paragraph, [191.0, 425.5, 793.0, 46.5], shoonya_1sNDOTD32JFP7H, 5694430]
[paragraph, [191.0, 472.0, 793.0, 46.5], shoonya_1sNDOTD32JFP7H, 5694430]
[paragraph, [191.0, 518.5, 793.0, 46.5], shoonya_1sNDOTD32JFP7H, 5694430]
[paragraph, [191.0, 565.0, 793.0, 46.5], shoonya_1sNDOTD32JFP7H, 5694430]
[paragraph, [191.0, 611.5, 793.0, 46.5], shoonya_1sNDOTD32JFP7H, 5694430]
[paragraph, [191.0, 658.0, 793.0, 46.5], shoonya_1sNDOTD32JFP7H, 5694430]
[paragraph, [191.0, 704.5, 793.0, 46.5], shoonya_1sNDOTD32JFP7H, 5694430]
[paragraph, [193.0, 778.0, 806.0, 46.5], shoonya_2s32Y0G8N0D4HX, 5694430]
[paragraph, [193.0, 824.5, 806.0, 46.5], shoonya_2s32Y0G8N0D4HX, 5694430]
[paragraph, [193.0, 871.0, 806.0, 46.5], shoonya_2s32Y0G8N0D4HX, 5694430]
[paragraph, [193.0, 917.5, 806.0, 46.5], shoonya_2s32Y0G8N0D4HX, 5694430]
[paragraph, [193.0, 964.0, 806.0, 46.5], shoonya_2s32Y0G8N0D4HX, 5694430]
[paragraph, [193.0, 1010.5, 806.0, 46.5], shoonya_2s32Y0G8N0D4HX, 5694430]
[paragraph, [193.0, 1057.0, 806.0, 46.5], shoonya_2s32Y0G8N0D4HX, 5694430]
[paragraph, [193.0, 1103.5, 806.0, 46.5], shoonya_2s32Y0G8N0D4HX, 5694430]
[paragraph, [193.0, 1150.0, 806.0, 46.5], shoonya_2s32Y0G8N0D4HX, 5694430]
[paragraph, [1035.0, 856.0, 807.0, 46.5], shoonya_3sRQY6HJMK6YGO, 5694430]
[paragraph, [1035.0, 902.5, 807.0, 46.5], shoonya_3sRQY6HJMK6YGO, 5694430]
[paragraph, [1035.0, 949.0, 807.0, 46.5], shoonya_3sRQY6HJMK6YGO, 5694430]
[paragraph, [1035.0, 995.5, 807.0, 46.5], shoonya_3sRQY6HJMK6YGO, 5694430]
[paragraph, [1035.0, 1042.0, 807.0, 46.5], shoonya_3sRQY6HJMK6YGO, 5694430]
[paragraph, [1035.0, 1088.5, 807.0, 46.5], shoonya_3sRQY6HJMK6YGO, 5694430]
[paragraph, [1035.0, 1135.0, 807.0, 46.5], shoonya_3sRQY6HJMK6YGO, 5694430]
[headline, [163.0, 1244.0, 1323.0, 52.5], shoonya_6sD7XIKE6T6RQK, 5694430]
[paragraph, [195.0, 1422.0, 752.0, 46.5], shoonya_12sZCIBJ8KI2ZX, 5694430]
[paragraph, [195.0, 1468.5, 752.0, 46.5], shoonya_12sZCIBJ8KI2ZX, 5694430]
[paragraph, [195.0, 1515.0, 752.0, 46.5], shoonya_12sZCIBJ8KI2ZX, 5694430]
[paragraph, [985.0, 1423.0, 625.0, 46.5], shoonya_10sEAT1JBS1HY3, 5694430]
[paragraph, [985.0, 1469.5, 625.0, 46.5], shoonya_10sEAT1JBS1HY3, 5694430]
[paragraph, [985.0, 1516.0, 625.0, 46.5], shoonya_10sEAT1JBS1HY3, 5694430]
[paragraph, [467.0, 1595.0, 489.0, 46.5], shoonya_23sUFVM7TJYVRW, 5694430]
[paragraph, [988.0, 1595.0, 451.0, 46.5], shoonya_11s7BVSOP2AML3, 5694430]
[paragraph, [988.0, 1641.5, 451.0, 46.5], shoonya_11s7BVSOP2AML3, 5694430]
[paragraph, [988.0, 1688.0, 451.0, 46.5], shoonya_11s7BVSOP2AML3, 5694430]
[paragraph, [988.0, 1734.5, 451.0, 46.5], shoonya_11s7BVSOP2AML3, 5694430]
[paragraph, [988.0, 1781.0, 451.0, 46.5], shoonya_11s7BVSOP2AML3, 5694430]
[paragraph, [988.0, 1827.5, 451.0, 46.5], shoonya_11s7BVSOP2AML3, 5694430]
[paragraph, [988.0, 1874.0, 451.0, 46.5], shoonya_11s7BVSOP2AML3, 5694430]
[paragraph, [495.0, 1682.0, 450.0, 46.5], shoonya_15s24H1GN0NIYY, 5694430]
[paragraph, [495.0, 1728.5, 450.0, 46.5], shoonya_15s24H1GN0NIYY, 5694430]
[paragraph, [495.0, 1775.0, 450.0, 46.5], shoonya_15s24H1GN0NIYY, 5694430]
