[789, 571]
[folio, [197.0, 39.0, 168.0, 18.0], TdOQhRkTQg, 5701721]
[paragraph, [70.0, 87.0, 446.0, 18.0], shoonya_2s4NJTKZ8VELGX, 5701721]
[paragraph, [70.0, 105.0, 446.0, 18.0], shoonya_2s4NJTKZ8VELGX, 5701721]
[paragraph, [70.0, 123.0, 446.0, 18.0], shoonya_2s4NJTKZ8VELGX, 5701721]
[paragraph, [70.0, 141.0, 446.0, 18.0], shoonya_2s4NJTKZ8VELGX, 5701721]
[paragraph, [70.0, 159.0, 446.0, 18.0], shoonya_2s4NJTKZ8VELGX, 5701721]
[paragraph, [70.0, 177.0, 446.0, 18.0], shoonya_2s4NJTKZ8VELGX, 5701721]
[paragraph, [70.0, 195.0, 446.0, 18.0], shoonya_2s4NJTKZ8VELGX, 5701721]
[paragraph, [70.0, 213.0, 446.0, 18.0], shoonya_2s4NJTKZ8VELGX, 5701721]
[paragraph, [70.0, 231.0, 446.0, 18.0], shoonya_2s4NJTKZ8VELGX, 5701721]
[paragraph, [70.0, 249.0, 446.0, 18.0], shoonya_2s4NJTKZ8VELGX, 5701721]
[paragraph, [89.0, 272.0, 199.0, 18.0], shoonya_1s61EQ8YQ9OZVV, 5701721]
[paragraph, [49.0, 297.0, 459.0, 18.0], shoonya_0s40L1A29HKP3C, 5701721]
[paragraph, [49.0, 315.0, 459.0, 18.0], shoonya_0s40L1A29HKP3C, 5701721]
[paragraph, [49.0, 344.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[paragraph, [49.0, 362.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[paragraph, [49.0, 380.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[paragraph, [49.0, 398.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[paragraph, [49.0, 416.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[paragraph, [49.0, 434.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[paragraph, [49.0, 452.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[paragraph, [49.0, 470.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[paragraph, [49.0, 488.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[paragraph, [49.0, 506.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[paragraph, [49.0, 524.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[paragraph, [49.0, 542.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[paragraph, [49.0, 560.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[paragraph, [49.0, 578.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[paragraph, [49.0, 596.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[paragraph, [49.0, 614.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[paragraph, [49.0, 632.0, 468.0, 18.0], shoonya_4sB9P3DP52QY45, 5701721]
[footnote, [48.0, 676.0, 459.0, 18.0], shoonya_5sZRD8AEWYLJUW, 5701721]
[footnote, [48.0, 694.0, 459.0, 18.0], shoonya_5sZRD8AEWYLJUW, 5701721]
