[1200, 825]
[paragraph, [138.0, 106.0, 544.0, 18.0], shoonya_1sMK6P9OBPKWML, 5690971]
[paragraph, [138.0, 124.0, 544.0, 18.0], shoonya_1sMK6P9OBPKWML, 5690971]
[paragraph, [138.0, 142.0, 544.0, 18.0], shoonya_1sMK6P9OBPKWML, 5690971]
[paragraph, [138.0, 160.0, 544.0, 18.0], shoonya_1sMK6P9OBPKWML, 5690971]
[paragraph, [138.0, 178.0, 544.0, 18.0], shoonya_1sMK6P9OBPKWML, 5690971]
[paragraph, [138.0, 196.0, 544.0, 18.0], shoonya_1sMK6P9OBPKWML, 5690971]
[paragraph, [139.0, 231.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 249.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 267.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 285.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 303.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 321.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 339.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 357.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 375.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 393.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 411.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 429.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 447.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 465.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 483.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 501.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 519.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 537.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 555.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 573.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 591.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [139.0, 609.0, 543.0, 18.0], shoonya_2sMB8I9ZLY8E09, 5690971]
[paragraph, [136.0, 633.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 651.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 669.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 687.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 705.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 723.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 741.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 759.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 777.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 795.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 813.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 831.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 849.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 867.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 885.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 903.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 921.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 939.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 957.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 975.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 993.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 1011.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
[paragraph, [136.0, 1029.0, 550.0, 18.0], shoonya_0s8UHT8JBQTH3M, 5690971]
