[2200, 1700]
[folio, [759.0, 400.0, 167.0, 36.0], V0Fq6TYGlw, 5732102]
[paragraph, [458.0, 485.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 521.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 557.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 593.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 629.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 665.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 701.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 737.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 773.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 809.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 845.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 881.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 917.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 953.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 989.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1025.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1061.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1097.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1133.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1169.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1205.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1241.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1277.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1313.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1349.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1385.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1421.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1457.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1493.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1529.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1565.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1601.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1637.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[paragraph, [458.0, 1673.0, 788.0, 36.0], shoonya_0sV92KG4IEZNMM, 5732102]
[footnote, [1307.0, 2028.0, 233.0, 36.0], f5tuHR7U06, 5732102]
[footnote, [1307.0, 2064.0, 233.0, 36.0], f5tuHR7U06, 5732102]
[folio, [804.0, 2106.0, 186.0, 36.0], 6w5enUVi_9, 5732102]
