[3509, 2480]
[paragraph, [361.0, 385.0, 1769.0, 52.5], shoonya_0s0XSF9DU2QODV, 5724130]
[paragraph, [361.0, 437.5, 1769.0, 52.5], shoonya_0s0XSF9DU2QODV, 5724130]
[paragraph, [361.0, 490.0, 1769.0, 52.5], shoonya_0s0XSF9DU2QODV, 5724130]
[paragraph, [361.0, 542.5, 1769.0, 52.5], shoonya_0s0XSF9DU2QODV, 5724130]
[paragraph, [361.0, 595.0, 1769.0, 52.5], shoonya_0s0XSF9DU2QODV, 5724130]
[paragraph, [361.0, 647.5, 1769.0, 52.5], shoonya_0s0XSF9DU2QODV, 5724130]
[paragraph, [361.0, 700.0, 1769.0, 52.5], shoonya_0s0XSF9DU2QODV, 5724130]
[paragraph, [362.0, 855.0, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 907.5, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 960.0, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1012.5, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1065.0, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1117.5, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1170.0, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1222.5, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1275.0, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1327.5, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1380.0, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1432.5, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1485.0, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1537.5, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1590.0, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1642.5, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1695.0, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1747.5, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1800.0, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1852.5, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1905.0, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 1957.5, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 2010.0, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 2062.5, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 2115.0, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 2167.5, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [362.0, 2220.0, 1763.0, 52.5], 0pPKax5yoB, 5724130]
[paragraph, [370.0, 2341.0, 1758.0, 52.5], shoonya_2sQGWMXY9ECJ9Y, 5724130]
[paragraph, [370.0, 2393.5, 1758.0, 52.5], shoonya_2sQGWMXY9ECJ9Y, 5724130]
[paragraph, [370.0, 2446.0, 1758.0, 52.5], shoonya_2sQGWMXY9ECJ9Y, 5724130]
[paragraph, [370.0, 2498.5, 1758.0, 52.5], shoonya_2sQGWMXY9ECJ9Y, 5724130]
[paragraph, [370.0, 2551.0, 1758.0, 52.5], shoonya_2sQGWMXY9ECJ9Y, 5724130]
[paragraph, [370.0, 2603.5, 1758.0, 52.5], shoonya_2sQGWMXY9ECJ9Y, 5724130]
[paragraph, [370.0, 2656.0, 1758.0, 52.5], shoonya_2sQGWMXY9ECJ9Y, 5724130]
[paragraph, [370.0, 2708.5, 1758.0, 52.5], shoonya_2sQGWMXY9ECJ9Y, 5724130]
[paragraph, [370.0, 2761.0, 1758.0, 52.5], shoonya_2sQGWMXY9ECJ9Y, 5724130]
[paragraph, [370.0, 2813.5, 1758.0, 52.5], shoonya_2sQGWMXY9ECJ9Y, 5724130]
[paragraph, [370.0, 2866.0, 1758.0, 52.5], shoonya_2sQGWMXY9ECJ9Y, 5724130]
