[2339, 1656]
[paragraph, [764.0, 104.0, 713.0, 36.0], shoonya_3sG162LANVDI6U, 5749450]
[paragraph, [764.0, 140.0, 713.0, 36.0], shoonya_3sG162LANVDI6U, 5749450]
[paragraph, [764.0, 176.0, 713.0, 36.0], shoonya_3sG162LANVDI6U, 5749450]
[paragraph, [764.0, 212.0, 713.0, 36.0], shoonya_3sG162LANVDI6U, 5749450]
[paragraph, [764.0, 248.0, 713.0, 36.0], shoonya_3sG162LANVDI6U, 5749450]
[paragraph, [764.0, 284.0, 713.0, 36.0], shoonya_3sG162LANVDI6U, 5749450]
[paragraph, [764.0, 320.0, 713.0, 36.0], shoonya_3sG162LANVDI6U, 5749450]
[paragraph, [764.0, 356.0, 713.0, 36.0], shoonya_3sG162LANVDI6U, 5749450]
[paragraph, [764.0, 392.0, 713.0, 36.0], shoonya_3sG162LANVDI6U, 5749450]
[paragraph, [764.0, 428.0, 713.0, 36.0], shoonya_3sG162LANVDI6U, 5749450]
[paragraph, [764.0, 464.0, 713.0, 36.0], shoonya_3sG162LANVDI6U, 5749450]
[paragraph, [31.0, 113.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [31.0, 149.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [31.0, 185.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [31.0, 221.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [31.0, 257.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [31.0, 293.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [31.0, 329.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [31.0, 365.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [31.0, 401.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [31.0, 437.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [31.0, 473.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [31.0, 509.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [31.0, 545.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [31.0, 581.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [31.0, 617.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [31.0, 653.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [31.0, 689.0, 711.0, 36.0], shoonya_0sBWCSPQJFNIAW, 5749450]
[paragraph, [776.0, 540.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 576.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 612.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 648.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 684.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 720.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 756.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 792.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 828.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 864.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 900.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 936.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 972.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 1008.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 1044.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 1080.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 1116.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 1152.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 1188.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 1224.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 1260.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 1296.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [776.0, 1332.0, 714.0, 36.0], shoonya_2sZKQQSM9M0C3B, 5749450]
[paragraph, [40.0, 761.0, 707.0, 36.0], shoonya_5s02CGB3JATFCN, 5749450]
[paragraph, [40.0, 797.0, 707.0, 36.0], shoonya_5s02CGB3JATFCN, 5749450]
[paragraph, [40.0, 833.0, 707.0, 36.0], shoonya_5s02CGB3JATFCN, 5749450]
[paragraph, [40.0, 869.0, 707.0, 36.0], shoonya_5s02CGB3JATFCN, 5749450]
[paragraph, [40.0, 905.0, 707.0, 36.0], shoonya_5s02CGB3JATFCN, 5749450]
[paragraph, [40.0, 941.0, 707.0, 36.0], shoonya_5s02CGB3JATFCN, 5749450]
[paragraph, [40.0, 977.0, 707.0, 36.0], shoonya_5s02CGB3JATFCN, 5749450]
[paragraph, [40.0, 1013.0, 707.0, 36.0], shoonya_5s02CGB3JATFCN, 5749450]
[paragraph, [40.0, 1049.0, 707.0, 36.0], shoonya_5s02CGB3JATFCN, 5749450]
[paragraph, [40.0, 1085.0, 707.0, 36.0], shoonya_5s02CGB3JATFCN, 5749450]
[paragraph, [40.0, 1121.0, 707.0, 36.0], shoonya_5s02CGB3JATFCN, 5749450]
[paragraph, [40.0, 1157.0, 707.0, 36.0], shoonya_5s02CGB3JATFCN, 5749450]
[paragraph, [40.0, 1193.0, 707.0, 36.0], shoonya_5s02CGB3JATFCN, 5749450]
[paragraph, [48.0, 1247.0, 711.0, 36.0], shoonya_1sDT4PF6J2URRP, 5749450]
[paragraph, [48.0, 1283.0, 711.0, 36.0], shoonya_1sDT4PF6J2URRP, 5749450]
[paragraph, [48.0, 1319.0, 711.0, 36.0], shoonya_1sDT4PF6J2URRP, 5749450]
[paragraph, [48.0, 1355.0, 711.0, 36.0], shoonya_1sDT4PF6J2URRP, 5749450]
