[1468, 909]
[folio, [293.0, 91.0, 314.0, 18.0], j8lQHnWnV-, 5770271]
[folio, [293.0, 109.0, 314.0, 18.0], j8lQHnWnV-, 5770271]
[paragraph, [79.0, 154.0, 362.0, 18.0], shoonya_0sNCIRO73MVG2A, 5770271]
[paragraph, [79.0, 172.0, 362.0, 18.0], shoonya_0sNCIRO73MVG2A, 5770271]
[paragraph, [79.0, 190.0, 362.0, 18.0], shoonya_0sNCIRO73MVG2A, 5770271]
[paragraph, [79.0, 208.0, 362.0, 18.0], shoonya_0sNCIRO73MVG2A, 5770271]
[paragraph, [79.0, 226.0, 362.0, 18.0], shoonya_0sNCIRO73MVG2A, 5770271]
[paragraph, [79.0, 244.0, 362.0, 18.0], shoonya_0sNCIRO73MVG2A, 5770271]
[paragraph, [79.0, 262.0, 362.0, 18.0], shoonya_0sNCIRO73MVG2A, 5770271]
[paragraph, [79.0, 280.0, 362.0, 18.0], shoonya_0sNCIRO73MVG2A, 5770271]
[paragraph, [451.0, 158.0, 371.0, 18.0], -jfBwKVuN2, 5770271]
[paragraph, [451.0, 176.0, 371.0, 18.0], -jfBwKVuN2, 5770271]
[paragraph, [451.0, 194.0, 371.0, 18.0], -jfBwKVuN2, 5770271]
[paragraph, [451.0, 212.0, 371.0, 18.0], -jfBwKVuN2, 5770271]
[paragraph, [451.0, 230.0, 371.0, 18.0], -jfBwKVuN2, 5770271]
[paragraph, [451.0, 248.0, 371.0, 18.0], -jfBwKVuN2, 5770271]
[paragraph, [451.0, 266.0, 371.0, 18.0], -jfBwKVuN2, 5770271]
[paragraph, [451.0, 284.0, 371.0, 18.0], -jfBwKVuN2, 5770271]
[paragraph, [451.0, 302.0, 371.0, 18.0], -jfBwKVuN2, 5770271]
[paragraph, [451.0, 320.0, 371.0, 18.0], -jfBwKVuN2, 5770271]
[paragraph, [451.0, 338.0, 371.0, 18.0], -jfBwKVuN2, 5770271]
[paragraph, [451.0, 356.0, 371.0, 18.0], -jfBwKVuN2, 5770271]
[paragraph, [451.0, 374.0, 371.0, 18.0], -jfBwKVuN2, 5770271]
[paragraph, [75.0, 299.0, 375.0, 18.0], zQAvkDaQF_, 5770271]
[paragraph, [75.0, 317.0, 375.0, 18.0], zQAvkDaQF_, 5770271]
