[843, 596]
[section-title, [55.0, 73.0, 211.0, 30.0], YE1P_eJqUq, 5661183]
[paragraph, [58.0, 109.0, 472.0, 18.0], -hEBnK0RbS, 5661183]
[paragraph, [58.0, 127.0, 472.0, 18.0], -hEBnK0RbS, 5661183]
[paragraph, [58.0, 145.0, 472.0, 18.0], -hEBnK0RbS, 5661183]
[paragraph, [58.0, 163.0, 472.0, 18.0], -hEBnK0RbS, 5661183]
[sub-section-title, [48.0, 197.0, 171.0, 25.5], 83BxcBQZ7s, 5661183]
[paragraph, [61.0, 224.0, 333.0, 18.0], lafvjkrMEu, 5661183]
[unordered-list, [58.0, 244.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 262.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 280.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 298.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 316.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 334.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 352.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 370.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 388.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 406.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 424.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 442.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 460.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 478.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 496.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 514.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 532.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 550.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 568.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 586.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 604.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 622.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 640.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 658.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 676.0, 499.0, 18.0], stIz4szQb3, 5661183]
[unordered-list, [58.0, 694.0, 499.0, 18.0], stIz4szQb3, 5661183]
