[899, 652]
[headline, [74.0, 64.0, 503.0, 25.5], shoonya_0sCVRDNP8PAJL4, 5705416]
[paragraph, [62.0, 103.0, 528.0, 18.0], shoonya_3s0AD9WM2Y0D3K, 5705416]
[paragraph, [62.0, 121.0, 528.0, 18.0], shoonya_3s0AD9WM2Y0D3K, 5705416]
[paragraph, [62.0, 139.0, 528.0, 18.0], shoonya_3s0AD9WM2Y0D3K, 5705416]
[section-title, [131.0, 181.0, 407.0, 30.0], shoonya_15sUMJRZH284WI, 5705416]
[unordered-list, [37.0, 214.0, 552.0, 18.0], AWtXuInlP2, 5705416]
[unordered-list, [37.0, 232.0, 552.0, 18.0], AWtXuInlP2, 5705416]
[unordered-list, [37.0, 250.0, 552.0, 18.0], AWtXuInlP2, 5705416]
[unordered-list, [37.0, 268.0, 552.0, 18.0], AWtXuInlP2, 5705416]
[unordered-list, [37.0, 286.0, 552.0, 18.0], AWtXuInlP2, 5705416]
[unordered-list, [37.0, 304.0, 552.0, 18.0], AWtXuInlP2, 5705416]
[unordered-list, [37.0, 322.0, 552.0, 18.0], AWtXuInlP2, 5705416]
[unordered-list, [37.0, 340.0, 552.0, 18.0], AWtXuInlP2, 5705416]
[unordered-list, [37.0, 358.0, 552.0, 18.0], AWtXuInlP2, 5705416]
[unordered-list, [37.0, 376.0, 552.0, 18.0], AWtXuInlP2, 5705416]
[unordered-list, [37.0, 394.0, 552.0, 18.0], AWtXuInlP2, 5705416]
[unordered-list, [37.0, 412.0, 552.0, 18.0], AWtXuInlP2, 5705416]
[unordered-list, [37.0, 430.0, 552.0, 18.0], AWtXuInlP2, 5705416]
[unordered-list, [37.0, 448.0, 552.0, 18.0], AWtXuInlP2, 5705416]
[unordered-list, [37.0, 466.0, 552.0, 18.0], AWtXuInlP2, 5705416]
[unordered-list, [37.0, 484.0, 552.0, 18.0], AWtXuInlP2, 5705416]
[sub-unordered-list, [126.0, 224.0, 193.0, 18.0], 7s4bgOdoWs, 5705416]
[sub-unordered-list, [126.0, 242.0, 193.0, 18.0], 7s4bgOdoWs, 5705416]
[sub-unordered-list, [126.0, 260.0, 193.0, 18.0], 7s4bgOdoWs, 5705416]
[sub-unordered-list, [126.0, 278.0, 193.0, 18.0], 7s4bgOdoWs, 5705416]
[sub-unordered-list, [126.0, 296.0, 193.0, 18.0], 7s4bgOdoWs, 5705416]
[sub-unordered-list, [337.0, 227.0, 206.0, 18.0], y7vERwLMca, 5705416]
[sub-unordered-list, [337.0, 245.0, 206.0, 18.0], y7vERwLMca, 5705416]
[sub-unordered-list, [337.0, 263.0, 206.0, 18.0], y7vERwLMca, 5705416]
[sub-unordered-list, [337.0, 281.0, 206.0, 18.0], y7vERwLMca, 5705416]
[sub-unordered-list, [123.0, 328.0, 198.0, 18.0], F17CXVJfJq, 5705416]
[sub-unordered-list, [123.0, 346.0, 198.0, 18.0], F17CXVJfJq, 5705416]
[sub-unordered-list, [123.0, 364.0, 198.0, 18.0], F17CXVJfJq, 5705416]
[sub-unordered-list, [123.0, 382.0, 198.0, 18.0], F17CXVJfJq, 5705416]
[sub-unordered-list, [336.0, 333.0, 250.0, 18.0], MSoD3-3a0F, 5705416]
[sub-unordered-list, [336.0, 351.0, 250.0, 18.0], MSoD3-3a0F, 5705416]
[sub-unordered-list, [336.0, 369.0, 250.0, 18.0], MSoD3-3a0F, 5705416]
[sub-unordered-list, [336.0, 387.0, 250.0, 18.0], MSoD3-3a0F, 5705416]
[sub-unordered-list, [119.0, 421.0, 181.0, 18.0], J4UnOJOf4G, 5705416]
[sub-unordered-list, [119.0, 439.0, 181.0, 18.0], J4UnOJOf4G, 5705416]
[sub-unordered-list, [119.0, 457.0, 181.0, 18.0], J4UnOJOf4G, 5705416]
[sub-unordered-list, [119.0, 475.0, 181.0, 18.0], J4UnOJOf4G, 5705416]
[contact-info, [70.0, 687.0, 483.0, 18.0], 3pOWsCZyvV, 5705416]
[contact-info, [70.0, 705.0, 483.0, 18.0], 3pOWsCZyvV, 5705416]
[contact-info, [70.0, 723.0, 483.0, 18.0], 3pOWsCZyvV, 5705416]
[contact-info, [70.0, 741.0, 483.0, 18.0], 3pOWsCZyvV, 5705416]
[contact-info, [70.0, 759.0, 483.0, 18.0], 3pOWsCZyvV, 5705416]
[contact-info, [70.0, 777.0, 483.0, 18.0], 3pOWsCZyvV, 5705416]
[contact-info, [70.0, 795.0, 483.0, 18.0], 3pOWsCZyvV, 5705416]
[contact-info, [70.0, 813.0, 483.0, 18.0], 3pOWsCZyvV, 5705416]
[contact-info, [70.0, 831.0, 483.0, 18.0], 3pOWsCZyvV, 5705416]
