[681, 497]
[paragraph, [30.0, 31.0, 212.0, 18.0], shoonya_5s9RIM79FTHLQA, 5712798]
[paragraph, [30.0, 49.0, 212.0, 18.0], shoonya_5s9RIM79FTHLQA, 5712798]
[paragraph, [30.0, 67.0, 212.0, 18.0], shoonya_5s9RIM79FTHLQA, 5712798]
[paragraph, [30.0, 85.0, 212.0, 18.0], shoonya_5s9RIM79FTHLQA, 5712798]
[paragraph, [253.0, 31.0, 211.0, 18.0], shoonya_6sN0NRHKCV285C, 5712798]
[paragraph, [253.0, 67.0, 212.0, 18.0], shoonya_3sOIPTTQ0IOAPK, 5712798]
[paragraph, [253.0, 85.0, 212.0, 18.0], shoonya_3sOIPTTQ0IOAPK, 5712798]
[paragraph, [253.0, 103.0, 212.0, 18.0], shoonya_3sOIPTTQ0IOAPK, 5712798]
[paragraph, [253.0, 121.0, 212.0, 18.0], shoonya_3sOIPTTQ0IOAPK, 5712798]
[paragraph, [253.0, 139.0, 212.0, 18.0], shoonya_3sOIPTTQ0IOAPK, 5712798]
[paragraph, [253.0, 157.0, 212.0, 18.0], shoonya_3sOIPTTQ0IOAPK, 5712798]
[paragraph, [253.0, 175.0, 212.0, 18.0], shoonya_3sOIPTTQ0IOAPK, 5712798]
[paragraph, [253.0, 193.0, 212.0, 18.0], shoonya_3sOIPTTQ0IOAPK, 5712798]
[paragraph, [253.0, 211.0, 212.0, 18.0], shoonya_3sOIPTTQ0IOAPK, 5712798]
[paragraph, [253.0, 229.0, 212.0, 18.0], shoonya_3sOIPTTQ0IOAPK, 5712798]
[paragraph, [253.0, 247.0, 212.0, 18.0], shoonya_3sOIPTTQ0IOAPK, 5712798]
[paragraph, [253.0, 265.0, 212.0, 18.0], shoonya_3sOIPTTQ0IOAPK, 5712798]
[paragraph, [31.0, 111.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [31.0, 129.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [31.0, 147.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [31.0, 165.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [31.0, 183.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [31.0, 201.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [31.0, 219.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [31.0, 237.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [31.0, 255.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [31.0, 273.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [31.0, 291.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [31.0, 309.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [31.0, 327.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [31.0, 345.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [31.0, 363.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [31.0, 381.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [31.0, 399.0, 212.0, 18.0], shoonya_0sJMDQPS1K2MSR, 5712798]
[paragraph, [254.0, 298.0, 211.0, 18.0], shoonya_1sH9BL3U2H10YX, 5712798]
[paragraph, [254.0, 316.0, 211.0, 18.0], shoonya_1sH9BL3U2H10YX, 5712798]
[paragraph, [254.0, 334.0, 211.0, 18.0], shoonya_1sH9BL3U2H10YX, 5712798]
[paragraph, [254.0, 352.0, 211.0, 18.0], shoonya_1sH9BL3U2H10YX, 5712798]
[paragraph, [254.0, 370.0, 211.0, 18.0], shoonya_1sH9BL3U2H10YX, 5712798]
[paragraph, [254.0, 388.0, 211.0, 18.0], shoonya_1sH9BL3U2H10YX, 5712798]
[paragraph, [254.0, 406.0, 211.0, 18.0], shoonya_1sH9BL3U2H10YX, 5712798]
[paragraph, [254.0, 424.0, 211.0, 18.0], shoonya_1sH9BL3U2H10YX, 5712798]
[paragraph, [254.0, 442.0, 211.0, 18.0], shoonya_1sH9BL3U2H10YX, 5712798]
[paragraph, [254.0, 460.0, 211.0, 18.0], shoonya_1sH9BL3U2H10YX, 5712798]
[paragraph, [254.0, 478.0, 211.0, 18.0], shoonya_1sH9BL3U2H10YX, 5712798]
[paragraph, [254.0, 496.0, 211.0, 18.0], shoonya_1sH9BL3U2H10YX, 5712798]
[paragraph, [254.0, 514.0, 211.0, 18.0], shoonya_1sH9BL3U2H10YX, 5712798]
[paragraph, [254.0, 532.0, 211.0, 18.0], shoonya_1sH9BL3U2H10YX, 5712798]
[paragraph, [31.0, 422.0, 212.0, 18.0], shoonya_2sTJ00A48JJXE3, 5712798]
[paragraph, [31.0, 440.0, 212.0, 18.0], shoonya_2sTJ00A48JJXE3, 5712798]
[paragraph, [31.0, 458.0, 212.0, 18.0], shoonya_2sTJ00A48JJXE3, 5712798]
[paragraph, [31.0, 476.0, 212.0, 18.0], shoonya_2sTJ00A48JJXE3, 5712798]
[paragraph, [31.0, 494.0, 212.0, 18.0], shoonya_2sTJ00A48JJXE3, 5712798]
[paragraph, [31.0, 512.0, 212.0, 18.0], shoonya_2sTJ00A48JJXE3, 5712798]
[paragraph, [31.0, 530.0, 212.0, 18.0], shoonya_2sTJ00A48JJXE3, 5712798]
[paragraph, [31.0, 548.0, 212.0, 18.0], shoonya_2sTJ00A48JJXE3, 5712798]
[paragraph, [31.0, 566.0, 212.0, 18.0], shoonya_2sTJ00A48JJXE3, 5712798]
[paragraph, [31.0, 584.0, 212.0, 18.0], shoonya_2sTJ00A48JJXE3, 5712798]
[paragraph, [31.0, 602.0, 212.0, 18.0], shoonya_2sTJ00A48JJXE3, 5712798]
[paragraph, [31.0, 620.0, 212.0, 18.0], shoonya_2sTJ00A48JJXE3, 5712798]
[paragraph, [254.0, 560.0, 211.0, 18.0], shoonya_4sW6VRTL2M9HBZ, 5712798]
[paragraph, [254.0, 578.0, 211.0, 18.0], shoonya_4sW6VRTL2M9HBZ, 5712798]
[paragraph, [254.0, 596.0, 211.0, 18.0], shoonya_4sW6VRTL2M9HBZ, 5712798]
[paragraph, [254.0, 614.0, 211.0, 18.0], shoonya_4sW6VRTL2M9HBZ, 5712798]
[paragraph, [254.0, 632.0, 211.0, 18.0], shoonya_4sW6VRTL2M9HBZ, 5712798]
