[1875, 1200]
[folio, [254.0, 200.0, 742.0, 36.0], x99uinJZWd, 5711453]
[paragraph, [162.0, 257.0, 831.0, 36.0], shoonya_1sAPOUSOS99JDV, 5711453]
[paragraph, [162.0, 293.0, 831.0, 36.0], shoonya_1sAPOUSOS99JDV, 5711453]
[paragraph, [162.0, 329.0, 831.0, 36.0], shoonya_1sAPOUSOS99JDV, 5711453]
[paragraph, [162.0, 365.0, 831.0, 36.0], shoonya_1sAPOUSOS99JDV, 5711453]
[paragraph, [162.0, 401.0, 831.0, 36.0], shoonya_1sAPOUSOS99JDV, 5711453]
[paragraph, [162.0, 437.0, 831.0, 36.0], shoonya_1sAPOUSOS99JDV, 5711453]
[paragraph, [166.0, 484.0, 822.0, 36.0], 6W9l1e_Zan, 5711453]
[paragraph, [166.0, 520.0, 822.0, 36.0], 6W9l1e_Zan, 5711453]
[paragraph, [166.0, 556.0, 822.0, 36.0], 6W9l1e_Zan, 5711453]
[paragraph, [166.0, 592.0, 822.0, 36.0], 6W9l1e_Zan, 5711453]
[paragraph, [166.0, 628.0, 822.0, 36.0], 6W9l1e_Zan, 5711453]
[paragraph, [166.0, 664.0, 822.0, 36.0], 6W9l1e_Zan, 5711453]
[paragraph, [166.0, 700.0, 822.0, 36.0], 6W9l1e_Zan, 5711453]
[paragraph, [166.0, 736.0, 822.0, 36.0], 6W9l1e_Zan, 5711453]
[paragraph, [166.0, 772.0, 822.0, 36.0], 6W9l1e_Zan, 5711453]
[paragraph, [166.0, 808.0, 822.0, 36.0], 6W9l1e_Zan, 5711453]
[paragraph, [160.0, 869.0, 832.0, 36.0], SrMKg9K9Si, 5711453]
[paragraph, [160.0, 905.0, 832.0, 36.0], SrMKg9K9Si, 5711453]
[paragraph, [160.0, 941.0, 832.0, 36.0], SrMKg9K9Si, 5711453]
[paragraph, [160.0, 977.0, 832.0, 36.0], SrMKg9K9Si, 5711453]
[paragraph, [160.0, 1013.0, 832.0, 36.0], SrMKg9K9Si, 5711453]
[paragraph, [160.0, 1049.0, 832.0, 36.0], SrMKg9K9Si, 5711453]
[paragraph, [160.0, 1085.0, 832.0, 36.0], SrMKg9K9Si, 5711453]
[paragraph, [160.0, 1121.0, 832.0, 36.0], SrMKg9K9Si, 5711453]
[paragraph, [160.0, 1157.0, 832.0, 36.0], SrMKg9K9Si, 5711453]
[paragraph, [160.0, 1193.0, 832.0, 36.0], SrMKg9K9Si, 5711453]
[paragraph, [160.0, 1229.0, 832.0, 36.0], SrMKg9K9Si, 5711453]
[paragraph, [159.0, 1264.0, 829.0, 36.0], r3UlAqiO4T, 5711453]
[paragraph, [159.0, 1300.0, 829.0, 36.0], r3UlAqiO4T, 5711453]
[paragraph, [159.0, 1336.0, 829.0, 36.0], r3UlAqiO4T, 5711453]
[paragraph, [159.0, 1372.0, 829.0, 36.0], r3UlAqiO4T, 5711453]
[paragraph, [159.0, 1408.0, 829.0, 36.0], r3UlAqiO4T, 5711453]
[paragraph, [159.0, 1444.0, 829.0, 36.0], r3UlAqiO4T, 5711453]
[paragraph, [159.0, 1480.0, 829.0, 36.0], r3UlAqiO4T, 5711453]
[paragraph, [159.0, 1516.0, 829.0, 36.0], r3UlAqiO4T, 5711453]
[paragraph, [159.0, 1552.0, 829.0, 36.0], r3UlAqiO4T, 5711453]
