[2806, 1983]
[paragraph, [217.0, 235.0, 898.0, 46.5], shoonya_0sWH88OX74NKZY, 5683089]
[paragraph, [217.0, 281.5, 898.0, 46.5], shoonya_0sWH88OX74NKZY, 5683089]
[paragraph, [223.0, 349.0, 1534.0, 46.5], h1N31IwxwT, 5683089]
[paragraph, [223.0, 395.5, 1534.0, 46.5], h1N31IwxwT, 5683089]
[paragraph, [223.0, 442.0, 1534.0, 46.5], h1N31IwxwT, 5683089]
[paragraph, [223.0, 542.0, 902.0, 46.5], M0OMogTXSp, 5683089]
[paragraph, [223.0, 588.5, 902.0, 46.5], M0OMogTXSp, 5683089]
[paragraph, [223.0, 656.0, 1422.0, 46.5], OaV8JVdyNB, 5683089]
[paragraph, [218.0, 765.0, 815.0, 46.5], XiNCUPe7gz, 5683089]
[paragraph, [218.0, 811.5, 815.0, 46.5], XiNCUPe7gz, 5683089]
[paragraph, [218.0, 951.0, 1549.0, 46.5], FrRmdY93K1, 5683089]
[paragraph, [218.0, 997.5, 1549.0, 46.5], FrRmdY93K1, 5683089]
[paragraph, [218.0, 1044.0, 1549.0, 46.5], FrRmdY93K1, 5683089]
[paragraph, [218.0, 1090.5, 1549.0, 46.5], FrRmdY93K1, 5683089]
[paragraph, [218.0, 1137.0, 1549.0, 46.5], FrRmdY93K1, 5683089]
[paragraph, [218.0, 1183.5, 1549.0, 46.5], FrRmdY93K1, 5683089]
[paragraph, [218.0, 1230.0, 1549.0, 46.5], FrRmdY93K1, 5683089]
[paragraph, [218.0, 1276.5, 1549.0, 46.5], FrRmdY93K1, 5683089]
[paragraph, [218.0, 1323.0, 1549.0, 46.5], FrRmdY93K1, 5683089]
[paragraph, [208.0, 1492.0, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 1538.5, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 1585.0, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 1631.5, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 1678.0, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 1724.5, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 1771.0, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 1817.5, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 1864.0, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 1910.5, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 1957.0, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 2003.5, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 2050.0, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 2096.5, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 2143.0, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 2189.5, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 2236.0, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 2282.5, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 2329.0, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 2375.5, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 2422.0, 1564.0, 46.5], MU04EhtqWx, 5683089]
[paragraph, [208.0, 2468.5, 1564.0, 46.5], MU04EhtqWx, 5683089]
