[2174, 1461]
[folio, [131.0, 145.0, 157.0, 36.0], MAbDSZaKj0, 5655027]
[paragraph, [209.0, 240.0, 1034.0, 36.0], tdjPX47bQs, 5655027]
[paragraph, [209.0, 276.0, 1034.0, 36.0], tdjPX47bQs, 5655027]
[paragraph, [133.0, 338.0, 1166.0, 36.0], shoonya_1sT3B21BF997KP, 5655027]
[paragraph, [133.0, 374.0, 1166.0, 36.0], shoonya_1sT3B21BF997KP, 5655027]
[paragraph, [133.0, 410.0, 1166.0, 36.0], shoonya_1sT3B21BF997KP, 5655027]
[paragraph, [133.0, 446.0, 1166.0, 36.0], shoonya_1sT3B21BF997KP, 5655027]
[paragraph, [133.0, 482.0, 1166.0, 36.0], shoonya_1sT3B21BF997KP, 5655027]
[paragraph, [133.0, 518.0, 1166.0, 36.0], shoonya_1sT3B21BF997KP, 5655027]
[paragraph, [215.0, 590.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 626.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 662.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 698.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 734.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 770.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 806.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 842.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 878.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 914.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 950.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 986.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 1022.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 1058.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 1094.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 1130.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 1166.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [215.0, 1202.0, 773.0, 36.0], 4RhHHTuH3S, 5655027]
[paragraph, [134.0, 1265.0, 1170.0, 36.0], shoonya_3sZB2ZWEJS474N, 5655027]
[paragraph, [134.0, 1301.0, 1170.0, 36.0], shoonya_3sZB2ZWEJS474N, 5655027]
[paragraph, [134.0, 1337.0, 1170.0, 36.0], shoonya_3sZB2ZWEJS474N, 5655027]
[paragraph, [134.0, 1373.0, 1170.0, 36.0], shoonya_3sZB2ZWEJS474N, 5655027]
[paragraph, [134.0, 1409.0, 1170.0, 36.0], shoonya_3sZB2ZWEJS474N, 5655027]
[paragraph, [134.0, 1445.0, 1170.0, 36.0], shoonya_3sZB2ZWEJS474N, 5655027]
[paragraph, [134.0, 1481.0, 1170.0, 36.0], shoonya_3sZB2ZWEJS474N, 5655027]
[paragraph, [134.0, 1517.0, 1170.0, 36.0], shoonya_3sZB2ZWEJS474N, 5655027]
[paragraph, [134.0, 1553.0, 1170.0, 36.0], shoonya_3sZB2ZWEJS474N, 5655027]
[paragraph, [134.0, 1589.0, 1170.0, 36.0], shoonya_3sZB2ZWEJS474N, 5655027]
[paragraph, [138.0, 1664.0, 1166.0, 36.0], shoonya_0s1HLGJBUZNUZS, 5655027]
[paragraph, [138.0, 1700.0, 1166.0, 36.0], shoonya_0s1HLGJBUZNUZS, 5655027]
[paragraph, [138.0, 1736.0, 1166.0, 36.0], shoonya_0s1HLGJBUZNUZS, 5655027]
[paragraph, [138.0, 1772.0, 1166.0, 36.0], shoonya_0s1HLGJBUZNUZS, 5655027]
[paragraph, [138.0, 1808.0, 1166.0, 36.0], shoonya_0s1HLGJBUZNUZS, 5655027]
[paragraph, [138.0, 1844.0, 1166.0, 36.0], shoonya_0s1HLGJBUZNUZS, 5655027]
[paragraph, [138.0, 1880.0, 1166.0, 36.0], shoonya_0s1HLGJBUZNUZS, 5655027]
[reference, [145.0, 1989.0, 562.0, 36.0], shoonya_4s4KN3RLYFEZED, 5655027]
