[792, 612]
[section-title, [144.0, 93.0, 311.0, 30.0], XbdSnop4YC, 6492410]
[paragraph, [105.0, 172.0, 346.0, 18.0], pqqzOGfHk7, 6492410]
[paragraph, [105.0, 190.0, 346.0, 18.0], pqqzOGfHk7, 6492410]
[paragraph, [105.0, 208.0, 346.0, 18.0], pqqzOGfHk7, 6492410]
[paragraph, [105.0, 226.0, 346.0, 18.0], pqqzOGfHk7, 6492410]
[paragraph, [105.0, 244.0, 346.0, 18.0], pqqzOGfHk7, 6492410]
[paragraph, [105.0, 262.0, 346.0, 18.0], pqqzOGfHk7, 6492410]
[paragraph, [105.0, 280.0, 346.0, 18.0], pqqzOGfHk7, 6492410]
[paragraph, [105.0, 298.0, 346.0, 18.0], pqqzOGfHk7, 6492410]
[paragraph, [105.0, 316.0, 346.0, 18.0], pqqzOGfHk7, 6492410]
[paragraph, [105.0, 334.0, 346.0, 18.0], pqqzOGfHk7, 6492410]
[paragraph, [105.0, 352.0, 346.0, 18.0], pqqzOGfHk7, 6492410]
[paragraph, [140.0, 392.0, 289.0, 18.0], BtpV1oQ1Co, 6492410]
[paragraph, [140.0, 410.0, 289.0, 18.0], BtpV1oQ1Co, 6492410]
[paragraph, [140.0, 428.0, 289.0, 18.0], BtpV1oQ1Co, 6492410]
[paragraph, [140.0, 446.0, 289.0, 18.0], BtpV1oQ1Co, 6492410]
[paragraph, [140.0, 464.0, 289.0, 18.0], BtpV1oQ1Co, 6492410]
[paragraph, [140.0, 482.0, 289.0, 18.0], BtpV1oQ1Co, 6492410]
[paragraph, [140.0, 500.0, 289.0, 18.0], BtpV1oQ1Co, 6492410]
[paragraph, [104.0, 539.0, 273.0, 18.0], yBAlUuEfRt, 6492410]
[paragraph, [104.0, 557.0, 273.0, 18.0], yBAlUuEfRt, 6492410]
[paragraph, [104.0, 575.0, 273.0, 18.0], yBAlUuEfRt, 6492410]
[paragraph, [104.0, 593.0, 273.0, 18.0], yBAlUuEfRt, 6492410]
[paragraph, [104.0, 611.0, 273.0, 18.0], yBAlUuEfRt, 6492410]
[paragraph, [104.0, 629.0, 273.0, 18.0], yBAlUuEfRt, 6492410]
[paragraph, [104.0, 647.0, 273.0, 18.0], yBAlUuEfRt, 6492410]
[paragraph, [104.0, 665.0, 273.0, 18.0], yBAlUuEfRt, 6492410]
