[1468, 909]
[headline, [72.0, 80.0, 206.0, 25.5], QO60mZ8kPY, 5770476]
[sub-headline, [66.0, 124.0, 783.0, 25.5], dmtGjySZCf, 5770476]
[sub-headline, [66.0, 149.5, 783.0, 25.5], dmtGjySZCf, 5770476]
[sub-headline, [66.0, 175.0, 783.0, 25.5], dmtGjySZCf, 5770476]
[author, [289.0, 197.0, 337.0, 18.0], m2gfQ9LZjV, 5770476]
[author, [289.0, 215.0, 337.0, 18.0], m2gfQ9LZjV, 5770476]
[paragraph, [84.0, 267.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 285.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 303.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 321.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 339.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 357.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 375.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 393.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 411.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 429.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 447.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 465.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 483.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 501.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 519.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 537.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 555.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 573.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 591.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 609.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [84.0, 627.0, 365.0, 18.0], yiktBT44Ak, 5770476]
[paragraph, [459.0, 274.0, 370.0, 18.0], AaNUfGF8Uf, 5770476]
[paragraph, [459.0, 292.0, 370.0, 18.0], AaNUfGF8Uf, 5770476]
[paragraph, [459.0, 310.0, 370.0, 18.0], AaNUfGF8Uf, 5770476]
[paragraph, [459.0, 328.0, 370.0, 18.0], AaNUfGF8Uf, 5770476]
[paragraph, [459.0, 346.0, 370.0, 18.0], AaNUfGF8Uf, 5770476]
[paragraph, [459.0, 364.0, 370.0, 18.0], AaNUfGF8Uf, 5770476]
[paragraph, [459.0, 382.0, 370.0, 18.0], AaNUfGF8Uf, 5770476]
[paragraph, [459.0, 400.0, 370.0, 18.0], AaNUfGF8Uf, 5770476]
[paragraph, [460.0, 419.0, 374.0, 18.0], 3O2owRjQoh, 5770476]
[paragraph, [460.0, 437.0, 374.0, 18.0], 3O2owRjQoh, 5770476]
[paragraph, [460.0, 455.0, 374.0, 18.0], 3O2owRjQoh, 5770476]
[paragraph, [460.0, 473.0, 374.0, 18.0], 3O2owRjQoh, 5770476]
[paragraph, [460.0, 491.0, 374.0, 18.0], 3O2owRjQoh, 5770476]
[paragraph, [460.0, 509.0, 374.0, 18.0], 3O2owRjQoh, 5770476]
[paragraph, [460.0, 527.0, 374.0, 18.0], 3O2owRjQoh, 5770476]
[paragraph, [460.0, 545.0, 374.0, 18.0], 3O2owRjQoh, 5770476]
[paragraph, [460.0, 563.0, 374.0, 18.0], 3O2owRjQoh, 5770476]
[paragraph, [460.0, 581.0, 374.0, 18.0], 3O2owRjQoh, 5770476]
[paragraph, [460.0, 599.0, 374.0, 18.0], 3O2owRjQoh, 5770476]
[paragraph, [460.0, 617.0, 374.0, 18.0], 3O2owRjQoh, 5770476]
[paragraph, [460.0, 635.0, 374.0, 18.0], 3O2owRjQoh, 5770476]
[paragraph, [460.0, 653.0, 374.0, 18.0], 3O2owRjQoh, 5770476]
[paragraph, [75.0, 650.0, 371.0, 18.0], J0ca87tUOS, 5770476]
[paragraph, [75.0, 668.0, 371.0, 18.0], J0ca87tUOS, 5770476]
[paragraph, [75.0, 686.0, 371.0, 18.0], J0ca87tUOS, 5770476]
[paragraph, [75.0, 704.0, 371.0, 18.0], J0ca87tUOS, 5770476]
[paragraph, [75.0, 722.0, 371.0, 18.0], J0ca87tUOS, 5770476]
[paragraph, [75.0, 740.0, 371.0, 18.0], J0ca87tUOS, 5770476]
[paragraph, [75.0, 758.0, 371.0, 18.0], J0ca87tUOS, 5770476]
