[1725, 1313]
[paragraph, [117.0, 125.0, 533.0, 36.0], shoonya_0sPP30DPQCFE86, 5771322]
[paragraph, [117.0, 161.0, 533.0, 36.0], shoonya_0sPP30DPQCFE86, 5771322]
[paragraph, [117.0, 197.0, 533.0, 36.0], shoonya_0sPP30DPQCFE86, 5771322]
[paragraph, [117.0, 233.0, 533.0, 36.0], shoonya_0sPP30DPQCFE86, 5771322]
[paragraph, [117.0, 269.0, 533.0, 36.0], shoonya_0sPP30DPQCFE86, 5771322]
[paragraph, [117.0, 305.0, 533.0, 36.0], shoonya_0sPP30DPQCFE86, 5771322]
[paragraph, [654.0, 144.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 180.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 216.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 252.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 288.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 324.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 360.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 396.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 432.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 468.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 504.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 540.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 576.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 612.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 648.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 684.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 720.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 756.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [654.0, 792.0, 546.0, 36.0], shoonya_4sXKI3P6E7AEIA, 5771322]
[paragraph, [112.0, 370.0, 543.0, 36.0], shoonya_1sDNNQQPOD0RQO, 5771322]
[paragraph, [112.0, 406.0, 543.0, 36.0], shoonya_1sDNNQQPOD0RQO, 5771322]
[paragraph, [112.0, 442.0, 543.0, 36.0], shoonya_1sDNNQQPOD0RQO, 5771322]
[paragraph, [112.0, 478.0, 543.0, 36.0], shoonya_1sDNNQQPOD0RQO, 5771322]
[paragraph, [112.0, 514.0, 543.0, 36.0], shoonya_1sDNNQQPOD0RQO, 5771322]
[paragraph, [112.0, 550.0, 543.0, 36.0], shoonya_1sDNNQQPOD0RQO, 5771322]
[paragraph, [112.0, 586.0, 543.0, 36.0], shoonya_1sDNNQQPOD0RQO, 5771322]
[paragraph, [112.0, 622.0, 543.0, 36.0], shoonya_1sDNNQQPOD0RQO, 5771322]
[paragraph, [112.0, 658.0, 543.0, 36.0], shoonya_1sDNNQQPOD0RQO, 5771322]
[paragraph, [112.0, 694.0, 543.0, 36.0], shoonya_1sDNNQQPOD0RQO, 5771322]
[paragraph, [112.0, 730.0, 543.0, 36.0], shoonya_1sDNNQQPOD0RQO, 5771322]
[paragraph, [112.0, 766.0, 543.0, 36.0], shoonya_1sDNNQQPOD0RQO, 5771322]
[paragraph, [112.0, 802.0, 543.0, 36.0], shoonya_1sDNNQQPOD0RQO, 5771322]
[sub-section-title, [647.0, 851.0, 509.0, 36.0], aMmGqCKJMj, 5771322]
[paragraph, [113.0, 883.0, 538.0, 36.0], shoonya_2sEJA38QCGZCIO, 5771322]
[paragraph, [113.0, 919.0, 538.0, 36.0], shoonya_2sEJA38QCGZCIO, 5771322]
[paragraph, [113.0, 955.0, 538.0, 36.0], shoonya_2sEJA38QCGZCIO, 5771322]
[paragraph, [113.0, 991.0, 538.0, 36.0], shoonya_2sEJA38QCGZCIO, 5771322]
[paragraph, [113.0, 1027.0, 538.0, 36.0], shoonya_2sEJA38QCGZCIO, 5771322]
[paragraph, [113.0, 1063.0, 538.0, 36.0], shoonya_2sEJA38QCGZCIO, 5771322]
[paragraph, [113.0, 1099.0, 538.0, 36.0], shoonya_2sEJA38QCGZCIO, 5771322]
[paragraph, [654.0, 891.0, 553.0, 36.0], kgP9Fr29SC, 5771322]
[paragraph, [654.0, 927.0, 553.0, 36.0], kgP9Fr29SC, 5771322]
[paragraph, [654.0, 963.0, 553.0, 36.0], kgP9Fr29SC, 5771322]
[paragraph, [654.0, 999.0, 553.0, 36.0], kgP9Fr29SC, 5771322]
[paragraph, [654.0, 1035.0, 553.0, 36.0], kgP9Fr29SC, 5771322]
[paragraph, [654.0, 1071.0, 553.0, 36.0], kgP9Fr29SC, 5771322]
[paragraph, [114.0, 1163.0, 476.0, 36.0], shoonya_3sO83UJB1FVE6P, 5771322]
[paragraph, [114.0, 1199.0, 476.0, 36.0], shoonya_3sO83UJB1FVE6P, 5771322]
[paragraph, [114.0, 1235.0, 476.0, 36.0], shoonya_3sO83UJB1FVE6P, 5771322]
[paragraph, [111.0, 1326.0, 489.0, 36.0], shoonya_5sGHYU9CYBEV78, 5771322]
[paragraph, [111.0, 1362.0, 489.0, 36.0], shoonya_5sGHYU9CYBEV78, 5771322]
[paragraph, [111.0, 1398.0, 489.0, 36.0], shoonya_5sGHYU9CYBEV78, 5771322]
[paragraph, [111.0, 1434.0, 489.0, 36.0], shoonya_5sGHYU9CYBEV78, 5771322]
[paragraph, [111.0, 1470.0, 489.0, 36.0], shoonya_5sGHYU9CYBEV78, 5771322]
[paragraph, [111.0, 1506.0, 489.0, 36.0], shoonya_5sGHYU9CYBEV78, 5771322]
[folio, [585.0, 1577.0, 151.0, 36.0], hZE2eyI-hU, 5771322]
[folio, [70.0, 1677.0, 309.0, 36.0], eihACAr_Ra, 5771322]
