[1601, 1158]
[paragraph, [580.0, 82.0, 466.0, 36.0], steH2lc5kY, 5695309]
[paragraph, [580.0, 118.0, 466.0, 36.0], steH2lc5kY, 5695309]
[paragraph, [580.0, 154.0, 466.0, 36.0], steH2lc5kY, 5695309]
[paragraph, [580.0, 190.0, 466.0, 36.0], steH2lc5kY, 5695309]
[paragraph, [580.0, 226.0, 466.0, 36.0], steH2lc5kY, 5695309]
[paragraph, [580.0, 262.0, 466.0, 36.0], steH2lc5kY, 5695309]
[paragraph, [580.0, 298.0, 466.0, 36.0], steH2lc5kY, 5695309]
[paragraph, [580.0, 334.0, 466.0, 36.0], steH2lc5kY, 5695309]
[paragraph, [580.0, 370.0, 466.0, 36.0], steH2lc5kY, 5695309]
[paragraph, [580.0, 406.0, 466.0, 36.0], steH2lc5kY, 5695309]
[paragraph, [580.0, 442.0, 466.0, 36.0], steH2lc5kY, 5695309]
[paragraph, [580.0, 478.0, 466.0, 36.0], steH2lc5kY, 5695309]
[paragraph, [119.0, 90.0, 454.0, 36.0], shoonya_0sCOXJ879IYLVB, 5695309]
[paragraph, [119.0, 126.0, 454.0, 36.0], shoonya_0sCOXJ879IYLVB, 5695309]
[paragraph, [117.0, 186.0, 454.0, 36.0], rF1iE9YDVJ, 5695309]
[paragraph, [117.0, 222.0, 454.0, 36.0], rF1iE9YDVJ, 5695309]
[paragraph, [117.0, 258.0, 454.0, 36.0], rF1iE9YDVJ, 5695309]
[paragraph, [117.0, 294.0, 454.0, 36.0], rF1iE9YDVJ, 5695309]
[paragraph, [117.0, 330.0, 454.0, 36.0], rF1iE9YDVJ, 5695309]
[paragraph, [117.0, 366.0, 454.0, 36.0], rF1iE9YDVJ, 5695309]
[paragraph, [117.0, 402.0, 454.0, 36.0], rF1iE9YDVJ, 5695309]
[paragraph, [117.0, 438.0, 454.0, 36.0], rF1iE9YDVJ, 5695309]
[paragraph, [117.0, 474.0, 454.0, 36.0], rF1iE9YDVJ, 5695309]
[paragraph, [117.0, 510.0, 454.0, 36.0], rF1iE9YDVJ, 5695309]
[paragraph, [117.0, 546.0, 454.0, 36.0], rF1iE9YDVJ, 5695309]
[paragraph, [117.0, 582.0, 454.0, 36.0], rF1iE9YDVJ, 5695309]
[paragraph, [586.0, 526.0, 454.0, 36.0], yJ9l5n_aZg, 5695309]
[paragraph, [581.0, 593.0, 471.0, 36.0], GsPb988Siw, 5695309]
[paragraph, [581.0, 629.0, 471.0, 36.0], GsPb988Siw, 5695309]
[paragraph, [581.0, 665.0, 471.0, 36.0], GsPb988Siw, 5695309]
[paragraph, [581.0, 701.0, 471.0, 36.0], GsPb988Siw, 5695309]
[paragraph, [581.0, 737.0, 471.0, 36.0], GsPb988Siw, 5695309]
[paragraph, [581.0, 773.0, 471.0, 36.0], GsPb988Siw, 5695309]
[paragraph, [581.0, 809.0, 471.0, 36.0], GsPb988Siw, 5695309]
[paragraph, [581.0, 845.0, 471.0, 36.0], GsPb988Siw, 5695309]
[paragraph, [581.0, 881.0, 471.0, 36.0], GsPb988Siw, 5695309]
[paragraph, [581.0, 917.0, 471.0, 36.0], GsPb988Siw, 5695309]
[paragraph, [111.0, 624.0, 464.0, 36.0], I9B_zCqgbJ, 5695309]
[paragraph, [111.0, 660.0, 464.0, 36.0], I9B_zCqgbJ, 5695309]
[paragraph, [111.0, 696.0, 464.0, 36.0], I9B_zCqgbJ, 5695309]
[paragraph, [111.0, 732.0, 464.0, 36.0], I9B_zCqgbJ, 5695309]
[paragraph, [111.0, 768.0, 464.0, 36.0], I9B_zCqgbJ, 5695309]
[paragraph, [111.0, 804.0, 464.0, 36.0], I9B_zCqgbJ, 5695309]
[paragraph, [111.0, 840.0, 464.0, 36.0], I9B_zCqgbJ, 5695309]
[paragraph, [111.0, 876.0, 464.0, 36.0], I9B_zCqgbJ, 5695309]
[paragraph, [111.0, 912.0, 464.0, 36.0], I9B_zCqgbJ, 5695309]
