[1074, 720]
[paragraph, [28.0, 106.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 124.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 142.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 160.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 178.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 196.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 214.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 232.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 250.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 268.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 286.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 304.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 322.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 340.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 358.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 376.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 394.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 412.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 430.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 448.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 466.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 484.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 502.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 520.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 538.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 556.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 574.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 592.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 610.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 628.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 646.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [28.0, 664.0, 641.0, 18.0], shoonya_1sHRGJA1ZELRHZ, 5711252]
[paragraph, [55.0, 786.0, 614.0, 18.0], shoonya_0sPYUXAF0AP37R, 5711252]
[paragraph, [55.0, 804.0, 614.0, 18.0], shoonya_0sPYUXAF0AP37R, 5711252]
[paragraph, [55.0, 822.0, 614.0, 18.0], shoonya_0sPYUXAF0AP37R, 5711252]
[paragraph, [55.0, 840.0, 614.0, 18.0], shoonya_0sPYUXAF0AP37R, 5711252]
[paragraph, [55.0, 858.0, 614.0, 18.0], shoonya_0sPYUXAF0AP37R, 5711252]
[paragraph, [55.0, 876.0, 614.0, 18.0], shoonya_0sPYUXAF0AP37R, 5711252]
[paragraph, [55.0, 894.0, 614.0, 18.0], shoonya_0sPYUXAF0AP37R, 5711252]
[paragraph, [55.0, 912.0, 614.0, 18.0], shoonya_0sPYUXAF0AP37R, 5711252]
[paragraph, [55.0, 930.0, 614.0, 18.0], shoonya_0sPYUXAF0AP37R, 5711252]
[paragraph, [55.0, 948.0, 614.0, 18.0], shoonya_0sPYUXAF0AP37R, 5711252]
[paragraph, [55.0, 966.0, 614.0, 18.0], shoonya_0sPYUXAF0AP37R, 5711252]
[paragraph, [55.0, 984.0, 614.0, 18.0], shoonya_0sPYUXAF0AP37R, 5711252]
