[842, 595]
[folio, [249.0, 86.0, 88.0, 18.0], ZloiMZKpyl, 5772954]
[folio, [249.0, 104.0, 88.0, 18.0], ZloiMZKpyl, 5772954]
[placeholder-text, [302.0, 134.0, 227.0, 18.0], 0UHZLw9IG_, 5772954]
[placeholder-text, [298.0, 162.0, 232.0, 18.0], r1warQCFhO, 5772954]
[placeholder-text, [298.0, 180.0, 232.0, 18.0], r1warQCFhO, 5772954]
[placeholder-text, [47.0, 169.0, 248.0, 18.0], SjwQ9F0PSv, 5772954]
[placeholder-text, [299.0, 198.0, 233.0, 18.0], agDJzUBite, 5772954]
[sidebar, [53.0, 233.0, 106.0, 18.0], Xi1Rsnox6K, 5772954]
[sidebar, [339.0, 248.0, 196.0, 18.0], h5OeUuFTJT, 5772954]
[sidebar, [48.0, 250.0, 186.0, 18.0], 5c483sjov_, 5772954]
[ordered-list, [294.0, 281.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 299.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 317.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 335.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 353.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 371.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 389.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 407.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 425.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 443.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 461.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 479.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 497.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 515.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 533.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 551.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 569.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 587.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 605.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 623.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 641.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 659.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 677.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 695.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [294.0, 713.0, 245.0, 18.0], lKSQP8yGlN, 5772954]
[ordered-list, [59.0, 283.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 301.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 319.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 337.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 355.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 373.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 391.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 409.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 427.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 445.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 463.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 481.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 499.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 517.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 535.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 553.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 571.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 589.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 607.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 625.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 643.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 661.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 679.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 697.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[ordered-list, [59.0, 715.0, 233.0, 18.0], uXjo3uUTuW, 5772954]
[sub-ordered-list, [303.0, 333.0, 230.0, 18.0], k8w839vDt9, 5772954]
[sub-ordered-list, [303.0, 351.0, 230.0, 18.0], k8w839vDt9, 5772954]
[sub-ordered-list, [303.0, 369.0, 230.0, 18.0], k8w839vDt9, 5772954]
[sub-ordered-list, [303.0, 387.0, 230.0, 18.0], k8w839vDt9, 5772954]
[sub-ordered-list, [303.0, 405.0, 230.0, 18.0], k8w839vDt9, 5772954]
[sub-ordered-list, [303.0, 423.0, 230.0, 18.0], k8w839vDt9, 5772954]
[sub-ordered-list, [303.0, 441.0, 230.0, 18.0], k8w839vDt9, 5772954]
[sub-ordered-list, [303.0, 459.0, 230.0, 18.0], k8w839vDt9, 5772954]
[sub-ordered-list, [72.0, 351.0, 222.0, 18.0], SDAwvu3Dt_, 5772954]
[sub-ordered-list, [72.0, 369.0, 222.0, 18.0], SDAwvu3Dt_, 5772954]
[sub-ordered-list, [72.0, 387.0, 222.0, 18.0], SDAwvu3Dt_, 5772954]
[sub-ordered-list, [72.0, 405.0, 222.0, 18.0], SDAwvu3Dt_, 5772954]
[sub-ordered-list, [72.0, 423.0, 222.0, 18.0], SDAwvu3Dt_, 5772954]
[sub-ordered-list, [72.0, 441.0, 222.0, 18.0], SDAwvu3Dt_, 5772954]
[sub-ordered-list, [72.0, 459.0, 222.0, 18.0], SDAwvu3Dt_, 5772954]
[sub-ordered-list, [72.0, 477.0, 222.0, 18.0], SDAwvu3Dt_, 5772954]
