[1275, 750]
[folio, [304.0, 87.0, 126.0, 18.0], shoonya_2s4DDD1IU4RQE9, 5767106]
[folio, [304.0, 105.0, 126.0, 18.0], shoonya_2s4DDD1IU4RQE9, 5767106]
[ordered-list, [67.0, 157.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 175.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 193.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 211.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 229.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 247.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 265.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 283.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 301.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 319.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 337.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 355.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 373.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 391.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 409.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 427.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 445.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 463.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 481.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 499.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 517.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 535.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 553.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 571.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 589.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 607.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 625.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 643.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 661.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 679.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 697.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 715.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 733.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 751.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 769.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 787.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 805.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 823.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 841.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 859.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 877.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 895.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 913.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 931.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 949.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 967.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 985.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 1003.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 1021.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 1039.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 1057.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 1075.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 1093.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 1111.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 1129.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 1147.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
[ordered-list, [67.0, 1165.0, 635.0, 18.0], shoonya_1sLFMSFED6RBVQ, 5767106]
