[1290, 900]
[chapter-title, [383.0, 38.0, 241.0, 30.0], shoonya_0sWGP1ADQD0U2A, 5776398]
[paragraph, [166.0, 94.0, 658.0, 18.0], Z5ZfkUHd_r, 5776398]
[paragraph, [166.0, 112.0, 658.0, 18.0], Z5ZfkUHd_r, 5776398]
[paragraph, [166.0, 130.0, 658.0, 18.0], Z5ZfkUHd_r, 5776398]
[paragraph, [166.0, 148.0, 658.0, 18.0], Z5ZfkUHd_r, 5776398]
[paragraph, [166.0, 166.0, 658.0, 18.0], Z5ZfkUHd_r, 5776398]
[paragraph, [166.0, 184.0, 658.0, 18.0], Z5ZfkUHd_r, 5776398]
[paragraph, [166.0, 202.0, 658.0, 18.0], Z5ZfkUHd_r, 5776398]
[paragraph, [166.0, 220.0, 658.0, 18.0], Z5ZfkUHd_r, 5776398]
[paragraph, [166.0, 238.0, 658.0, 18.0], Z5ZfkUHd_r, 5776398]
[paragraph, [168.0, 269.0, 414.0, 18.0], sC9fSm1Geu, 5776398]
[paragraph, [168.0, 292.0, 661.0, 18.0], lAjNX3o7OH, 5776398]
[paragraph, [168.0, 310.0, 661.0, 18.0], lAjNX3o7OH, 5776398]
[paragraph, [168.0, 339.0, 661.0, 18.0], fRRjmAxx_v, 5776398]
[paragraph, [168.0, 357.0, 661.0, 18.0], fRRjmAxx_v, 5776398]
[paragraph, [168.0, 375.0, 661.0, 18.0], fRRjmAxx_v, 5776398]
[paragraph, [168.0, 393.0, 661.0, 18.0], fRRjmAxx_v, 5776398]
[paragraph, [168.0, 411.0, 661.0, 18.0], fRRjmAxx_v, 5776398]
[paragraph, [169.0, 439.0, 665.0, 18.0], 49aS0Jjy3l, 5776398]
[paragraph, [169.0, 457.0, 665.0, 18.0], 49aS0Jjy3l, 5776398]
[paragraph, [169.0, 475.0, 665.0, 18.0], 49aS0Jjy3l, 5776398]
[paragraph, [169.0, 493.0, 665.0, 18.0], 49aS0Jjy3l, 5776398]
[paragraph, [169.0, 511.0, 665.0, 18.0], 49aS0Jjy3l, 5776398]
[paragraph, [165.0, 544.0, 390.0, 18.0], -1fioK2c3-, 5776398]
[paragraph, [165.0, 566.0, 671.0, 18.0], b5Qlf5aU_h, 5776398]
[paragraph, [165.0, 584.0, 671.0, 18.0], b5Qlf5aU_h, 5776398]
[paragraph, [165.0, 617.0, 672.0, 18.0], xyvh1Xigq-, 5776398]
[paragraph, [165.0, 635.0, 672.0, 18.0], xyvh1Xigq-, 5776398]
[paragraph, [166.0, 668.0, 674.0, 18.0], cZS0pU2-g5, 5776398]
[paragraph, [166.0, 686.0, 674.0, 18.0], cZS0pU2-g5, 5776398]
[paragraph, [166.0, 704.0, 674.0, 18.0], cZS0pU2-g5, 5776398]
[paragraph, [166.0, 722.0, 674.0, 18.0], cZS0pU2-g5, 5776398]
[paragraph, [166.0, 740.0, 674.0, 18.0], cZS0pU2-g5, 5776398]
[paragraph, [166.0, 758.0, 674.0, 18.0], cZS0pU2-g5, 5776398]
[paragraph, [166.0, 794.0, 674.0, 18.0], UIqP8zMG7w, 5776398]
[paragraph, [166.0, 812.0, 674.0, 18.0], UIqP8zMG7w, 5776398]
[paragraph, [168.0, 845.0, 418.0, 18.0], Q_L7du8vDw, 5776398]
[paragraph, [168.0, 869.0, 680.0, 18.0], wKWTciHKXE, 5776398]
[paragraph, [168.0, 887.0, 680.0, 18.0], wKWTciHKXE, 5776398]
[paragraph, [168.0, 919.0, 679.0, 18.0], tdpj3SfycE, 5776398]
[paragraph, [168.0, 937.0, 679.0, 18.0], tdpj3SfycE, 5776398]
[paragraph, [168.0, 955.0, 679.0, 18.0], tdpj3SfycE, 5776398]
[paragraph, [168.0, 973.0, 679.0, 18.0], tdpj3SfycE, 5776398]
[paragraph, [169.0, 994.0, 405.0, 18.0], 6LudRasd6F, 5776398]
[paragraph, [169.0, 1021.0, 678.0, 18.0], deOl595fJO, 5776398]
[paragraph, [169.0, 1039.0, 678.0, 18.0], deOl595fJO, 5776398]
[paragraph, [169.0, 1057.0, 678.0, 18.0], deOl595fJO, 5776398]
[paragraph, [169.0, 1075.0, 678.0, 18.0], deOl595fJO, 5776398]
[paragraph, [169.0, 1093.0, 678.0, 18.0], deOl595fJO, 5776398]
