[2338, 1654]
[paragraph, [187.0, 192.0, 1272.0, 36.0], shoonya_1s5ABM993IDAQG, 5754061]
[paragraph, [187.0, 228.0, 1272.0, 36.0], shoonya_1s5ABM993IDAQG, 5754061]
[paragraph, [187.0, 264.0, 1272.0, 36.0], shoonya_1s5ABM993IDAQG, 5754061]
[paragraph, [187.0, 300.0, 1272.0, 36.0], shoonya_1s5ABM993IDAQG, 5754061]
[paragraph, [187.0, 336.0, 1272.0, 36.0], shoonya_1s5ABM993IDAQG, 5754061]
[paragraph, [187.0, 372.0, 1272.0, 36.0], shoonya_1s5ABM993IDAQG, 5754061]
[paragraph, [187.0, 408.0, 1272.0, 36.0], shoonya_1s5ABM993IDAQG, 5754061]
[paragraph, [187.0, 444.0, 1272.0, 36.0], shoonya_1s5ABM993IDAQG, 5754061]
[paragraph, [187.0, 480.0, 1272.0, 36.0], shoonya_1s5ABM993IDAQG, 5754061]
[paragraph, [187.0, 516.0, 1272.0, 36.0], shoonya_1s5ABM993IDAQG, 5754061]
[paragraph, [187.0, 552.0, 1272.0, 36.0], shoonya_1s5ABM993IDAQG, 5754061]
[paragraph, [187.0, 588.0, 1272.0, 36.0], shoonya_1s5ABM993IDAQG, 5754061]
[paragraph, [189.0, 653.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 689.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 725.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 761.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 797.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 833.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 869.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 905.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 941.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 977.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1013.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1049.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1085.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1121.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1157.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1193.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1229.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1265.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1301.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1337.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1373.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1409.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1445.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1481.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1517.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1553.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1589.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1625.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1661.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1697.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1733.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1769.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1805.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1841.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1877.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1913.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1949.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 1985.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
[paragraph, [189.0, 2021.0, 1283.0, 36.0], shoonya_0sPC85WFP17JM3, 5754061]
