[2070, 1531]
[folio, [30.0, 34.0, 202.0, 36.0], 1rX7qld7UP, 5712987]
[folio, [1240.0, 112.0, 200.0, 36.0], eCaqGYDx-N, 5712987]
[sub-headline, [21.0, 170.0, 974.0, 55.5], 4i0zkmwXPW, 5712987]
[author, [1204.0, 200.0, 223.0, 36.0], oEpweD-f7z, 5712987]
[paragraph, [32.0, 307.0, 1387.0, 36.0], lwvgRLbL50, 5712987]
[paragraph, [32.0, 343.0, 1387.0, 36.0], lwvgRLbL50, 5712987]
[paragraph, [32.0, 379.0, 1387.0, 36.0], lwvgRLbL50, 5712987]
[paragraph, [336.0, 499.0, 411.0, 36.0], shoonya_0s35MN384CGZAG, 5712987]
[paragraph, [336.0, 535.0, 411.0, 36.0], shoonya_0s35MN384CGZAG, 5712987]
[paragraph, [336.0, 571.0, 411.0, 36.0], shoonya_0s35MN384CGZAG, 5712987]
[paragraph, [336.0, 607.0, 411.0, 36.0], shoonya_0s35MN384CGZAG, 5712987]
[paragraph, [336.0, 643.0, 411.0, 36.0], shoonya_0s35MN384CGZAG, 5712987]
[paragraph, [336.0, 679.0, 411.0, 36.0], shoonya_0s35MN384CGZAG, 5712987]
[paragraph, [1156.0, 500.0, 288.0, 36.0], shoonya_6sJ6WTVBLNQL18, 5712987]
[paragraph, [1156.0, 536.0, 288.0, 36.0], shoonya_6sJ6WTVBLNQL18, 5712987]
[paragraph, [1156.0, 572.0, 288.0, 36.0], shoonya_6sJ6WTVBLNQL18, 5712987]
[paragraph, [1156.0, 608.0, 288.0, 36.0], shoonya_6sJ6WTVBLNQL18, 5712987]
[paragraph, [1156.0, 644.0, 288.0, 36.0], shoonya_6sJ6WTVBLNQL18, 5712987]
[paragraph, [1156.0, 680.0, 288.0, 36.0], shoonya_6sJ6WTVBLNQL18, 5712987]
[paragraph, [1154.0, 736.0, 293.0, 36.0], shoonya_8sIZVGWWAGGKXN, 5712987]
[paragraph, [1154.0, 772.0, 293.0, 36.0], shoonya_8sIZVGWWAGGKXN, 5712987]
[paragraph, [1154.0, 808.0, 293.0, 36.0], shoonya_8sIZVGWWAGGKXN, 5712987]
[paragraph, [1154.0, 844.0, 293.0, 36.0], shoonya_8sIZVGWWAGGKXN, 5712987]
[paragraph, [1154.0, 880.0, 293.0, 36.0], shoonya_8sIZVGWWAGGKXN, 5712987]
[paragraph, [1154.0, 916.0, 293.0, 36.0], shoonya_8sIZVGWWAGGKXN, 5712987]
[paragraph, [1154.0, 952.0, 293.0, 36.0], shoonya_8sIZVGWWAGGKXN, 5712987]
[paragraph, [1154.0, 988.0, 293.0, 36.0], shoonya_8sIZVGWWAGGKXN, 5712987]
[paragraph, [1154.0, 1024.0, 293.0, 36.0], shoonya_8sIZVGWWAGGKXN, 5712987]
[paragraph, [323.0, 742.0, 426.0, 36.0], shoonya_1sPZQNRISRK8X4, 5712987]
[paragraph, [323.0, 778.0, 426.0, 36.0], shoonya_1sPZQNRISRK8X4, 5712987]
[paragraph, [323.0, 814.0, 426.0, 36.0], shoonya_1sPZQNRISRK8X4, 5712987]
[paragraph, [323.0, 850.0, 426.0, 36.0], shoonya_1sPZQNRISRK8X4, 5712987]
[paragraph, [323.0, 886.0, 426.0, 36.0], shoonya_1sPZQNRISRK8X4, 5712987]
[figure-caption, [34.0, 899.0, 288.0, 36.0], shoonya_14sEUCTBXLNOUF, 5712987]
[paragraph, [26.0, 949.0, 713.0, 36.0], shoonya_2sHSP7PK35FVLI, 5712987]
[paragraph, [26.0, 985.0, 713.0, 36.0], shoonya_2sHSP7PK35FVLI, 5712987]
[paragraph, [26.0, 1021.0, 713.0, 36.0], shoonya_2sHSP7PK35FVLI, 5712987]
[paragraph, [26.0, 1057.0, 713.0, 36.0], shoonya_2sHSP7PK35FVLI, 5712987]
[paragraph, [26.0, 1093.0, 713.0, 36.0], shoonya_2sHSP7PK35FVLI, 5712987]
[paragraph, [26.0, 1129.0, 713.0, 36.0], shoonya_2sHSP7PK35FVLI, 5712987]
[figure-caption, [761.0, 977.0, 341.0, 36.0], shoonya_11s27VH8EBOJ19, 5712987]
[figure-caption, [761.0, 1013.0, 341.0, 36.0], shoonya_11s27VH8EBOJ19, 5712987]
[paragraph, [734.0, 1061.0, 725.0, 36.0], shoonya_9s0KZC3PBQ2TSW, 5712987]
[paragraph, [734.0, 1097.0, 725.0, 36.0], shoonya_9s0KZC3PBQ2TSW, 5712987]
[paragraph, [734.0, 1133.0, 725.0, 36.0], shoonya_9s0KZC3PBQ2TSW, 5712987]
[paragraph, [734.0, 1169.0, 725.0, 36.0], shoonya_9s0KZC3PBQ2TSW, 5712987]
[paragraph, [734.0, 1205.0, 725.0, 36.0], shoonya_9s0KZC3PBQ2TSW, 5712987]
[paragraph, [734.0, 1241.0, 725.0, 36.0], shoonya_9s0KZC3PBQ2TSW, 5712987]
[paragraph, [734.0, 1277.0, 725.0, 36.0], shoonya_9s0KZC3PBQ2TSW, 5712987]
[paragraph, [15.0, 1178.0, 728.0, 36.0], shoonya_3sDRSEVNR0LNXM, 5712987]
[paragraph, [15.0, 1214.0, 728.0, 36.0], shoonya_3sDRSEVNR0LNXM, 5712987]
[paragraph, [15.0, 1250.0, 728.0, 36.0], shoonya_3sDRSEVNR0LNXM, 5712987]
[paragraph, [15.0, 1286.0, 728.0, 36.0], shoonya_3sDRSEVNR0LNXM, 5712987]
[paragraph, [15.0, 1322.0, 728.0, 36.0], shoonya_3sDRSEVNR0LNXM, 5712987]
[paragraph, [15.0, 1358.0, 728.0, 36.0], shoonya_3sDRSEVNR0LNXM, 5712987]
[paragraph, [15.0, 1394.0, 728.0, 36.0], shoonya_3sDRSEVNR0LNXM, 5712987]
[paragraph, [15.0, 1430.0, 728.0, 36.0], shoonya_3sDRSEVNR0LNXM, 5712987]
[paragraph, [15.0, 1466.0, 728.0, 36.0], shoonya_3sDRSEVNR0LNXM, 5712987]
[paragraph, [746.0, 1331.0, 712.0, 36.0], shoonya_13sHM3RRXESLOQ, 5712987]
[paragraph, [746.0, 1367.0, 712.0, 36.0], shoonya_13sHM3RRXESLOQ, 5712987]
[paragraph, [746.0, 1403.0, 712.0, 36.0], shoonya_13sHM3RRXESLOQ, 5712987]
[paragraph, [746.0, 1439.0, 712.0, 36.0], shoonya_13sHM3RRXESLOQ, 5712987]
[paragraph, [746.0, 1475.0, 712.0, 36.0], shoonya_13sHM3RRXESLOQ, 5712987]
[paragraph, [21.0, 1515.0, 714.0, 36.0], shoonya_4s8N7K0L9EQH8I, 5712987]
[paragraph, [21.0, 1551.0, 714.0, 36.0], shoonya_4s8N7K0L9EQH8I, 5712987]
[paragraph, [21.0, 1587.0, 714.0, 36.0], shoonya_4s8N7K0L9EQH8I, 5712987]
[paragraph, [21.0, 1623.0, 714.0, 36.0], shoonya_4s8N7K0L9EQH8I, 5712987]
[paragraph, [21.0, 1659.0, 714.0, 36.0], shoonya_4s8N7K0L9EQH8I, 5712987]
[paragraph, [742.0, 1538.0, 723.0, 36.0], shoonya_12sBM29OO138CO, 5712987]
[paragraph, [742.0, 1574.0, 723.0, 36.0], shoonya_12sBM29OO138CO, 5712987]
[paragraph, [742.0, 1610.0, 723.0, 36.0], shoonya_12sBM29OO138CO, 5712987]
[paragraph, [742.0, 1646.0, 723.0, 36.0], shoonya_12sBM29OO138CO, 5712987]
[paragraph, [742.0, 1682.0, 723.0, 36.0], shoonya_12sBM29OO138CO, 5712987]
[paragraph, [24.0, 1721.0, 712.0, 36.0], shoonya_5s0FD25CTS7KK5, 5712987]
[paragraph, [24.0, 1757.0, 712.0, 36.0], shoonya_5s0FD25CTS7KK5, 5712987]
[paragraph, [24.0, 1793.0, 712.0, 36.0], shoonya_5s0FD25CTS7KK5, 5712987]
[paragraph, [24.0, 1829.0, 712.0, 36.0], shoonya_5s0FD25CTS7KK5, 5712987]
[paragraph, [24.0, 1865.0, 712.0, 36.0], shoonya_5s0FD25CTS7KK5, 5712987]
[paragraph, [24.0, 1901.0, 712.0, 36.0], shoonya_5s0FD25CTS7KK5, 5712987]
[paragraph, [24.0, 1937.0, 712.0, 36.0], shoonya_5s0FD25CTS7KK5, 5712987]
