[1650, 934]
[folio, [362.0, 99.0, 259.0, 36.0], shoonya_1sIQE44A6ECGWZ, 5766265]
[paragraph, [87.0, 155.0, 801.0, 36.0], shoonya_0s27H6PEG6NGP0, 5766265]
[paragraph, [87.0, 191.0, 801.0, 36.0], shoonya_0s27H6PEG6NGP0, 5766265]
[paragraph, [87.0, 227.0, 801.0, 36.0], shoonya_0s27H6PEG6NGP0, 5766265]
[paragraph, [87.0, 263.0, 801.0, 36.0], shoonya_0s27H6PEG6NGP0, 5766265]
[paragraph, [87.0, 299.0, 801.0, 36.0], shoonya_0s27H6PEG6NGP0, 5766265]
[paragraph, [87.0, 335.0, 801.0, 36.0], shoonya_0s27H6PEG6NGP0, 5766265]
[paragraph, [87.0, 371.0, 801.0, 36.0], shoonya_0s27H6PEG6NGP0, 5766265]
[paragraph, [87.0, 407.0, 801.0, 36.0], shoonya_0s27H6PEG6NGP0, 5766265]
[paragraph, [87.0, 443.0, 801.0, 36.0], shoonya_0s27H6PEG6NGP0, 5766265]
[paragraph, [87.0, 479.0, 801.0, 36.0], shoonya_0s27H6PEG6NGP0, 5766265]
[paragraph, [87.0, 515.0, 801.0, 36.0], shoonya_0s27H6PEG6NGP0, 5766265]
[paragraph, [87.0, 551.0, 801.0, 36.0], shoonya_0s27H6PEG6NGP0, 5766265]
[paragraph, [87.0, 587.0, 801.0, 36.0], shoonya_0s27H6PEG6NGP0, 5766265]
[paragraph, [85.0, 642.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 678.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 714.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 750.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 786.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 822.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 858.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 894.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 930.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 966.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 1002.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 1038.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 1074.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 1110.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 1146.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 1182.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 1218.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 1254.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 1290.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 1326.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 1362.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
[paragraph, [85.0, 1398.0, 800.0, 36.0], cMkzZ7S0vA, 5766265]
