[612, 396]
[folio, [173.0, 32.0, 159.0, 18.0], ZkpobCYr9b, 6514313]
[paragraph, [40.0, 67.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 85.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 103.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 121.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 139.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 157.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 175.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 193.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 211.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 229.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 247.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 265.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 283.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 301.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 319.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 337.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 355.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 373.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 391.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 409.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 427.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 445.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 463.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [40.0, 481.0, 315.0, 18.0], shoonya_0sTDDU71F7JZRZ, 6514313]
[paragraph, [42.0, 531.0, 310.0, 18.0], shoonya_2sI10N32Y8PGE8, 6514313]
