[2200, 1700]
[paragraph, [325.0, 77.0, 1086.0, 36.0], shoonya_1sZTUNKW95INCO, 5730983]
[paragraph, [325.0, 113.0, 1086.0, 36.0], shoonya_1sZTUNKW95INCO, 5730983]
[paragraph, [325.0, 149.0, 1086.0, 36.0], shoonya_1sZTUNKW95INCO, 5730983]
[paragraph, [325.0, 185.0, 1086.0, 36.0], shoonya_1sZTUNKW95INCO, 5730983]
[paragraph, [325.0, 221.0, 1086.0, 36.0], shoonya_1sZTUNKW95INCO, 5730983]
[paragraph, [325.0, 257.0, 1086.0, 36.0], shoonya_1sZTUNKW95INCO, 5730983]
[paragraph, [325.0, 293.0, 1086.0, 36.0], shoonya_1sZTUNKW95INCO, 5730983]
[paragraph, [325.0, 329.0, 1086.0, 36.0], shoonya_1sZTUNKW95INCO, 5730983]
[paragraph, [325.0, 365.0, 1086.0, 36.0], shoonya_1sZTUNKW95INCO, 5730983]
[paragraph, [325.0, 401.0, 1086.0, 36.0], shoonya_1sZTUNKW95INCO, 5730983]
[paragraph, [325.0, 437.0, 1086.0, 36.0], shoonya_1sZTUNKW95INCO, 5730983]
[paragraph, [556.0, 490.0, 727.0, 36.0], 5qrp9Qtvsd, 5730983]
[paragraph, [556.0, 526.0, 727.0, 36.0], 5qrp9Qtvsd, 5730983]
[paragraph, [556.0, 562.0, 727.0, 36.0], 5qrp9Qtvsd, 5730983]
[paragraph, [350.0, 607.0, 851.0, 36.0], 9Drob4Rhhn, 5730983]
[paragraph, [323.0, 675.0, 1105.0, 36.0], shoonya_0s0PYFATLGMGV5, 5730983]
[paragraph, [323.0, 711.0, 1105.0, 36.0], shoonya_0s0PYFATLGMGV5, 5730983]
[paragraph, [323.0, 747.0, 1105.0, 36.0], shoonya_0s0PYFATLGMGV5, 5730983]
[paragraph, [323.0, 783.0, 1105.0, 36.0], shoonya_0s0PYFATLGMGV5, 5730983]
[paragraph, [323.0, 819.0, 1105.0, 36.0], shoonya_0s0PYFATLGMGV5, 5730983]
[paragraph, [323.0, 855.0, 1105.0, 36.0], shoonya_0s0PYFATLGMGV5, 5730983]
[paragraph, [323.0, 891.0, 1105.0, 36.0], shoonya_0s0PYFATLGMGV5, 5730983]
[paragraph, [323.0, 927.0, 1105.0, 36.0], shoonya_0s0PYFATLGMGV5, 5730983]
[paragraph, [323.0, 963.0, 1105.0, 36.0], shoonya_0s0PYFATLGMGV5, 5730983]
[paragraph, [323.0, 999.0, 1105.0, 36.0], shoonya_0s0PYFATLGMGV5, 5730983]
[paragraph, [323.0, 1035.0, 1105.0, 36.0], shoonya_0s0PYFATLGMGV5, 5730983]
[paragraph, [323.0, 1071.0, 1105.0, 36.0], shoonya_0s0PYFATLGMGV5, 5730983]
[paragraph, [323.0, 1107.0, 1105.0, 36.0], shoonya_0s0PYFATLGMGV5, 5730983]
[paragraph, [323.0, 1143.0, 1105.0, 36.0], shoonya_0s0PYFATLGMGV5, 5730983]
[paragraph, [323.0, 1179.0, 1105.0, 36.0], shoonya_0s0PYFATLGMGV5, 5730983]
[paragraph, [339.0, 1242.0, 1080.0, 36.0], I5-DNAH62L, 5730983]
[paragraph, [339.0, 1278.0, 1080.0, 36.0], I5-DNAH62L, 5730983]
[paragraph, [339.0, 1314.0, 1080.0, 36.0], I5-DNAH62L, 5730983]
[paragraph, [339.0, 1350.0, 1080.0, 36.0], I5-DNAH62L, 5730983]
[paragraph, [339.0, 1386.0, 1080.0, 36.0], I5-DNAH62L, 5730983]
[paragraph, [339.0, 1422.0, 1080.0, 36.0], I5-DNAH62L, 5730983]
[folio, [454.0, 2030.0, 365.0, 36.0], M_j5tC9vQd, 5730983]
