[2339, 1654]
[folio, [1326.0, 74.0, 257.0, 36.0], QQSknYynVb, 5751304]
[folio, [1326.0, 110.0, 257.0, 36.0], QQSknYynVb, 5751304]
[paragraph, [102.0, 129.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 165.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 201.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 237.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 273.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 309.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 345.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 381.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 417.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 453.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 489.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 525.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 561.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 597.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 633.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 669.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 705.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 741.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 777.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 813.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 849.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 885.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 921.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 957.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 993.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 1029.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 1065.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 1101.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 1137.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 1173.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 1209.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
[paragraph, [102.0, 1245.0, 1461.0, 36.0], shoonya_1s2X6U83S9F0L2, 5751304]
