[2000, 1414]
[headline, [76.0, 78.0, 948.0, 67.5], shoonya_1s5SOV3SC9G4W5, 6514834]
[headline, [76.0, 145.5, 948.0, 67.5], shoonya_1s5SOV3SC9G4W5, 6514834]
[headline, [76.0, 213.0, 948.0, 67.5], shoonya_1s5SOV3SC9G4W5, 6514834]
[headline, [76.0, 280.5, 948.0, 67.5], shoonya_1s5SOV3SC9G4W5, 6514834]
[quote, [405.0, 1267.0, 289.0, 36.0], shoonya_6sEPS1XKZEA0WL, 6514834]
[quote, [405.0, 1303.0, 289.0, 36.0], shoonya_6sEPS1XKZEA0WL, 6514834]
[quote, [405.0, 1339.0, 289.0, 36.0], shoonya_6sEPS1XKZEA0WL, 6514834]
[quote, [405.0, 1375.0, 289.0, 36.0], shoonya_6sEPS1XKZEA0WL, 6514834]
[quote, [405.0, 1411.0, 289.0, 36.0], shoonya_6sEPS1XKZEA0WL, 6514834]
[quote, [405.0, 1447.0, 289.0, 36.0], shoonya_6sEPS1XKZEA0WL, 6514834]
[quote, [405.0, 1483.0, 289.0, 36.0], shoonya_6sEPS1XKZEA0WL, 6514834]
[quote, [405.0, 1519.0, 289.0, 36.0], shoonya_6sEPS1XKZEA0WL, 6514834]
[quote, [405.0, 1555.0, 289.0, 36.0], shoonya_6sEPS1XKZEA0WL, 6514834]
[quote, [405.0, 1591.0, 289.0, 36.0], shoonya_6sEPS1XKZEA0WL, 6514834]
[quote, [405.0, 1627.0, 289.0, 36.0], shoonya_6sEPS1XKZEA0WL, 6514834]
[paragraph, [720.0, 1271.0, 294.0, 36.0], shoonya_4s74FI683W15AQ, 6514834]
[paragraph, [720.0, 1307.0, 294.0, 36.0], shoonya_4s74FI683W15AQ, 6514834]
[paragraph, [720.0, 1343.0, 294.0, 36.0], shoonya_4s74FI683W15AQ, 6514834]
[paragraph, [720.0, 1379.0, 294.0, 36.0], shoonya_4s74FI683W15AQ, 6514834]
[paragraph, [720.0, 1415.0, 294.0, 36.0], shoonya_4s74FI683W15AQ, 6514834]
[paragraph, [720.0, 1451.0, 294.0, 36.0], shoonya_4s74FI683W15AQ, 6514834]
[paragraph, [1041.0, 1276.0, 288.0, 36.0], shoonya_2sM2GG2FHVLE7J, 6514834]
[paragraph, [1041.0, 1312.0, 288.0, 36.0], shoonya_2sM2GG2FHVLE7J, 6514834]
[paragraph, [1041.0, 1348.0, 288.0, 36.0], shoonya_2sM2GG2FHVLE7J, 6514834]
[paragraph, [1041.0, 1384.0, 288.0, 36.0], shoonya_2sM2GG2FHVLE7J, 6514834]
[paragraph, [1041.0, 1420.0, 288.0, 36.0], shoonya_2sM2GG2FHVLE7J, 6514834]
[paragraph, [1041.0, 1456.0, 288.0, 36.0], shoonya_2sM2GG2FHVLE7J, 6514834]
