[1650, 1275]
[folio, [806.0, 25.0, 325.0, 36.0], shoonya_0sOCEN5CG8K1G9, 5775648]
[paragraph, [127.0, 548.0, 994.0, 36.0], cO8X0rLPWT, 5775648]
[paragraph, [127.0, 584.0, 994.0, 36.0], cO8X0rLPWT, 5775648]
[paragraph, [127.0, 620.0, 994.0, 36.0], cO8X0rLPWT, 5775648]
[paragraph, [127.0, 656.0, 994.0, 36.0], cO8X0rLPWT, 5775648]
[paragraph, [122.0, 703.0, 1010.0, 36.0], dyiKEh5u8k, 5775648]
[paragraph, [122.0, 739.0, 1010.0, 36.0], dyiKEh5u8k, 5775648]
[paragraph, [122.0, 775.0, 1010.0, 36.0], dyiKEh5u8k, 5775648]
[paragraph, [122.0, 811.0, 1010.0, 36.0], dyiKEh5u8k, 5775648]
[paragraph, [122.0, 847.0, 1010.0, 36.0], dyiKEh5u8k, 5775648]
[paragraph, [122.0, 883.0, 1010.0, 36.0], dyiKEh5u8k, 5775648]
[paragraph, [117.0, 940.0, 1018.0, 36.0], 5Tw1_Srb4m, 5775648]
[paragraph, [117.0, 976.0, 1018.0, 36.0], 5Tw1_Srb4m, 5775648]
[paragraph, [117.0, 1012.0, 1018.0, 36.0], 5Tw1_Srb4m, 5775648]
[paragraph, [117.0, 1048.0, 1018.0, 36.0], 5Tw1_Srb4m, 5775648]
[paragraph, [117.0, 1084.0, 1018.0, 36.0], 5Tw1_Srb4m, 5775648]
[paragraph, [106.0, 1122.0, 1035.0, 36.0], 1f2rWDxsb1, 5775648]
[paragraph, [106.0, 1158.0, 1035.0, 36.0], 1f2rWDxsb1, 5775648]
[paragraph, [106.0, 1194.0, 1035.0, 36.0], 1f2rWDxsb1, 5775648]
[paragraph, [106.0, 1230.0, 1035.0, 36.0], 1f2rWDxsb1, 5775648]
[paragraph, [124.0, 1316.0, 1027.0, 36.0], S-3QMHh5wl, 5775648]
[paragraph, [124.0, 1352.0, 1027.0, 36.0], S-3QMHh5wl, 5775648]
[paragraph, [124.0, 1388.0, 1027.0, 36.0], S-3QMHh5wl, 5775648]
[paragraph, [124.0, 1424.0, 1027.0, 36.0], S-3QMHh5wl, 5775648]
[footnote, [121.0, 1468.0, 1069.0, 36.0], 1voJDtkej2, 5775648]
[footnote, [121.0, 1504.0, 1069.0, 36.0], 1voJDtkej2, 5775648]
[website-link, [808.0, 1469.0, 302.0, 18.0], OGNQDc_njn, 5775648]
[website-link, [133.0, 1509.0, 621.0, 18.0], c49w6UBhAo, 5775648]
