[1650, 1275]
[folio, [887.0, 43.0, 243.0, 36.0], 1y282rg3Gt, 5775215]
[paragraph, [145.0, 118.0, 968.0, 36.0], shoonya_4s4BV3K3ZLBU35, 5775215]
[paragraph, [137.0, 185.0, 987.0, 36.0], shoonya_3sOYFW6C3PHOUF, 5775215]
[paragraph, [137.0, 221.0, 987.0, 36.0], shoonya_3sOYFW6C3PHOUF, 5775215]
[paragraph, [137.0, 257.0, 987.0, 36.0], shoonya_3sOYFW6C3PHOUF, 5775215]
[paragraph, [137.0, 293.0, 987.0, 36.0], shoonya_3sOYFW6C3PHOUF, 5775215]
[paragraph, [137.0, 329.0, 987.0, 36.0], shoonya_3sOYFW6C3PHOUF, 5775215]
[paragraph, [145.0, 382.0, 965.0, 36.0], shoonya_5sBQD56L400JIU, 5775215]
[paragraph, [145.0, 452.0, 967.0, 36.0], shoonya_1sHT5N4QPZ9KBA, 5775215]
[paragraph, [145.0, 488.0, 967.0, 36.0], shoonya_1sHT5N4QPZ9KBA, 5775215]
[paragraph, [145.0, 524.0, 967.0, 36.0], shoonya_1sHT5N4QPZ9KBA, 5775215]
[paragraph, [133.0, 634.0, 999.0, 36.0], shoonya_0sEPUKXWGS4QKG, 5775215]
[paragraph, [133.0, 670.0, 999.0, 36.0], shoonya_0sEPUKXWGS4QKG, 5775215]
[paragraph, [133.0, 706.0, 999.0, 36.0], shoonya_0sEPUKXWGS4QKG, 5775215]
[paragraph, [133.0, 742.0, 999.0, 36.0], shoonya_0sEPUKXWGS4QKG, 5775215]
[paragraph, [133.0, 778.0, 999.0, 36.0], shoonya_0sEPUKXWGS4QKG, 5775215]
[paragraph, [133.0, 814.0, 999.0, 36.0], shoonya_0sEPUKXWGS4QKG, 5775215]
[paragraph, [136.0, 876.0, 1004.0, 36.0], shoonya_2sW4HUS9OCBBXI, 5775215]
[paragraph, [136.0, 912.0, 1004.0, 36.0], shoonya_2sW4HUS9OCBBXI, 5775215]
[paragraph, [136.0, 948.0, 1004.0, 36.0], shoonya_2sW4HUS9OCBBXI, 5775215]
[paragraph, [136.0, 984.0, 1004.0, 36.0], shoonya_2sW4HUS9OCBBXI, 5775215]
[paragraph, [136.0, 1020.0, 1004.0, 36.0], shoonya_2sW4HUS9OCBBXI, 5775215]
[footnote, [121.0, 1117.0, 1016.0, 36.0], 901eCWZ0hq, 5775215]
[footnote, [121.0, 1153.0, 1016.0, 36.0], 901eCWZ0hq, 5775215]
[footnote, [121.0, 1189.0, 1016.0, 36.0], 901eCWZ0hq, 5775215]
[footnote, [121.0, 1225.0, 1016.0, 36.0], 901eCWZ0hq, 5775215]
[footnote, [121.0, 1261.0, 1016.0, 36.0], 901eCWZ0hq, 5775215]
[footnote, [121.0, 1297.0, 1016.0, 36.0], 901eCWZ0hq, 5775215]
[footnote, [121.0, 1333.0, 1016.0, 36.0], 901eCWZ0hq, 5775215]
[footnote, [121.0, 1369.0, 1016.0, 36.0], 901eCWZ0hq, 5775215]
[footnote, [121.0, 1405.0, 1016.0, 36.0], 901eCWZ0hq, 5775215]
[footnote, [121.0, 1441.0, 1016.0, 36.0], 901eCWZ0hq, 5775215]
[footnote, [121.0, 1477.0, 1016.0, 36.0], 901eCWZ0hq, 5775215]
[footnote, [121.0, 1513.0, 1016.0, 36.0], 901eCWZ0hq, 5775215]
[footnote, [121.0, 1549.0, 1016.0, 36.0], 901eCWZ0hq, 5775215]
[website-link, [208.0, 1161.0, 890.0, 18.0], nxiX3Fu0KW, 5775215]
[website-link, [146.0, 1182.0, 372.0, 18.0], fs3LMCABKR, 5775215]
[website-link, [931.0, 1202.0, 191.0, 18.0], ztZ8SI4f5C, 5775215]
[website-link, [148.0, 1225.0, 644.0, 18.0], ilNUwXO6lc, 5775215]
[website-link, [782.0, 1314.0, 317.0, 18.0], OysZHuvHqn, 5775215]
[website-link, [146.0, 1335.0, 661.0, 18.0], P6i7OKa87n, 5775215]
[website-link, [380.0, 1375.0, 737.0, 18.0], -LTsaQSmzD, 5775215]
[website-link, [143.0, 1400.0, 317.0, 18.0], JaWkdvoYSV, 5775215]
[website-link, [946.0, 1421.0, 150.0, 18.0], 5poeAml3wZ, 5775215]
[website-link, [147.0, 1443.0, 525.0, 18.0], 22CgrBq5RX, 5775215]
[website-link, [934.0, 1463.0, 176.0, 18.0], ecs9u21m2k, 5775215]
[website-link, [146.0, 1487.0, 239.0, 18.0], JdyngXnY4D, 5775215]
[website-link, [595.0, 1506.0, 325.0, 18.0], ZMPDe3BRyv, 5775215]
[website-link, [423.0, 1579.0, 246.0, 18.0], sdgzeXQBWX, 5775215]
