[1806, 1178]
[chapter-title, [418.0, 284.0, 385.0, 58.5], shoonya_2s0SK6UMBTPAPV, 5750603]
[chapter-title, [418.0, 342.5, 385.0, 58.5], shoonya_2s0SK6UMBTPAPV, 5750603]
[paragraph, [150.0, 398.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 434.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 470.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 506.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 542.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 578.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 614.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 650.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 686.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 722.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 758.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 794.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 830.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 866.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 902.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 938.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 974.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 1010.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [150.0, 1046.0, 924.0, 36.0], shoonya_1sZ9K78SPT5XAM, 5750603]
[paragraph, [153.0, 1091.0, 923.0, 36.0], shoonya_0sKBXJDV9RJGS5, 5750603]
[paragraph, [153.0, 1127.0, 923.0, 36.0], shoonya_0sKBXJDV9RJGS5, 5750603]
[paragraph, [153.0, 1163.0, 923.0, 36.0], shoonya_0sKBXJDV9RJGS5, 5750603]
[paragraph, [153.0, 1199.0, 923.0, 36.0], shoonya_0sKBXJDV9RJGS5, 5750603]
[paragraph, [153.0, 1235.0, 923.0, 36.0], shoonya_0sKBXJDV9RJGS5, 5750603]
[paragraph, [153.0, 1271.0, 923.0, 36.0], shoonya_0sKBXJDV9RJGS5, 5750603]
[paragraph, [153.0, 1307.0, 923.0, 36.0], shoonya_0sKBXJDV9RJGS5, 5750603]
[paragraph, [153.0, 1343.0, 923.0, 36.0], shoonya_0sKBXJDV9RJGS5, 5750603]
[paragraph, [153.0, 1379.0, 923.0, 36.0], shoonya_0sKBXJDV9RJGS5, 5750603]
[paragraph, [153.0, 1415.0, 923.0, 36.0], shoonya_0sKBXJDV9RJGS5, 5750603]
[paragraph, [153.0, 1490.0, 928.0, 36.0], shoonya_3s8QPSY5B4JDW0, 5750603]
[paragraph, [153.0, 1526.0, 928.0, 36.0], shoonya_3s8QPSY5B4JDW0, 5750603]
[folio, [543.0, 1615.0, 174.0, 36.0], JQcTiOgq1d, 5750603]
