[872, 605]
[folio, [463.0, 42.0, 90.0, 18.0], hstrUdJA79, 6457220]
[paragraph, [49.0, 80.0, 253.0, 18.0], shoonya_0sK3ZTYHEUMR1D, 6457220]
[paragraph, [49.0, 98.0, 253.0, 18.0], shoonya_0sK3ZTYHEUMR1D, 6457220]
[paragraph, [49.0, 116.0, 253.0, 18.0], shoonya_0sK3ZTYHEUMR1D, 6457220]
[paragraph, [49.0, 134.0, 253.0, 18.0], shoonya_0sK3ZTYHEUMR1D, 6457220]
[paragraph, [49.0, 152.0, 253.0, 18.0], shoonya_0sK3ZTYHEUMR1D, 6457220]
[paragraph, [49.0, 170.0, 253.0, 18.0], shoonya_0sK3ZTYHEUMR1D, 6457220]
[paragraph, [49.0, 188.0, 253.0, 18.0], shoonya_0sK3ZTYHEUMR1D, 6457220]
[paragraph, [49.0, 206.0, 253.0, 18.0], shoonya_0sK3ZTYHEUMR1D, 6457220]
[paragraph, [307.0, 80.0, 249.0, 18.0], eLGL28DWgF, 6457220]
[paragraph, [307.0, 98.0, 249.0, 18.0], eLGL28DWgF, 6457220]
[paragraph, [404.0, 121.0, 133.0, 18.0], CuJD3EBoWZ, 6457220]
[paragraph, [304.0, 135.0, 242.0, 18.0], WVTPqgE9U8, 6457220]
[paragraph, [304.0, 153.0, 242.0, 18.0], WVTPqgE9U8, 6457220]
[paragraph, [304.0, 170.0, 253.0, 18.0], Jxh9F3mf2m, 6457220]
[paragraph, [304.0, 188.0, 253.0, 18.0], Jxh9F3mf2m, 6457220]
[paragraph, [304.0, 206.0, 253.0, 18.0], Jxh9F3mf2m, 6457220]
[paragraph, [303.0, 226.0, 240.0, 18.0], 2NfuDqkTMC, 6457220]
[paragraph, [303.0, 244.0, 240.0, 18.0], 2NfuDqkTMC, 6457220]
[paragraph, [51.0, 234.0, 254.0, 18.0], o3Eoxk9Ony, 6457220]
[paragraph, [53.0, 252.0, 250.0, 18.0], nuwklq_GuJ, 6457220]
[paragraph, [53.0, 270.0, 250.0, 18.0], nuwklq_GuJ, 6457220]
[paragraph, [304.0, 265.0, 248.0, 18.0], -AWkTlN6lu, 6457220]
[paragraph, [304.0, 283.0, 248.0, 18.0], -AWkTlN6lu, 6457220]
[paragraph, [52.0, 284.0, 227.0, 18.0], tiULaBC4hX, 6457220]
[paragraph, [52.0, 302.0, 227.0, 18.0], tiULaBC4hX, 6457220]
[paragraph, [305.0, 300.0, 247.0, 18.0], FrPIOIUoaQ, 6457220]
[paragraph, [305.0, 318.0, 247.0, 18.0], FrPIOIUoaQ, 6457220]
[paragraph, [52.0, 321.0, 252.0, 18.0], n8b504E9Lt, 6457220]
[paragraph, [52.0, 339.0, 252.0, 18.0], n8b504E9Lt, 6457220]
[paragraph, [52.0, 357.0, 252.0, 18.0], n8b504E9Lt, 6457220]
[paragraph, [306.0, 335.0, 217.0, 18.0], 5gZ6OHAItK, 6457220]
[paragraph, [306.0, 353.0, 217.0, 18.0], 5gZ6OHAItK, 6457220]
[paragraph, [307.0, 371.0, 245.0, 18.0], xjDODiMc2w, 6457220]
[paragraph, [307.0, 389.0, 245.0, 18.0], xjDODiMc2w, 6457220]
[paragraph, [53.0, 377.0, 252.0, 18.0], GVhzJxVhxy, 6457220]
[paragraph, [53.0, 395.0, 252.0, 18.0], GVhzJxVhxy, 6457220]
[paragraph, [306.0, 409.0, 230.0, 18.0], tgY-4k9iRZ, 6457220]
[paragraph, [306.0, 427.0, 230.0, 18.0], tgY-4k9iRZ, 6457220]
[paragraph, [54.0, 412.0, 220.0, 18.0], MgFfp_SG6H, 6457220]
[paragraph, [53.0, 433.0, 252.0, 18.0], uk1yfAMXl8, 6457220]
[paragraph, [53.0, 451.0, 252.0, 18.0], uk1yfAMXl8, 6457220]
[paragraph, [53.0, 469.0, 252.0, 18.0], uk1yfAMXl8, 6457220]
[paragraph, [308.0, 440.0, 218.0, 18.0], y1CsDSY08w, 6457220]
[paragraph, [303.0, 461.0, 213.0, 18.0], c2C2IaQLG0, 6457220]
[paragraph, [303.0, 479.0, 213.0, 18.0], c2C2IaQLG0, 6457220]
[paragraph, [306.0, 493.0, 242.0, 18.0], npDW_XmtR6, 6457220]
[paragraph, [306.0, 511.0, 242.0, 18.0], npDW_XmtR6, 6457220]
[paragraph, [56.0, 500.0, 225.0, 18.0], sTnL_Q4oT3, 6457220]
[paragraph, [54.0, 517.0, 208.0, 18.0], fqUk2y47V5, 6457220]
[paragraph, [54.0, 535.0, 208.0, 18.0], fqUk2y47V5, 6457220]
[paragraph, [302.0, 531.0, 250.0, 18.0], 7LcRlA7niE, 6457220]
[paragraph, [302.0, 549.0, 250.0, 18.0], 7LcRlA7niE, 6457220]
[paragraph, [302.0, 567.0, 250.0, 18.0], 7LcRlA7niE, 6457220]
[paragraph, [302.0, 585.0, 250.0, 18.0], 7LcRlA7niE, 6457220]
[paragraph, [302.0, 603.0, 250.0, 18.0], 7LcRlA7niE, 6457220]
[paragraph, [302.0, 621.0, 250.0, 18.0], 7LcRlA7niE, 6457220]
[paragraph, [302.0, 639.0, 250.0, 18.0], 7LcRlA7niE, 6457220]
[paragraph, [58.0, 553.0, 244.0, 18.0], Sqzv5eGvUd, 6457220]
[paragraph, [58.0, 571.0, 244.0, 18.0], Sqzv5eGvUd, 6457220]
[paragraph, [57.0, 593.0, 207.0, 18.0], G_doFHSegU, 6457220]
[paragraph, [58.0, 610.0, 108.0, 18.0], nZp672FX19, 6457220]
[reference, [53.0, 636.0, 250.0, 18.0], iv4zgC7f6b, 6457220]
[reference, [53.0, 654.0, 250.0, 18.0], iv4zgC7f6b, 6457220]
[reference, [53.0, 672.0, 250.0, 18.0], iv4zgC7f6b, 6457220]
[reference, [53.0, 690.0, 250.0, 18.0], iv4zgC7f6b, 6457220]
[reference, [53.0, 708.0, 250.0, 18.0], iv4zgC7f6b, 6457220]
[reference, [53.0, 726.0, 250.0, 18.0], iv4zgC7f6b, 6457220]
[reference, [53.0, 744.0, 250.0, 18.0], iv4zgC7f6b, 6457220]
[reference, [53.0, 762.0, 250.0, 18.0], iv4zgC7f6b, 6457220]
[reference, [53.0, 780.0, 250.0, 18.0], iv4zgC7f6b, 6457220]
[reference, [53.0, 798.0, 250.0, 18.0], iv4zgC7f6b, 6457220]
[reference, [303.0, 672.0, 246.0, 18.0], jYZBnyuZZR, 6457220]
[reference, [303.0, 690.0, 246.0, 18.0], jYZBnyuZZR, 6457220]
[reference, [303.0, 708.0, 246.0, 18.0], jYZBnyuZZR, 6457220]
[reference, [303.0, 726.0, 246.0, 18.0], jYZBnyuZZR, 6457220]
[reference, [303.0, 744.0, 246.0, 18.0], jYZBnyuZZR, 6457220]
[reference, [303.0, 762.0, 246.0, 18.0], jYZBnyuZZR, 6457220]
[reference, [303.0, 780.0, 246.0, 18.0], jYZBnyuZZR, 6457220]
[reference, [303.0, 798.0, 246.0, 18.0], jYZBnyuZZR, 6457220]
