[2200, 1700]
[ordered-list, [320.0, 267.0, 374.0, 36.0], SNjzOxFUKJ, 5688979]
[ordered-list, [320.0, 303.0, 374.0, 36.0], SNjzOxFUKJ, 5688979]
[ordered-list, [320.0, 339.0, 374.0, 36.0], SNjzOxFUKJ, 5688979]
[reference, [229.0, 482.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 518.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 554.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 590.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 626.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 662.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 698.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 734.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 770.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 806.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 842.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 878.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 914.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 950.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 986.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 1022.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 1058.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 1094.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [229.0, 1130.0, 1128.0, 36.0], MSaYqv-xEe, 5688979]
[reference, [244.0, 1260.0, 811.0, 36.0], o4FuK5QbCP, 5688979]
[reference, [244.0, 1296.0, 811.0, 36.0], o4FuK5QbCP, 5688979]
