[1545, 2000]
[section-title, [690.0, 122.0, 510.0, 49.5], COgVXE3wwd, 6490773]
[section-title, [690.0, 171.5, 510.0, 49.5], COgVXE3wwd, 6490773]
[section-title, [690.0, 221.0, 510.0, 49.5], COgVXE3wwd, 6490773]
[section-title, [1370.0, 137.0, 395.0, 49.5], BTiWE9ZAHv, 6490773]
[unordered-list, [682.0, 307.0, 642.0, 36.0], nO9Zvzp1sQ, 6490773]
[unordered-list, [682.0, 343.0, 642.0, 36.0], nO9Zvzp1sQ, 6490773]
[unordered-list, [682.0, 379.0, 642.0, 36.0], nO9Zvzp1sQ, 6490773]
[unordered-list, [682.0, 415.0, 642.0, 36.0], nO9Zvzp1sQ, 6490773]
[unordered-list, [682.0, 451.0, 642.0, 36.0], nO9Zvzp1sQ, 6490773]
[unordered-list, [682.0, 487.0, 642.0, 36.0], nO9Zvzp1sQ, 6490773]
[unordered-list, [682.0, 523.0, 642.0, 36.0], nO9Zvzp1sQ, 6490773]
[unordered-list, [682.0, 559.0, 642.0, 36.0], nO9Zvzp1sQ, 6490773]
[unordered-list, [682.0, 595.0, 642.0, 36.0], nO9Zvzp1sQ, 6490773]
[unordered-list, [682.0, 631.0, 642.0, 36.0], nO9Zvzp1sQ, 6490773]
[unordered-list, [682.0, 667.0, 642.0, 36.0], nO9Zvzp1sQ, 6490773]
[unordered-list, [682.0, 703.0, 642.0, 36.0], nO9Zvzp1sQ, 6490773]
[unordered-list, [682.0, 739.0, 642.0, 36.0], nO9Zvzp1sQ, 6490773]
[unordered-list, [682.0, 775.0, 642.0, 36.0], nO9Zvzp1sQ, 6490773]
[paragraph, [1386.0, 361.0, 568.0, 36.0], shoonya_0sO9YIBK1G6W4A, 6490773]
[paragraph, [1386.0, 397.0, 568.0, 36.0], shoonya_0sO9YIBK1G6W4A, 6490773]
[paragraph, [1386.0, 433.0, 568.0, 36.0], shoonya_0sO9YIBK1G6W4A, 6490773]
[paragraph, [1386.0, 469.0, 568.0, 36.0], shoonya_0sO9YIBK1G6W4A, 6490773]
[paragraph, [1386.0, 505.0, 568.0, 36.0], shoonya_0sO9YIBK1G6W4A, 6490773]
[paragraph, [1386.0, 541.0, 568.0, 36.0], shoonya_0sO9YIBK1G6W4A, 6490773]
[section-title, [57.0, 790.0, 420.0, 49.5], T3anbLLX4b, 6490773]
[section-title, [57.0, 839.5, 420.0, 49.5], T3anbLLX4b, 6490773]
[section-title, [57.0, 889.0, 420.0, 49.5], T3anbLLX4b, 6490773]
[paragraph, [50.0, 1007.0, 550.0, 36.0], KWYLo4Is4X, 6490773]
[paragraph, [50.0, 1043.0, 550.0, 36.0], KWYLo4Is4X, 6490773]
[paragraph, [50.0, 1079.0, 550.0, 36.0], KWYLo4Is4X, 6490773]
[paragraph, [50.0, 1115.0, 550.0, 36.0], KWYLo4Is4X, 6490773]
[paragraph, [50.0, 1151.0, 550.0, 36.0], KWYLo4Is4X, 6490773]
[paragraph, [50.0, 1187.0, 550.0, 36.0], KWYLo4Is4X, 6490773]
[paragraph, [50.0, 1223.0, 550.0, 36.0], KWYLo4Is4X, 6490773]
[paragraph, [742.0, 1205.0, 220.0, 36.0], ENvo0tOHlp, 6490773]
[paragraph, [742.0, 1241.0, 220.0, 36.0], ENvo0tOHlp, 6490773]
[paragraph, [730.0, 1329.0, 492.0, 36.0], twW-aMqTV9, 6490773]
[paragraph, [730.0, 1365.0, 492.0, 36.0], twW-aMqTV9, 6490773]
[folio, [347.0, 1365.0, 245.0, 36.0], f6JpE-S19o, 6490773]
[folio, [347.0, 1401.0, 245.0, 36.0], f6JpE-S19o, 6490773]
[contact-info, [65.0, 1380.0, 210.0, 36.0], k50PCBFXrH, 6490773]
