[612, 792]
[paragraph, [57.0, 57.0, 637.0, 18.0], shoonya_1s39F7WAYKZBK2, 6533989]
[paragraph, [57.0, 75.0, 637.0, 18.0], shoonya_1s39F7WAYKZBK2, 6533989]
[paragraph, [57.0, 93.0, 637.0, 18.0], shoonya_1s39F7WAYKZBK2, 6533989]
[paragraph, [57.0, 111.0, 637.0, 18.0], shoonya_1s39F7WAYKZBK2, 6533989]
[paragraph, [53.0, 140.0, 642.0, 18.0], shoonya_0sZMSS8NK7W08R, 6533989]
[paragraph, [53.0, 158.0, 642.0, 18.0], shoonya_0sZMSS8NK7W08R, 6533989]
[paragraph, [53.0, 176.0, 642.0, 18.0], shoonya_0sZMSS8NK7W08R, 6533989]
[paragraph, [53.0, 194.0, 642.0, 18.0], shoonya_0sZMSS8NK7W08R, 6533989]
[paragraph, [53.0, 212.0, 642.0, 18.0], shoonya_0sZMSS8NK7W08R, 6533989]
[paragraph, [53.0, 230.0, 642.0, 18.0], shoonya_0sZMSS8NK7W08R, 6533989]
[paragraph, [53.0, 248.0, 642.0, 18.0], shoonya_0sZMSS8NK7W08R, 6533989]
[paragraph, [53.0, 266.0, 642.0, 18.0], shoonya_0sZMSS8NK7W08R, 6533989]
[paragraph, [53.0, 284.0, 642.0, 18.0], shoonya_0sZMSS8NK7W08R, 6533989]
[paragraph, [53.0, 302.0, 642.0, 18.0], shoonya_0sZMSS8NK7W08R, 6533989]
[paragraph, [53.0, 320.0, 642.0, 18.0], shoonya_0sZMSS8NK7W08R, 6533989]
[paragraph, [53.0, 338.0, 642.0, 18.0], shoonya_0sZMSS8NK7W08R, 6533989]
[paragraph, [50.0, 355.0, 643.0, 18.0], shoonya_2s4EO97Q49OXGN, 6533989]
[paragraph, [50.0, 373.0, 643.0, 18.0], shoonya_2s4EO97Q49OXGN, 6533989]
[paragraph, [50.0, 391.0, 643.0, 18.0], shoonya_2s4EO97Q49OXGN, 6533989]
[paragraph, [50.0, 409.0, 643.0, 18.0], shoonya_2s4EO97Q49OXGN, 6533989]
[paragraph, [50.0, 427.0, 643.0, 18.0], shoonya_2s4EO97Q49OXGN, 6533989]
[paragraph, [629.0, 454.0, 63.0, 18.0], nxImeOnuOu, 6533989]
[author, [587.0, 476.0, 107.0, 18.0], bOCZst6_MC, 6533989]
[folio, [337.0, 542.0, 97.0, 18.0], Wa0YVQRI5S, 6533989]
