[2806, 1984]
[ordered-list, [217.0, 203.0, 1542.0, 46.5], shoonya_5sW0PD6YU4AUAV, 5698609]
[ordered-list, [217.0, 249.5, 1542.0, 46.5], shoonya_5sW0PD6YU4AUAV, 5698609]
[ordered-list, [217.0, 296.0, 1542.0, 46.5], shoonya_5sW0PD6YU4AUAV, 5698609]
[ordered-list, [217.0, 342.5, 1542.0, 46.5], shoonya_5sW0PD6YU4AUAV, 5698609]
[ordered-list, [217.0, 389.0, 1542.0, 46.5], shoonya_5sW0PD6YU4AUAV, 5698609]
[ordered-list, [217.0, 435.5, 1542.0, 46.5], shoonya_5sW0PD6YU4AUAV, 5698609]
[ordered-list, [217.0, 482.0, 1542.0, 46.5], shoonya_5sW0PD6YU4AUAV, 5698609]
[ordered-list, [217.0, 528.5, 1542.0, 46.5], shoonya_5sW0PD6YU4AUAV, 5698609]
[ordered-list, [217.0, 575.0, 1542.0, 46.5], shoonya_5sW0PD6YU4AUAV, 5698609]
[ordered-list, [217.0, 621.5, 1542.0, 46.5], shoonya_5sW0PD6YU4AUAV, 5698609]
[ordered-list, [217.0, 668.0, 1542.0, 46.5], shoonya_5sW0PD6YU4AUAV, 5698609]
[ordered-list, [217.0, 714.5, 1542.0, 46.5], shoonya_5sW0PD6YU4AUAV, 5698609]
[ordered-list, [217.0, 761.0, 1542.0, 46.5], shoonya_5sW0PD6YU4AUAV, 5698609]
[ordered-list, [217.0, 807.5, 1542.0, 46.5], shoonya_5sW0PD6YU4AUAV, 5698609]
[ordered-list, [217.0, 854.0, 1542.0, 46.5], shoonya_5sW0PD6YU4AUAV, 5698609]
[ordered-list, [217.0, 900.5, 1542.0, 46.5], shoonya_5sW0PD6YU4AUAV, 5698609]
[paragraph, [351.0, 1006.0, 1409.0, 46.5], shoonya_2sA9C7KQBE0LNQ, 5698609]
[paragraph, [351.0, 1052.5, 1409.0, 46.5], shoonya_2sA9C7KQBE0LNQ, 5698609]
[paragraph, [351.0, 1099.0, 1409.0, 46.5], shoonya_2sA9C7KQBE0LNQ, 5698609]
[paragraph, [351.0, 1145.5, 1409.0, 46.5], shoonya_2sA9C7KQBE0LNQ, 5698609]
[paragraph, [351.0, 1192.0, 1409.0, 46.5], shoonya_2sA9C7KQBE0LNQ, 5698609]
[paragraph, [351.0, 1238.5, 1409.0, 46.5], shoonya_2sA9C7KQBE0LNQ, 5698609]
[paragraph, [351.0, 1285.0, 1409.0, 46.5], shoonya_2sA9C7KQBE0LNQ, 5698609]
[paragraph, [351.0, 1331.5, 1409.0, 46.5], shoonya_2sA9C7KQBE0LNQ, 5698609]
[paragraph, [351.0, 1378.0, 1409.0, 46.5], shoonya_2sA9C7KQBE0LNQ, 5698609]
[paragraph, [351.0, 1424.5, 1409.0, 46.5], shoonya_2sA9C7KQBE0LNQ, 5698609]
[paragraph, [343.0, 1512.0, 1412.0, 46.5], shoonya_3s6H8RXQ2DVEAF, 5698609]
[paragraph, [343.0, 1558.5, 1412.0, 46.5], shoonya_3s6H8RXQ2DVEAF, 5698609]
[paragraph, [343.0, 1605.0, 1412.0, 46.5], shoonya_3s6H8RXQ2DVEAF, 5698609]
[paragraph, [343.0, 1651.5, 1412.0, 46.5], shoonya_3s6H8RXQ2DVEAF, 5698609]
[paragraph, [343.0, 1698.0, 1412.0, 46.5], shoonya_3s6H8RXQ2DVEAF, 5698609]
[paragraph, [354.0, 1822.0, 1403.0, 46.5], shoonya_0sXNTN6RQNR25M, 5698609]
[paragraph, [354.0, 1868.5, 1403.0, 46.5], shoonya_0sXNTN6RQNR25M, 5698609]
[paragraph, [354.0, 1915.0, 1403.0, 46.5], shoonya_0sXNTN6RQNR25M, 5698609]
[paragraph, [354.0, 1961.5, 1403.0, 46.5], shoonya_0sXNTN6RQNR25M, 5698609]
[paragraph, [354.0, 2008.0, 1403.0, 46.5], shoonya_0sXNTN6RQNR25M, 5698609]
[paragraph, [354.0, 2054.5, 1403.0, 46.5], shoonya_0sXNTN6RQNR25M, 5698609]
[paragraph, [354.0, 2101.0, 1403.0, 46.5], shoonya_0sXNTN6RQNR25M, 5698609]
[paragraph, [354.0, 2147.5, 1403.0, 46.5], shoonya_0sXNTN6RQNR25M, 5698609]
[paragraph, [354.0, 2194.0, 1403.0, 46.5], shoonya_0sXNTN6RQNR25M, 5698609]
[paragraph, [354.0, 2240.5, 1403.0, 46.5], shoonya_0sXNTN6RQNR25M, 5698609]
[paragraph, [354.0, 2287.0, 1403.0, 46.5], shoonya_0sXNTN6RQNR25M, 5698609]
[paragraph, [354.0, 2333.5, 1403.0, 46.5], shoonya_0sXNTN6RQNR25M, 5698609]
[paragraph, [354.0, 2380.0, 1403.0, 46.5], shoonya_0sXNTN6RQNR25M, 5698609]
[paragraph, [354.0, 2426.5, 1403.0, 46.5], shoonya_0sXNTN6RQNR25M, 5698609]
